Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Herbert Schade (Leichtathlet),赫伯特·沙德
Annett Böhm,安妮特·伯姆
Maximilian von Sachsen (1870–1951),薩克森的馬克西米利安·(1870-1951)
Kurt Sanderling,库尔特·桑德林
Günter Guillaume,君特·纪尧姆
Theodor Hoffmann (Admiral),特奥多尔·霍夫曼
Heinrich (Nassau-Dillenburg),海因里希·(拿騷-迪倫堡)
Otto Beisheim,奥托·贝斯海姆
Lutz Heßlich,卢茨·黑斯利希
Jan Ullrich,扬·乌尔里希
Michael Greis,米夏埃尔·格赖斯
Friedrich von Preußen (1911–1966),普魯士的腓特烈·(1911年)
Otto I. (Pfalz-Mosbach),奧托一世·(普法爾茨-莫斯巴赫)
Gabriel Heinze,加夫列尔·海因策
Joseph Karl von Pfalz-Sulzbach,約瑟夫·卡爾·(普法爾茨-蘇爾茨巴赫)
Sarah Connor,莎拉·蔻娜
Mathias Gey,马蒂亚斯·盖
Cornelia Funke,柯奈莉亞·馮克
Ilona Slupianek,伊洛娜·斯卢皮亚内克
Sylvia Hanika,西爾維婭·哈尼卡
Peter Gay,彼得·盖伊
Julius Friedrich (Württemberg-Weiltingen),尤里烏斯·腓特烈·(符騰堡-魏爾廷根)
Ludwig Radlkofer,路德维希·阿道夫·蒂莫特乌斯·拉德尔科菲
Heinrich von Vietinghoff,海因里希·馮·菲廷霍夫
Theodor Busse,特奧多爾·布塞
Hubertus von Preußen,普魯士的胡貝圖斯
Johannes Hentschel,约翰内斯·亨切尔
Michael Stich,米夏埃尔·施蒂希
Bernhard von Bülow,伯恩哈德·冯·比洛
Hans-Georg Aschenbach,汉斯-格奥尔格·阿申巴赫
Albrecht VI. (Mecklenburg),阿爾布雷希特六世·(梅克倫堡)
Johannes Pfefferkorn,约翰内斯·普费弗科恩
Walter Krüger (General),沃尔特·克吕格尔
Ernst Gräfenberg,恩斯特·格雷芬贝格
Paul Biedermann,保罗·比德尔曼
Heinrich Barkhausen,海因里希·巴克豪森
Conrad Schumann,康拉德·舒曼
Hermann Scherchen,赫尔曼·舍尔兴
Angela Sommer-Bodenburg,安吉拉·索莫-波登伯格
Norbert Reithofer,諾伯特·雷瑟夫
Peter van Pels,彼得·范·佩爾斯
Magnus I. (Mecklenburg),馬格努斯一世·(梅克倫堡)
Christian Ludwig (Braunschweig-Lüneburg),克里斯蒂安·路德維希·(不倫瑞克-呂訥堡)
Hans Frank,漢斯·法郎克
Konrad Zuse,康拉德·楚澤
Florian Henckel von Donnersmarck,弗洛里安·亨克爾·馮·杜能斯馬克
Friedrich Franz IV. (Mecklenburg),腓特烈·法蘭茲四世
Annette Schavan,安娜特·莎萬
Josef Harpe,约瑟夫·哈尔佩
Johann II. (Bayern),約翰二世·(巴伐利亞)
Moritz von Hessen,莫里茨·(黑森)
Aby Warburg,阿比·瓦尔堡
Otto Brunfels,奥托·布伦费尔斯
Guido Knopp,吉多·克諾普
Johann Adolf II. (Sachsen-Weißenfels),約翰·阿道夫二世
Wolfgang Zimmerer,沃尔夫冈·齐默勒
Otto von Guericke,奥托·冯·居里克
Luise von Brandenburg-Schwedt,布蘭登堡-施韋特的路易絲
Sandra Hüller,桑德拉·惠勒
Marianne Werner,玛丽安娜·维尔纳
Karl II. Otto (Pfalz-Zweibrücken-Birkenfeld),卡爾二世·奧托·(普法爾茨-茨魏布呂肯-比肯費爾德)
Christoph Höhne,克里斯托夫·赫内
"Albert Speer (Architekt, 1934)",小阿尔伯特·施佩尔
Ronald Rauhe,罗纳德·劳厄
Tim Grohmann,蒂姆·格罗曼
Nora Tschirner,諾拉·提辛納
Gunda Niemann-Stirnemann,贡达·尼曼-施蒂内曼
Ernst Troeltsch,恩斯特·特勒爾奇
Jürgen Moltmann,于爾根·莫特曼
Gottlob Berger,戈特洛布·贝格尔
David Prinosil,大衛·普里諾西爾
Darco Gellert,Darco
Lars Burgsmüller,拉爾斯·布斯穆勒
Philipp Wende,菲利普·文德
Patrick Reimer,帕特里克·赖默尔
Fedor von Bock,费多尔·冯·博克
Karl Angerer,卡尔·安格雷尔
Roberto Hilbert,羅伯托·希爾伯特
Julia Jentsch,尤莉亞·嫣琪
Günter Blobel,古特·布洛伯爾
Roland Emmerich,羅蘭·艾默瑞奇
Johann Friedrich (Braunschweig-Calenberg),約翰·腓特烈·(不倫瑞克-卡倫貝格)
Karl Denke,卡尔·登克
Erhard Heiden,埃爾哈德·海登
Karl Korsch,卡尔·科尔施
Britta Heidemann,布丽塔·海德曼
Thomas Bach,托马斯·巴赫
Hugo Blaschke,胡戈·布拉施克
Oswald Mathias Ungers,奧斯瓦爾德·馬蒂亞斯·翁格爾斯
Wilhelm Ritter von Leeb,威廉·馮·里布
Heinrich Müller (Gestapo),海因里希·缪勒
Jochen Liedtke,約亨·李德克
Martin Harnik,馬丁·哈尼克
Walther Wenck,瓦爾特·文克
Otto Becker (Reiter),奥托·贝克尔
Wilfried Gröbner,维尔弗里德·格勒布纳
Anni Friesinger-Postma,安妮·弗里辛格-波斯特马
Per Mertesacker,佩尔·默特萨克
Hartwig Gauder,哈特维希·高德
Norbert Blüm,诺贝特·布吕姆
Georg Cassander,格奥尔格·卡桑德
Adam Stegerwald,亞當·施特格瓦爾德
Silke Kraushaar-Pielach,西尔克·克劳斯哈尔-皮拉赫
Enrico Kühn,恩里科·屈恩
Herbert Runge,赫伯特·伦格
Thomas Florschütz,托马斯·弗洛许茨
Daniel Fridman,丹尼尔·弗里德曼
Oskar Deecke,奥斯卡·德克
Marcel Hacker,马塞尔·哈克尔
Erik Lesser,艾瑞克·勒瑟
Matthias Witthaus,马蒂亚斯·维特豪斯
Frank Rommel,弗兰克·隆梅尔
Dieter Kindlmann,迪特尔·金德尔曼
Juliane Köhler (Schauspielerin),尤利亚妮·克勒
Jens Knippschild,延斯·克尼普許爾德
Ole Bischof,奥勒·比朔夫
Grit Breuer,格丽特·布罗伊尔
Walter Model,瓦尔特·莫德尔
Katarina Witt,卡特琳娜·维特
Dimitrij Ovtcharov,迪米特里·奥恰洛夫
August Conrady,孔好古
Hugo Junkers,胡戈·容克斯
Jakob Wassermann,雅各布·瓦瑟曼
Joachim von Preußen,普鲁士的约阿希姆
Emil Hirschfeld,埃米尔·希施费尔德
Anni Steuer,安妮·施托伊尔
Günther Schumacher,金特·舒马赫
Christina von Sachsen (1461–1521),薩克森的克里斯蒂娜·(1461-1521)
Ernst-Robert Grawitz,恩斯特-罗伯特·格拉维茨
Viktoria von Preußen (1866–1929),普魯士的維多利亞
Thomas Luckmann,托马斯·卢克曼
Johannes Frießner,約翰內斯·弗里斯納
Inge Helten,英格·黑尔滕
Johann Wilhelm (Jülich-Kleve-Berg),約翰·威廉·(于利希-克萊沃-貝格)
Tatjana Maria,塔季揚娜·瑪麗亞
Fritz London,弗里茨·伦敦
Patric Leitner,帕特里克·莱特纳
Friedrich Ulrich (Braunschweig-Wolfenbüttel),腓特烈·烏爾里希·(布倫瑞克-沃爾芬比特爾)
Magdalena Wilhelmine von Württemberg,符騰堡的瑪格達列娜·威廉明妮
Maximilian Levy,马克西米利安·莱维
Karl-Heinz Schnellinger,卡爾-軒斯·舒萊寧加
Dieter Hoeneß,迪特尔·赫内斯
"Dieter Müller (Fußballspieler, 1954)",迪特尔·穆勒
Thilo Sarrazin,蒂洛·薩拉辛
Babett Peter,芭贝特·彼得
Ingrid Auerswald,英格丽德·奥尔斯瓦尔德
Adolf Heusinger,阿道夫·豪辛格
Philipp Bouhler,菲利普·布勒
Ilse Steppat,伊爾斯·史蒂佩特
Richard Adjei,里夏德·阿杰伊
Jutta zu Mecklenburg-Strelitz,梅克倫堡-施特雷利茨的尤塔
Johann Georg Palitzsch,约翰·格奥尔格·帕利奇
Rupert Wildt,鲁珀特·维尔特
Johann II. (Nürnberg),約翰二世·(紐倫堡)
Louis Ferdinand Prinz von Preußen (1944–1977),普魯士的路易·斐迪南王子·(1944—1977)
Max Streibl,马克斯·施特赖布尔
Walter Schottky,華特·蕭特基
Sven Ulreich,斯文·乌爾賴希
Erich Koch,埃里希·科赫
Carl Legien,卡尔·列金
Wilhelm Herrmann,威爾漢·赫爾曼
"Elisabeth von Dänemark, Norwegen und Schweden",丹麥的伊莉莎白·(1485-1555)
Zita Funkenhauser,齐塔-埃娃·丰肯豪泽
Anton Friedrich Büsching,安东·弗里德里希·比兴
Michael Berrer,米夏埃爾·貝雷爾
Uwe Blab,乌韦·布拉布
Anna Maria von Pfalz-Neuburg,安娜·瑪麗亞·(普法爾茨-諾伊堡)
Heinz Nixdorf,海因斯·利多富
Lena Dürr,莱娜·迪尔
Simone Laudehr,西蒙妮·劳德尔
Monika Pflug,莫妮卡·普夫卢格
Marcus Böhme,馬庫斯·伯梅
Johann Leopold von Sachsen-Coburg und Gotha,約翰·利奧波德·(薩克森-科堡-哥達)
Franz Xaver von Sachsen,薩克森的法蘭茲·薩維爾
Ernst II. zu Hohenlohe-Langenburg,恩斯特二世·(霍恩洛厄-朗根堡)
Hinrich Romeike,欣里希·罗迈克
Andrea Nahles,安德里亞·納勒斯
Friedrich I. (Pfalz),腓特烈一世·(普法爾茨)
Marie Karoline von Battenberg,巴滕貝格的瑪麗
Clueso,Clueso
Nicole Fessel,妮科尔·费塞尔
Ernst Günther von Schleswig-Holstein-Sonderburg-Augustenburg,恩斯特·金特·(什勒斯維希-霍爾斯坦)
Raphael Holzdeppe,拉斐尔·霍尔茨德佩
Hermann Zapf,赫尔曼·察普夫
Mischa Zverev,米沙·茲韋列夫
Christina Schwanitz,克里斯蒂娜·施瓦尼茨
Christiane Weber (Fechterin),克里斯蒂安娜·韦伯·(击剑运动员)
Guido Fulst,吉多·富尔斯特
Sebastian Rudy,塞巴斯蒂安·魯迪
Bibiana Steinhaus,毕碧安娜·施泰因豪斯
Hans Källner,漢斯·卡爾納
Assani Lukimya,阿薩尼·盧基米亞
Theodor Eustach (Pfalz-Sulzbach),特奧多爾·歐斯塔赫·(普法爾茨-蘇爾茨巴赫)
Petra Schneider (Schwimmerin),彼得拉·施奈德
Sabine Everts,扎比内·埃弗茨
Hans-Wilhelm Müller-Wohlfahrt,汉斯-威廉·穆勒-沃尔法特
Nicola Thost,妮古拉·托斯特
Aaron Bernstein,阿隆·伯恩施坦
Kevin Kuske,凯温·库斯克
André Lange,安德烈·朗厄
Tilly Fleischer,奧蒂莉·費萊雪
Simon Greul,西蒙·格魯爾
Tibor Pleiß,蒂博尔·普莱斯
Karl II. (Pfalz),卡爾二世·(普法爾茨)
Georg Kaiser,乔治·凯泽
Wolfgang Iser,沃爾夫岡·伊瑟爾
Maria von Bayern,巴伐利亞的瑪麗亞·(1872-1954)
Gottfried zu Hohenlohe-Langenburg,霍恩洛厄-朗根堡的戈特弗里德
Maximilian Karl von Thurn und Taxis,馬克西米利安·卡爾·(圖恩和塔克西斯)
Sibel Kekilli,茜比·柯奇莉
Arne Friedrich,阿尔内·弗里德里希
Harald Irmscher,哈拉尔德·伊姆舍尔
Christian Tetzlaff,克里斯蒂安·特茲拉夫
Ernst Friedrich (Baden-Durlach),恩斯特·腓特烈·(巴登-杜拉赫)
Karl Dietrich Bracher,卡尔·迪特里希·布拉赫
Julius Schiller,尤利乌斯·席勒
Nikolaus Schneider,尼克劳斯·施耐德
Gisela Agnes von Anhalt-Köthen,吉塞拉·阿格尼絲·(安哈特-克滕)
Bernhard III. (Baden-Baden),伯恩哈德三世·(巴登-巴登)
Alexander (Pfalz-Zweibrücken),亞歷山大·(普法爾茨-茨魏布呂肯伯爵)
Wilhelm Karl von Urach,第二代乌拉赫公爵威廉·卡尔
Otto Carius,奥托·卡里乌斯
Leo Geyr von Schweppenburg,莱奥·盖尔·冯·施韦彭堡
Joseph Süß Oppenheimer,约瑟夫·苏斯·奥本海默
Otto Mayer (Jurist),奥托·迈耶
Alfred Dompert,阿尔弗雷德·东佩特
Franz Pfnür,弗朗茨·普夫尼尔
Oksana Chusovitina,奥克萨娜·丘索维金娜
Konrad I. (Nürnberg),康拉德一世·(紐倫堡)
Mandy Wötzel,曼迪·韦策尔
Erich Bärenfänger,埃里希·巴倫方格
Friedrich IV. (Zollern),腓特烈四世·(索倫伯爵)
Wolfgang (Pfalz-Zweibrücken),沃夫岡·(普法爾茨-茨魏布呂肯伯爵)
Johann Beringer,约翰·贝林格
Petra Rossner,彼得拉·罗斯纳
Georg I. (Waldeck-Pyrmont),格奧爾格一世·(瓦爾德克和皮爾蒙特)
Paul Thümmel,保罗·图梅尔
Marc Zwiebler,马克·茨维布勒
Mathilde in Bayern,巴伐利亞的瑪蒂爾德
Irma Grese,伊爾瑪·格雷澤
Christian Wilhelm (Schwarzburg-Sondershausen),克里斯蒂安·威廉·(施瓦茨堡-松德斯豪森)
Karl Link,卡尔·林克
Simon Schobel,西蒙·绍贝尔
Franziska Sibylla Augusta von Sachsen-Lauenburg,法蘭西絲卡·希比拉·奧古斯塔
Serdar Taşçı,塞尔达·塔什彻
Hermann von François,赫爾曼·馮·弗朗索瓦
Rudi Fink,鲁迪·芬克
Lothar Claesges,洛塔尔·克莱斯格斯
Wittekind zu Waldeck und Pyrmont,维特金德
Helge Meeuw,黑尔格·梅乌
Friedrich Ludwig (Schleswig-Holstein-Sonderburg-Beck),腓特烈·路德維希·(什勒斯維希-霍爾斯坦-森訥堡-貝克)
Peter Schreier,彼得·許萊爾
Willi Hennig,维利·亨尼希
Reinhard Gehlen,莱因哈德·盖伦
Ruprecht I. (Pfalz),魯普雷希特一世·(普法爾茨)
Maria von Geldern (Königin),海爾德的瑪麗亞
Wilhelm von Thoma,威廉·冯·托马
Artur Axmann,阿图尔·阿克斯曼
Thomas Strunz,托马斯·施特龙茨
Kim Dotcom,金·達康
Heinrich III. (Limburg),亨利三世·(林堡)
Franz Otto (Braunschweig-Lüneburg),法蘭茲·奧托·(不倫瑞克-呂訥堡)
Kraft zu Hohenlohe-Langenburg,霍恩洛厄-朗根堡的克拉夫特
Franz Oppenhoff,弗朗茨·奥彭霍夫
Georg Gänswein,喬治·甘斯魏
Artur Jussupow,阿图尔·尤苏波夫
Conrad Celtis,康拉德·策尔蒂斯
Oliver Hirschbiegel,奧利佛·西斯貝格
Antje Harvey,安特耶·哈维
Philipp Ludwig (Pfalz-Neuburg),菲利普·路德維希·(普法爾茨-諾伊堡)
Friedrich VI. (Baden-Durlach),腓特烈六世·(巴登-杜拉赫)
Georg-Hans Reinhardt,格奧爾格-漢斯·萊因哈特
Oka Nikolov,奧卡·尼科洛夫
Walter Dornberger,瓦尔特·罗伯特·多恩伯格
Bernd Mayländer,貝恩德·梅蘭德
Sebastian Thrun,塞巴斯蒂安·特龙
Ingrid Krämer-Gulbin,英格丽德·古尔宾
Johann Ernst (Sachsen-Saalfeld),約翰·恩斯特·(薩克森-科堡-薩爾費爾德)
Friedrich I. (Sachsen-Gotha-Altenburg),腓特烈一世·(薩克森-哥達-阿爾滕堡)
Bert Hölldobler,伯特·霍尔多布勒
Volker Fischer (Fechter),福尔克尔·菲舍尔
Anne Poleska,安妮·波莱斯卡
Friedrich-Wilhelm Müller,弗里德里希-威廉·穆勒
Wilhelm Heye,威廉·海耶
Hans von Funck,汉斯·冯·丰克
Jo Leinen,乔·莱恩
Irene Epple-Waigel,伊雷妮·埃普勒
Jan Behrendt,扬·贝伦特
Udo Hempel,乌多·亨佩尔
Manuel Cardona,曼努埃尔·卡多纳
Christian Albrecht (Hohenlohe-Langenburg),克里斯蒂安·阿爾布雷希特·(霍恩洛厄-朗根堡)
Tina Dietze,蒂娜·迪策
Ingo Steuer,英戈·施托伊尔
Dieter Hecking,迪特·黑金
Jakob Grimminger,雅各布·格里明格
Annekatrin Thiele,安妮卡特琳·蒂勒
Andreas Ihle,安德烈亚斯·伊勒
Norman Bröckl,诺曼·布勒克尔
Alfred Müller-Armack,阿尔弗雷德·缪勒-阿尔玛克
Inge Bödding,英格·伯丁
Max Günthör,馬克斯·貢特爾
Gaby Bußmann,加比·布斯曼
Karl Bähre,卡尔·贝雷
Klaus Köste,克劳斯·克斯特
Bruno Bräuer,布魯諾·布魯爾
Lauritz Schoof,劳里茨·朔夫
Hedwig von Pfalz-Sulzbach,普法爾茨-蘇爾茨巴赫的海德薇希
Manuela Lutze,曼努埃拉·卢策
Richard Schmidt (Ruderer),里夏德·施密特
Peter Thomsen (Reiter),彼得·汤姆森
Wilhelm Olbers Focke,维尔汉姆·奥尔伯斯·福克
Magdalena Sibylla von Schleswig-Holstein-Gottorf,瑪格達列娜·希比拉·(什勒斯維希-霍爾斯坦-戈托普)
Elisabeth Sophia von Sachsen-Altenburg,伊莉莎白·索菲亞·(薩克森-阿爾滕堡)
Elisabeth Henriette von Hessen-Kassel,伊莉莎白·亨麗埃特·(黑森-卡塞爾)
Martin Häner,马丁·黑纳
Daniela Reimer,丹妮拉·赖默尔
Andreas Prinz von Sachsen-Coburg und Gotha,薩克森-科堡-哥達的安德里亞斯親王
Friedrich V. (Nürnberg),腓特烈五世·(紐倫堡)
Otto von Münchhausen (Botaniker),奧托·馮·孟喬森
Johann III. (Nürnberg),約翰三世·(紐倫堡)
Kostja Ullmann,柯思亞·烏曼
Otto Koehler (Verhaltensforscher),奥托·科勒
Ralf Bißdorf,拉尔夫·比斯多夫
Björn Bach,比约恩·巴赫
Roswitha Esser,羅斯維塔·埃塞爾
Pepi Bader,佩皮·巴德尔
Hans Hüttig,汉斯·许蒂希
Johannes Blank,约翰·布兰克
Paul Carell,保罗·卡雷尔
Harry Tisch,哈里·蒂施
Josef Straßberger (Gewichtheber),约瑟夫·施特拉斯贝格尔
Heinrich Khunrath,海因里希·昆哈特
Konstantin Schmidt von Knobelsdorf,康斯坦丁·施密特·馮·克諾貝爾斯多夫
Verena Bentele,韦雷娜·本特勒
Ulrike Holzner,乌尔丽克·霍尔茨纳
Ernst Ising,恩斯特·伊辛
Hermann Graf Keyserling,盖沙令
Charles P. Steinmetz,查爾斯·普羅透斯·斯泰因梅茨
Benno Fürmann,本诺·菲尔曼
Arthur Wieferich,亞瑟·韋伊費列治
Stefan von Pfalz-Simmern-Zweibrücken,斯特凡·(普法爾茨-錫門-茨魏布呂肯)
Eduard Fortunat (Baden-Baden),愛德華·福圖納特
Stefan Steinweg,斯特凡·施泰因韦格
Johann II. (Pfalz-Simmern),約翰二世·(普法爾茨-錫門)
Theodor Weißenberger,西奧多·魏森伯格
Axel Hager,阿克塞尔·哈格尔
Jens Boden,延斯·博登
Evi Sachenbacher-Stehle,埃维·扎亨巴赫-施特勒
Helmut Rahn,赫尔穆特·拉恩
Günter Behnisch,甘特·拜尼施
Andreas Dresen,安卓·爵森
Paul Lorenzen,保罗·洛伦岑
Karl Hessenberg,卡尔·黑森贝格
Heinrich Ferdinand Scherk,海因里希·謝爾克
Jürgen Nöldner,于尔根·内尔德纳
Walther Stennes,沃爾特·史特納斯
Marco Kutscher,马尔科·库切尔
Julia da Silva-Bruhns,茱莉亚·达·席尔瓦-布鲁恩斯
Felix Schütz,费利克斯·许茨
Nadine Keßler,娜丁·凯斯勒
Ditte Kotzian,迪特·科齐安
Walter Hohmann,瓦尔特·霍曼
Adolf Wild von Hohenborn,阿道夫·維爾德·馮·霍亨伯恩
Hyazinth Graf Strachwitz,海亞辛勒·馮·史特拉什維奇
Wilhelm Mohnke,威廉·蒙克
Kurt Zeitzler,库尔特·蔡茨勒
Kurt Dinter,莫里茨·库尔特·丁特尔
Wilhelm Dunker,威廉·邓克尔
Kaspar (Pfalz-Zweibrücken),卡斯帕·(普法爾茨-茨魏布呂肯伯爵)
Friedrich Ludwig (Pfalz-Zweibrücken-Landsberg),腓特烈·路德維希·(普法爾茨-茨魏布呂肯)
Patrick Beckert,帕特里克·贝克特
Dieter Hallervorden,迪特·哈勒沃登
Adolf Friedrich zu Mecklenburg,梅克倫堡的阿道夫·腓特烈
Gordon M. Gollob,戈登·戈洛布
Andreas Beck (Tennisspieler),安德烈亚斯·贝克·(网球运动员)
Axel Honneth,阿克塞尔·霍耐特
François de Cuvilliés der Ältere,弗朗索瓦·德·居维利埃
Denis Gremelmayr,丹尼斯·格雷梅邁爾
Martin Kaymer,馬丁·凱默爾
Philipp von Hessen (Politiker),黑森-卡塞爾的菲利普
Emil Maurice,埃米爾·莫里斯
Helene zu Waldeck und Pyrmont,瓦爾德克和皮爾蒙特的海倫
Ferdinand Alexander Porsche,費迪南·亞歷山大·保時捷
Felix Loch,费利克斯·洛赫
Viktoria Adelheid von Schleswig-Holstein-Sonderburg-Glücksburg,維多利亞·阿德萊德·(什勒斯維希-霍爾斯坦)
Ruprecht (Pfalz-Veldenz),魯普雷希特·(普法爾茨-費爾登茨伯爵)
Ludwig Günther II. (Schwarzburg-Rudolstadt),路德維希·金特二世
Daniel Brands,丹尼爾·布蘭德斯
Manfred Burgsmüller,曼弗雷德·博格斯穆勒
Uwe Proske,乌韦·普罗斯克
Daniel Strigel,丹尼尔·施特里格尔
Philipp I. (Hanau-Lichtenberg),菲利普一世·(哈瑙-里希坦伯格)
Manfred Schnelldorfer,曼弗雷德·施內爾多費爾
Erich I. (Braunschweig-Grubenhagen),埃里希一世·(布倫瑞克-格魯本哈根)
Armin Prinz zur Lippe,阿尔明·(利珀)
Albrecht II. (Braunschweig-Grubenhagen),阿爾布雷希特二世·(布倫瑞克-格魯本哈根)
Otto II. (Braunschweig-Harburg),奧托二世·(布倫瑞克-哈爾堡)
Albrecht I. (Braunschweig-Grubenhagen),阿爾布雷希特一世·(布倫瑞克-格魯本哈根)
Lutz Heck,卢茨·赫克
Sandra Auffarth,桑德拉·奥法特
Ken Adam,肯·亚当
René Hoppe,勒内·霍佩
Hendrik Feldwehr,亨德里克·費爾德威爾
Engelbert II. (Nassau),英格爾貝特二世·(拿騷)
Bernhard II. (Braunschweig-Lüneburg),伯恩哈德二世·(布倫瑞克-呂訥堡)
Philipp Plein,菲利浦·普萊因
Erwin Keller (Hockeyspieler),埃尔温·凯勒
Fanny Rinne,范妮·林内
Nadine Ernsting-Krienke,娜丁·恩斯廷-克林克
Friedrich (Pfalz-Zweibrücken-Veldenz),腓特烈·(普法爾茨-茨魏布呂肯伯爵)
Leopold Ludwig (Pfalz-Veldenz),利奧波德·路德維希·(普法爾茨-費爾登茨)
Martina Hellmann,马丁娜·黑尔曼
"Wolfgang Becker (Regisseur, 1954)",禾夫靳·碧嘉
Astrid Kumbernuss,阿斯特丽德·昆贝尔努斯
Simon August (Lippe),西蒙·奧古斯特·(利珀)
"Hermann von Oppeln-Bronikowski (General, 1899)",赫尔曼·冯·奥佩尔恩-布罗尼科夫斯基
Andreas Dittmer,安德烈亚斯·迪特默
Ernst Freiherr Stromer von Reichenbach,恩斯特·斯特莫
Anja Mittag,安雅·米塔格
Christofer Heimeroth,克里斯托夫·海梅羅特
Philipp I. (Braunschweig-Grubenhagen),腓力一世·(布倫瑞克-格魯本哈根)
Harald Huffmann,哈拉尔德·胡夫曼
Carl Menke,卡尔·门克
Ludwig Beisiegel,路德维希·拜西格尔
Heinz G. Konsalik,孔萨利克
Edward Lasker,爱德华·拉斯克
Dennis Gansel,丹尼斯·甘塞爾
Ursula von der Leyen,乌尔苏拉·冯德莱恩
Hans Baumgartner (Leichtathlet),汉斯·鲍姆加特纳
Luise Danz,路易斯·丹茨
Adel Tawil,阿戴·塔維爾
Ernst Heinrich von Sachsen,恩斯特·海因里希·(薩克森)
Patrick Baum (Tischtennisspieler),帕特里克·鲍姆
Stephanie Beckert,施特凡妮·贝克特
Otto Schily,奥托·席利
Thomas Sanderling,托马斯·桑德林
Alfred Meyer-Waldeck,麦维德
Dieter Baumann,迪特尔·鲍曼
Max Riemelt,馬可斯·尼麥特
Karl Del’Haye,卡尔·德尔哈耶
August Wilhelm (Braunschweig-Wolfenbüttel),奧古斯特·威廉·(不倫瑞克-沃爾芬比特爾)
Rolf Singer,罗尔夫·辛格
Christine Magdalena von Pfalz-Zweibrücken-Kleeburg,克莉絲汀·瑪格達列娜·(普法爾茨-茨魏布呂肯-克萊堡)
Bogdan Musiol,波格丹·穆肖乌
Bianca Schmidt,比安卡·施密特
Jörg Ahmann,约尔格·阿曼
Ernst Heinrich von Dechen,恩斯特·海因里希·卡尔·冯·德兴
"Gerhard Schröder (Politiker, 1910)",格哈特·施罗德·(基民盟)
Marcus Ehning,马库斯·埃宁
Tatjana Pinto,塔季扬娜·平托
Heinrich II. (Hessen),海因里希二世·(黑森)
Roger Kluge,罗格·克卢格
C. W. Ceram,C·W·策拉姆
Rolf Hochhuth,羅爾夫·霍赫胡特
Christoph Eschenbach,克里斯托弗·埃申巴赫
Christian Thielemann,克里斯蒂安·蒂勒曼
Elisabeth Noelle-Neumann,伊丽莎白·诺艾尔-诺依曼
Ernst Zündel,恩斯特·曾德尔
Friedrich Wilhelm I. (Sachsen-Weimar),腓特烈·威廉一世·(薩克森-威瑪)
Franz Wilhelm Prinz von Preußen,普魯士的法蘭茲·威廉
Christa Schroeder (Sekretärin),克里斯塔·施罗德
Petra Felke,彼得拉·费尔克
Fritz Schäffer,弗里茨·舍费尔·(政治人物)
Ernst August II. (Sachsen-Weimar-Eisenach),恩斯特·奧古斯特二世·(薩克森-魏瑪-艾森納赫)
Johann Karl (Pfalz-Gelnhausen),約翰·卡爾·(普法爾茨-蓋爾恩豪森)
Friedrich Wilhelm II. (Sachsen-Altenburg),腓特烈·威廉二世·(薩克森-阿爾滕堡)
Charlotte von Hanau-Lichtenberg,哈瑙-里希坦伯格的夏洛特
Yıldıray Baştürk,耶尔德拉伊·巴什蒂尔克
Karl Friedrich von Hohenzollern,卡尔·弗里德里希·(霍亨索伦)
Armin Laschet,阿明·拉舍特
Georg Niedermeier,格奥格·尼德迈尔
Ludwig VI. (Bayern),路易六世·(巴伐利亞)
Tunay Torun,端尼·杜倫
Fritz Straßmann,弗里茨·施特拉斯曼
Nadja Uhl,纳迪娅·乌尔
Philipp Melanchthon,腓力·墨蘭頓
Dietrich Bonhoeffer,迪特里希·潘霍華
Kristina Schröder,克里斯蒂娜·施罗德
Mehmet Ekici,穆罕默德·埃基吉
Gertrud Scholtz-Klink,格特鲁德·朔尔茨-克林克
Sabine Lisicki,萨比娜·利斯基
Günther Anders,君特·安德斯
Heinrich Eberbach,海因里希·埃伯巴赫
Martin Schwarzschild,馬丁·史瓦西
Werner Kempf (General),維爾納·肯普夫
Heinrich III. (Mecklenburg),海因里希三世·(梅克倫堡)
Albrecht II. (Mecklenburg),阿爾布雷希特二世·(梅克倫堡)
Anton Ulrich von Braunschweig-Wolfenbüttel,安東尼·烏爾里希
Rudolf Bultmann,魯道夫·布爾特曼
Boris Becker,鲍里斯·贝克尔
Nikolaus Ludwig von Zinzendorf,尼古劳斯·路德维希·青岑多夫
Gudrun Pausewang,古德伦·鲍瑟王
Friedrich VIII. (Zollern),腓特烈八世·(索倫伯爵)
Jakob I. (Baden),雅各布一世·(巴登)
Otto von Habsburg,奧托·馮·哈布斯堡
Katja Kipping,卡特娅·基平
Hans-Georg Gadamer,汉斯-格奥尔格·伽达默尔
Georg (Bayern),格奧爾格·(巴伐利亞)
Marcus Élieser Bloch,馬庫斯·埃利澤·布洛赫
Friedrich VI. (Zollern),腓特烈六世·(索倫伯爵)
Ralf Dujmovits,拉夫·杜莫維茨
Karl II. (Hohenzollern-Sigmaringen),卡爾二世·(霍亨索倫-錫格馬林根)
Ludwig (Hohenlohe-Langenburg),路德維希·(霍恩洛厄-朗根堡親王)
Hermann Egon (Fürstenberg-Heiligenberg),赫爾曼·埃貢·(菲斯滕貝格)
Gerhard Himmel,格哈德·希默尔
Albrecht IV. (Bayern),阿爾布雷希特四世·(巴伐利亞)
Heinrich von Brentano,海因里希·冯·布伦塔诺
Lilli Palmer,莉莉·巴露瑪
