Paris,巴黎
Ammerschwihr,阿梅尔斯克维
Ambronay,昂布罗内
Ambert,昂贝尔
Ambarès-et-Lagrave,昂巴雷和拉格拉夫
Altorf,阿尔托尔
Althen-des-Paluds,阿尔唐代帕吕德
Allanche,阿朗克
Aléria,阿萊里亞
Aixe-sur-Vienne,维埃纳河畔艾克斯
Aigurande,艾居朗德
Aigues-Mortes,艾格莫尔特
Aigrefeuille-sur-Maine,曼恩河畔艾格尔弗耶
Aiglemont,艾格勒蒙
Agonac,阿戈纳克
Acquigny,阿基尼
Acigné,阿西涅
Achenheim,阿尚安
Abreschviller,阿布雷什维莱
Ablain-Saint-Nazaire,阿布兰圣纳泽尔
Abilly,阿比伊
La Forêt-Fouesnant,拉福雷富埃斯南
La Forest-Landerneau,拉福雷斯朗代尔诺
La Fare-les-Oliviers,拉法尔莱奥利维耶尔
La Crau,拉克罗
La Colle-sur-Loup,卢河畔拉科尔
La Chevrolière,拉谢夫罗利埃
La Chapelle-Heulin,拉沙佩勒厄兰
La Chapelle-des-Marais,拉沙佩勒代马赖
La Chapelle-des-Fougeretz,拉沙佩勒代富热雷特
La Chapelle-d'Armentières,拉沙佩勒达尔芒蒂耶尔
La Chapelle-Basse-Mer,拉沙佩勒巴斯梅
La Broque,拉布罗屈埃
La Bourboule,拉布尔布尔
La Bouëxière,拉布厄克西埃
La Bernerie-en-Retz,雷特地区拉贝尔纳里耶
Krautergersheim,克罗泰尔热尔桑
Kœnigsmacker,科埃尼格斯马凯
Kersaint-Plabennec,凯尔桑普拉伯内克
Kernilis,凯尔尼利
Kaysersberg,凯塞尔斯贝尔
Larressore,拉尔雷索尔
La Roche-Maurice,拉罗克莫里克
La Roche-Derrien,拉罗克代尔里安
La Queue-en-Brie,布里耶地区拉克
La Penne-sur-Huveaune,于沃恩河畔拉庞
Lannilis,拉尼利
Lanmeur,朗默
Langeais,朗热
Lampaul-Guimiliau,朗波吉米利奥
La Mézière,拉梅齐埃
Laillé,莱莱
Lahonce,朗克
La Haye-Pesnel,拉艾埃佩斯内
La Guerche-de-Bretagne,拉盖尔克德布雷塔尼
Cluis,克吕伊
Clohars-Fouesnant,克洛阿尔富埃斯南
Clohars-Carnoët,克洛阿尔卡尔诺厄
Cléder,克莱代
Cléden-Poher,克莱当波埃
Ciboure,锡布尔
Chevigny-Saint-Sauveur,谢维尼圣索弗
Cheverny,谢韦尔尼
Chéraute,谢罗特
Chaudes-Aigues,绍代艾盖
Châteauponsac,沙托蓬萨克
Châteauneuf-sur-Loire,卢瓦尔河畔新堡
Châteauneuf-le-Rouge,勒鲁热新堡
Châteauneuf-du-Faou,沙托纳迪福
Châteauneuf-Grasse,沙托纳格拉斯
Châteaumeillant,沙托梅朗
Châteaulin,沙托兰
Chanteau,尚托
Guise,吉斯
Guipavas,吉帕瓦
Guilers,吉莱尔
Guéthary,盖塔里
Groix,格鲁瓦
Grand-Fougeray,格朗富热赖
Gourin,古兰
Gouesnou,古埃斯努
Gouarec,古阿雷克
Gordes,戈尔代
Givet,日韦
Gimont,吉蒙
Gevrey-Chambertin,热夫雷尚贝尔坦
Garches,加尔舍
Gaillon,盖隆
Fumay,菲迈
Jouy-le-Moutier,茹伊勒穆蒂耶
Josselin,若瑟兰
Jargeau,雅尔若
Ivry-la-Bataille,伊夫里拉巴泰尔
Itxassou,伊特萨苏
Isbergues,伊斯贝格
Huelgoat,于埃尔戈阿
Hesdin,埃丹
Hégenheim,埃热南
Hauteville-Lompnes,奥特维耶－隆内斯
Hautefort,奥泰福尔
Hasparren,阿斯帕朗
Harnes,阿尔讷
Hagetmau,阿热特莫
Gujan-Mestras,居让梅斯特拉
Saint-Saulve,圣索尔沃
Saint-Pourçain-sur-Sioule,锡乌勒河畔圣普尔桑
Saint-Pol-de-Léon,圣波德莱翁
Saint-Philbert-de-Grand-Lieu,圣菲尔贝尔德格朗德-利厄
Saint-Pée-sur-Nivelle,尼韦尔河畔圣佩埃
Saint-Paul-de-Vence,圣保罗
Saint-Ouen-l'Aumône,圣乌昂洛莫纳
Saint-Orens-de-Gameville,圣奥朗德加默维尔
Saint-Méen-le-Grand,大圣梅昂
Saint-Maximin-la-Sainte-Baume,圣马克西曼拉-桑特博默
Saint-Martin-Vésubie,圣马丹韦叙比耶
Saint-Martin-Boulogne,圣马丹布洛涅
Saint-Macaire-en-Mauges,莫热地区圣马凯尔
Saint-Loubès,圣卢贝
Saint-Lary-Soulan,圣拉里苏朗
Saint-Just-en-Chaussée,绍塞埃地区圣瑞斯
Saint-Julien-du-Sault,圣瑞利安迪索尔
Saint-Julien-Chapteuil,圣瑞利安沙普特伊
Saint-Jean-Pied-de-Port,圣让-皮耶德波尔
Saint-Jean-en-Royans,鲁瓦昂地区圣让
Saint-Jean-Cap-Ferrat,圣让卡弗尔拉
Saint-Jean-Bonnefonds,圣让博内丰德
Saint-Jacques-de-la-Lande,圣雅屈埃德拉-朗德
Saint-Gildas-de-Rhuys,圣吉尔达德吕伊
Saint-Geniès-de-Comolas,圣热涅德孔奥拉
Saint-Étienne-de-Tinée,圣埃蒂安德蒂内埃
Saint-Étienne-de-Baïgorry,圣埃蒂安德拜戈尔里
Saint-Estève,圣埃斯泰夫
Sainte-Sigolène,圣西戈莱恩
Sainte-Savine,圣萨万
Saint-Émilion,圣埃米利翁
Sainte-Maxime,桑特马克西默
Sainte-Foy-la-Grande,大圣富瓦
Saint-Cyr-sur-Mer,滨海圣西
Saint-Cast-le-Guildo,圣卡斯莱吉尔多
Saint-Brice-sous-Forêt,圣布里斯苏福雷
Saint-Brice-en-Coglès,科格莱地区圣布里克
Saint-Briac-sur-Mer,滨海圣布里阿克
Saint-Brevin-les-Pins,圣布勒万莱潘
Saint-Aubin-du-Cormier,圣奥班迪科尔米耶
Saint-Affrique,圣阿夫里屈埃
Roussillon,鲁西永
Rosheim,罗塞姆
Roquevaire,罗屈埃韦尔
Roquebrune-sur-Argens,阿尔冈河畔罗屈埃布吕纳
Ronchin,龙尚
Rombas,龙巴
Rognac,罗尼亚克
Rocroi,罗克鲁瓦
Riquewihr,里屈埃维
Rions,里翁
Revin,勒万
Replonges,勒普隆日
Rennes-le-Château,雷恩堡
Reichshoffen,雷克索方
Rédené,雷代内
Pfaffenhoffen,普法方奥方
Pérols,佩罗尔
Pernes-les-Fontaines,佩尔纳勒丰泰纳
Pauillac,波亚克
Patay,帕提
Parentis-en-Born,博尔恩地区帕朗蒂
Paray-Vieille-Poste,帕赖维耶伊勒波斯特
Panazol,帕纳佐
Outreau,乌特罗
Orchies,奥尔希
Oradour-sur-Glane,格拉讷河畔奥拉杜尔
Onet-le-Château,奥内莱沙托
Solliès-Pont,索利耶蓬
Sizun,西赞
Sin-le-Noble,桑勒诺布勒
Sézanne,塞扎讷
Serres-Castet,塞尔雷卡斯泰
Séméac,塞梅阿克
Saulieu,索利厄
Sassenage,萨瑟纳格
Sare,萨尔
Sancerre,桑塞尔
Sanary-sur-Mer,滨海萨纳里
Sallaumines,萨洛米讷
Salins-les-Bains,萨兰莱班
Saint-Yvi,圣伊维
Saint-Thégonnec,圣泰戈内克
Vézelay,弗泽莱
Verson,韦尔松
Vernet-les-Bains,韦尔内莱班
Vauréal,沃雷阿
Vaucresson,沃克雷松
Valognes,瓦洛盖
Valbonne,瓦尔邦
Vaison-la-Romaine,韦松拉罗迈纳
Ustaritz,于斯塔里茨
Urt,于尔
Urrugne,于尔吕尼
Urcuit,于尔屈伊
Trouville-sur-Mer,滨海特鲁维尔
Rambervillers,朗贝尔维莱尔
Ramatuelle,拉马蒂埃尔
Questembert,屈埃斯唐贝尔
Querrien,屈埃尔里安
Quéménéven,屈埃梅内旺
Pouilly-sur-Loire,卢瓦尔河畔普伊
Portiragnes,波尔蒂拉盖
Pont-Saint-Esprit,蓬圣埃斯普里
Pont-Aven,阿旺桥
Podensac,波当萨克
Plouzané,普卢扎内
Plounévez-Lochrist,普卢内韦洛克里斯
Plouigneau,普卢伊盖奥
Plouguerneau,普卢盖尔诺
Plougastel-Daoulas,普卢加斯泰多拉
Ploufragan,普卢夫拉冈
Plouescat,普卢埃斯卡
Ploudalmézeau,普卢达尔梅佐
Ploubazlanec,普卢巴兹拉内克
Plonéour-Lanvern,普洛内乌朗韦尔恩
Plomeur,普洛默
Plogoff,普洛戈
Ploeren,普洛埃朗
Plobsheim,普洛布桑
Pleyben,普莱邦
Plan-de-Cuques,普朗德屈屈埃
Tréguier,特雷吉耶
Tocane-Saint-Apre,托康圣阿普尔
Terrasson-Lavilledieu,泰尔拉松拉维莱迪厄
Tavaux,塔沃
Taulé,托莱
Tarnos,塔尔诺
Tarascon-sur-Ariège,阿里耶格河畔塔拉斯孔
Tabanac,塔巴纳克
Soustons,苏斯通
Souraïde,苏赖德
Soulac-sur-Mer,滨海苏拉克
Soufflenheim,苏夫勒南
Soorts,索奥尔特奥瑟戈
Betschdorf,贝特斯克多尔
Nyons,尼永斯
Noirmoutier-en-l'Île,利勒地区努瓦尔穆蒂耶
Nogent-sur-Vernisson,韦尔尼松河畔诺让
Nœux-les-Mines,讷莱米讷
Neuf-Brisach,纳布里萨克
Nantua,南蒂阿
Mutzig,米特齐
Mûr-de-Bretagne,米德布雷塔尼
Mouy,穆伊
Mouvaux,穆沃
Mouguerre,穆盖尔
Morsang-sur-Orge,奥尔日河畔莫尔桑
Montsoreau,蒙特索罗
Fouquières-lès-Lens,富基耶尔莱朗斯
Fouesnant,富埃斯南
Forcalquier,福卡尔基耶
Fontoy,丰图瓦
Fondettes,丰代泰
Feurs,弗尔
Faches-Thumesnil,法什蒂梅斯尼勒
Èze,埃兹
Évron,埃夫龙
Étretat,埃特雷塔
Étaples,埃塔普勒
Étables-sur-Mer,滨海埃塔布莱
Bois de Vincennes,文森森林
Bohain-en-Vermandois,博安昂韦尔芒多瓦
Blotzheim,布洛特赞
Bléré,布莱雷
Blérancourt,布莱朗库尔
Blainville-sur-Orne,奥尔恩河畔布兰维尔
Blainville-Crevon,布兰维尔-克勒翁
Bize-Minervois,比兹米内尔瓦
Billom,比隆
Bidache,比达许
Beuzeville,伯泽维尔
Beuzec-Cap-Sizun,伯泽克卡西赞
Bessines-sur-Gartempe,加尔唐普河畔贝西纳
Berre-les-Alpes,贝尔莱阿尔佩
Bergues,贝尔格
Bénodet,贝诺代
Bennwihr,邦维
Belvès,贝尔韦
Bellême,贝莱姆
Belle-Isle-en-Terre,泰尔地区贝莱-伊斯尔
Bégard,贝加尔
Bédoin,贝端
Bédarieux,贝达里约
Beaumont-lès-Valence,博蒙莱瓦朗克
Beaumont-le-Roger,博蒙莱罗热
Beaumont-du-Périgord,博蒙迪佩里戈尔
Beaulieu-sur-Mer,滨海博略
Beaulieu-sur-Dordogne,多尔多尼河畔博利厄
Beaugency,博让西
Montmédy,蒙梅迪
Montlouis-sur-Loire,卢瓦尔河畔蒙特卢伊
Montlignon,蒙特利尼翁
Montigny-lès-Cormeilles,蒙蒂尼莱科尔梅耶
Montigny-en-Gohelle,蒙蒂尼昂戈埃勒
Montgeron,蒙特热龙
Monein,莫南
Monbazillac,蒙巴齐拉克
Mimizan,米米藏
Meung-sur-Loire,卢瓦尔河畔默恩
Louvigné-de-Bais,卢维涅德拜
Lourmarin,卢尔马兰
Lons,隆镇
Lodève,洛代夫
Loctudy,洛克蒂迪
Locronan,洛克罗南
Locoal-Mendon,洛科阿芒东
Locmariaquer,洛克马里阿屈埃
Linselles,兰泽勒
Liancourt,利昂库尔
Le Touquet-Paris-Plage,勒图凯巴黎普拉日
Le Theil-de-Bretagne,勒泰德布雷塔尼
Cunlhat,坎拉
Cugnaux,屈尼奥
Cruas,克吕阿
Crozon,克罗宗
Creutzwald,克勒特兹瓦尔
Crécy-en-Ponthieu,克雷西昂蓬蒂约
Cransac,克朗萨克
Courrières,库里耶尔
Courcouronnes,库尔库罗纳
Couëron,库厄龙
Cormeilles-en-Parisis,帕里西地区科尔梅耶
Coray,科赖
Condé-sur-Noireau,努瓦罗河畔孔代
Condé-sur-l'Escaut,埃斯科河畔孔代
Conches-en-Ouche,乌什地区孔谢
Commentry,科芒特里
Combrit,孔布里
Collioure,科利乌尔
Colleville-Montgomery,科勒维尔蒙特戈默里
Buzançais,比藏赛
Bussy-Saint-Georges,比西圣乔治
Burnhaupt-le-Haut,比尔诺普莱奥
Bures-sur-Yvette,伊维特河畔比尔
Bully-les-Mines,比利莱米讷
Bruyères,布吕伊埃雷
Briscous,布里斯库
Brienne-le-Château,布里安莱沙托
Briec,布里耶克
Bretteville-sur-Odon,奥东河畔布雷特维尔
Breil-sur-Roya,鲁瓦阿河畔布雷
Bréal-sous-Montfort,布雷阿苏蒙特福尔
Bray-Dunes,布赖迪讷
Brasparts,布拉斯帕尔特
Brandérion,布朗代里翁
Bourgueil,布尔盖
Bourgneuf-en-Retz,雷特地区布尔盖于
Bourg-Blanc,布尔布朗克
Bouc-Bel-Air,布克贝艾
Bonnieux,博尼约
Mellac,默拉克
Melgven,梅尔格旺
Mauléon-Licharre,莫莱翁利沙尔
Maubourguet,莫布尔盖
Martigné-Ferchaud,马尔蒂涅弗尔绍
Marsannay-la-Côte,马尔萨奈拉科特
Marquette-lez-Lille,马凯特莱里尔
Marlenheim,马尔勒南
Margny-lès-Compiègne,马尔尼莱孔皮耶尼
Manzat,芒扎
Maintenon,曼特农
Maillane,迈朗
Machecoul,马谢库
Châlus,沙吕
Chalampé,沙朗佩
Chailley,谢莱
Cessy,塞西
Cauchy-à-la-Tour,科希拉图尔
Castillon-la-Bataille,卡斯蒂隆拉巴泰尔
Castets-en-Dorthe,多尔特地区卡斯泰特
Carsac-Aillac,卡尔萨克艾拉克
Carry-le-Rouet,卡里勒鲁埃
Carmaux,卡尔莫
Carentan,卡朗唐
Carantec,卡朗泰克
Cappelle-la-Grande,大卡佩勒
Capbreton,卡普布雷通
Cancon,康孔
Cancale,康卡尔
Cambo-les-Bains,康博莱班
Camaret-sur-Mer,滨海卡马雷
Callac,卡拉克
Cadenet,卡代纳
Buzet-sur-Baïse,拜斯河畔比泽
Esquibien,埃斯屈伊比安
Espéraza,埃斯佩拉扎
Espelette,埃斯佩莱特
Erquy,埃尔屈伊
Équeurdreville-Hainneville,埃屈厄尔德勒维尔艾纳维尔
Épinay-sur-Orge,奥尔日河畔埃皮奈
Épinay-sous-Sénart,埃皮奈苏塞纳尔
Ensisheim,昂西桑
Enghien-les-Bains,昂吉安莱班
Eguisheim,埃吉桑
Ébreuil,埃布勒伊
Dugny,迪尼
Douchy-les-Mines,杜希莱米讷
Donzy,东齐
Dol-de-Bretagne,多德布雷塔尼
Divion,迪维永
Dirinon,迪里农
Dinsheim-sur-Bruche,布吕克河畔丹桑
Digoin,迪古安
Dieuze,迪耶于兹
Diemeringen,迪耶默兰让
Dettwiller,代特维莱
Déols,代奥尔
Delle,德尔
Bazouges-la-Pérouse,巴祖热拉佩鲁斯
Bazeilles,巴泽耶
Bassussarry,巴叙萨里
Bassillac,巴西拉克
Barcelonnette,巴尔瑟洛内特
Barbentane,巴邦塔纳
Bannalec,巴纳莱克
Bandol,邦多
Balaruc-les-Bains,巴拉吕克莱班
Baixas,拜克萨
Bains-sur-Oust,乌斯河畔班
Bain-de-Bretagne,班德布雷塔尼
Bagnères-de-Luchon,巴涅尔-德吕雄
Badonviller,巴东维莱
Baccarat,巴卡拉
Azay-le-Rideau,阿泽莱里多
Azay-le-Ferron,阿泽莱弗尔龙
Ayguesvives,艾盖斯维韦
Ax-les-Thermes,阿克斯莱泰尔姆
Auxonne,奥克松
Auvers-sur-Oise,瓦兹河畔欧韦
Aups,奥普
Aumont-Aubrac,奥蒙奥布拉克
Audun-le-Tiche,奥丹莱蒂克
Audierne,奥迪耶尔恩
Auchel,欧谢勒
Aubigny-sur-Nère,内尔河畔奥比尼
Attigny,阿蒂尼
Ascain,阿斯坎
Arthon,阿尔通
Le Mont-Saint-Michel,聖米歇爾山
Carnoux-en-Provence,普罗旺斯地区卡努
Jardin du Luxembourg,卢森堡公园
Château de Chambord,香波尔城堡
Viaduc de Millau,米約高架橋
Peyrat-le-Château,佩拉勒沙托
Zuydcoote,聚伊德科特
Zutkerque,聚凯尔克
Zoteux,佐特
Zeinheim,泽南
Yzeures-sur-Creuse,克勒斯河畔伊泽雷
Yvrac,伊夫拉克和马莱朗
Yvignac-la-Tour,伊维尼亚克拉图
Yvelines,伊夫林省
Yonne,约讷省
Yffiniac,伊菲尼阿克
Yèvres,伊埃夫雷
Ydes,伊代
Xonrupt-Longemer,克松吕普隆热默
Xivry-Circourt,克西夫里西尔库尔
Xertigny,克塞尔蒂尼
Wolxheim,沃尔克桑
Wizernes,维泽讷
Wittisheim,维蒂桑
Wissant,维桑
Wismes,维姆
Wisches,维斯谢
Wingersheim,万热尔桑
Wingen-sur-Moder,莫代河畔万让
Wimmenau,维默诺
Wimille,维米耶
Wimereux,维姆勒
Wignehies,维涅
Westhouse,韦斯图斯
Westhoffen,韦斯托方
Wervicq-Sud,南韦尔维克
Weiterswiller,韦泰尔斯维莱
Weitbruch,韦特布吕克
Waziers,瓦齐耶
Wavrans-sur-Ternoise,泰努瓦斯河畔瓦夫朗
Wavignies,瓦维涅
Wassy,瓦西
Warluis,瓦尔吕伊
Warlencourt-Eaucourt,瓦尔朗库尔欧库尔
Wargnies-le-Grand,大瓦尔涅
Wardrecques,瓦尔德雷克
Wandignies-Hamage,旺迪尼阿马热
Waltenheim-sur-Zorn,佐尔恩河畔瓦尔特南
Walscheid,瓦尔斯谢
Waldwisse,瓦尔德维斯
Wailly-Beaucamp,瓦伊博康
Vred,弗雷德
Voves,沃韦
Vouzon,武宗
Vieux Vouzan,武藏
Vouneuil-sur-Vienne,维埃纳河畔武纳伊
Vouneuil-sous-Biard,武纳伊苏比阿尔
Voulpaix,武尔佩
Vosges,孚日省
Vonnas,沃纳斯
Volx,沃尔
Volonne,沃隆
Volmunster,沃尔曼斯泰
Void-Vacon,瓦瓦孔
Vœuil-et-Giget,沃厄伊和吉热
Vizille,维齐尔
Vivonne,维沃纳
Viven,维旺
Vittersbourg,维泰尔斯布尔
Vitteaux,维托
Vitry-sur-Orne,奥尔恩河畔维特里
Vitry-en-Artois,维特里昂纳图瓦
Vitry-aux-Loges,维特里奥洛热
Vissec,维塞克
Visker,维斯凯
Vis-en-Artois,维斯昂纳图瓦
Visan,维桑
Violès,维奥莱
Violay,维奥莱
Violaines,维约莱讷
Viodos,维奥多斯-阿邦斯德巴
Vins-sur-Caramy,卡拉米河畔万
Vinsobres,万索布雷
Vinon-sur-Verdon,弗尔东河畔维农
Vineuil-Saint-Firmin,维纳伊圣菲尔曼
Vincey,万塞
Vinassan,维纳桑
Vimy,维米
Vimoutiers,维穆蒂耶尔
Villiers-sur-Orge,奥尔日河畔维利耶尔
Villiers-sur-Loir,卢瓦河畔维利耶尔
Villiers-le-Duc,维利耶尔莱迪克
Villiers-le-Bâcle,维利耶尔勒巴克尔
Villevocance,维勒沃康克
Villeveyrac,维勒韦拉克
Villevêque,维莱韦屈埃
Villes-sur-Auzon,奥宗河畔维勒
Villerupt,维勒吕普
Villers-sur-Mer,滨海维莱尔
Villers-sous-Saint-Leu,维莱尔苏圣勒
Villers-Sir-Simon,维莱西尔西蒙
Villers-Saint-Paul,维莱尔圣波
Villers-Pol,维莱波勒
Villers-Outréaux,维莱乌特雷欧
Villers-le-Lac,维莱尔莱拉克
Villers-Bretonneux,维莱布勒托讷
Villers-au-Flos,维莱欧夫洛
Villerest,维勒雷斯
Villeréal,维莱雷阿
Villepot,维勒波
Villeneuve-Tolosane,托洛桑新城
Villeneuve-sur-Yonne,约讷河畔维尔纳沃
Villeneuve-sur-Verberie,韦尔伯里耶河畔新城
Villeneuve-les-Corbières,维勒纳夫莱科尔比埃
Villeneuve-l'Archevêque,维尔纳沃拉尔舍韦屈厄
Villeneuve-la-Guyard,维尔纳沃拉居伊阿尔
Villeneuve-de-Marsan,马尔桑新城
Villeneuve-de-Duras,迪拉新城
Villeneuve-de-Berg,贝尔新城
Villenauxe-la-Grande,大维勒诺
Villemur-sur-Tarn,塔尔恩河畔维莱米
Villemoisson-sur-Orge,奥尔日河畔维莱穆瓦松
Villelongue-de-la-Salanque,维莱隆盖德拉-萨朗屈埃
Villelaure,维莱洛勒
Villejust,维尔瑞斯
Villefranche-du-Périgord,佩里戈尔自由城
Villefranche-de-Panat,帕纳自由城
Villefranche-de-Lauragais,洛拉盖自由城
Villefranche-de-Conflent,孔夫朗自由城
Villefavard,维莱法瓦尔
Villefagnan,维莱法尼昂
Villedieu-sur-Indre,安德尔河畔维莱迪厄
Villedieu-les-Poêles,维莱迪厄莱波埃莱
Villedieu-la-Blouère,维莱迪厄拉布卢埃尔
Villecroze,维莱克罗泽
Villecresnes,维莱克雷纳
Villebernier,维勒贝尔涅
Villé,维莱
Villars-sur-Var,瓦河畔维拉尔
Villars-Colmars,维拉尔科尔马尔
Villar-Saint-Pancrace,维拉圣庞克拉克
Villard-de-Lans,维拉尔德朗
Villard-Bonnot,维拉尔邦奥
Villamblard,维朗布拉尔
Villaines-sous-Bois,森林维莱讷
Villaines-la-Juhel,维莱内拉瑞埃
Villabé,维拉贝
Vilhonneur,维约纳
Vildé-Guingalan,维尔代吉恩加朗
Vihiers,维耶尔
Vigy,维吉
Vigoulet,维古莱奥齐
Vignoc,维尼奥克
Vigneux-de-Bretagne,维盖于德布雷塔尼
Vignacourt,维尼亚库尔
Viévy,维埃维
Vieux-Vy-sur-Couesnon,库埃斯农河畔维耶于克斯-维
Vieux-Mareuil,弗约马勒伊
Tour Eiffel,艾菲爾鐵塔
Les Rues-des-Vignes,莱吕埃德维涅
Les Rousses,莱斯鲁塞
Les Rosiers-sur-Loire,卢瓦尔河畔莱斯罗谢尔
Lespourcy,莱斯普尔西
Lespignan,莱斯皮尼昂
Lespielle,莱斯皮耶尔
Les Perques,莱斯佩尔屈埃
Le Soler,勒索莱
Lesneven,莱斯纳旺
Les Moutiers-en-Retz,雷特地区莱斯穆蒂耶尔
Les Montils,莱斯蒙蒂尔
Les Molières,莱斯莫利埃
Les Métairies,莱斯梅泰里耶
Les Mathes,莱斯马泰
Les Matelles,莱斯马泰莱
Les Martys,莱斯马尔蒂
Les Maillys,莱斯迈利
Les Magnils-Reigniers,莱斯马尼尔雷涅尔
Les Mages,莱斯马热
Les Lucs-sur-Boulogne,布洛格河畔莱斯吕克
Les Lèches,莱斯莱谢
Les Graulges,莱斯格罗尔热
Les Fougerêts,莱斯富热雷特
Les Fins,莱斯凡
Les Eyzies-de-Tayac-Sireuil,莱塞齐耶德泰阿克-西勒伊
Les Esseintes,莱塞桑泰
Les Epesses,莱瑟佩瑟
Lescure-Jaoul,莱斯屈尔若
Crots,克罗特
Les Costes,莱斯科斯泰
Les Clérimois,莱斯克莱里穆瓦
Les Châtelliers-Châteaumur,莱斯沙泰利耶尔沙托米
Les Cerqueux-sous-Passavant,莱斯塞尔屈厄苏帕萨旺
Les Cars,莱斯卡尔
Les Brulais,莱斯布吕莱
Les Brouzils,莱斯布鲁齐尔
Les Billanges,莱斯比朗热
Les Baux-de-Provence,普罗旺斯地区莱博
Les Avenières,莱萨韦尼埃
Les Authieux-sur-Calonne,卡隆河畔莱索蒂厄
Les Attaques,莱阿塔克
Les Assions,莱萨雄
Les Arques,莱萨尔屈埃
Le Sappey-en-Chartreuse,沙尔特勒斯地区勒萨佩
Les Angles,莱桑格莱
Le Saix,勒赛
Les Ageux,莱萨热
Le Rove,勒罗夫
Le Rouret,勒鲁雷
Le Revest-les-Eaux,莱勒弗斯勒奥
Léren,莱朗
Rayol-Canadel-sur-Mer,滨海赖奥尔卡纳代
Le Quesnoy,勒凯努瓦
Le Puy-Sainte-Réparade,勒皮伊圣雷帕拉德
Le Puy-Notre-Dame,勒皮伊诺特尔当
Lepuix,莱皮伊
Le Pouzin,勒普赞
Le Pouliguen,勒普利盖恩
Le Poinçonnet,勒普安索内
Le Poët-Laval,勒波厄拉瓦
Le Plessis-Trévise,莱普莱西特勒维斯
Le Plessis-Pâté,莱普莱西帕特
Le Plessis-Macé,勒普莱西马塞
Le Plessis-Luzarches,勒普莱西吕扎尔舍
Le Plessis-Grimoult,勒普莱西格里穆尔
Le Plessis-Grammoire,勒普莱西格拉穆瓦尔
Le Plessis-Bouchard,勒普莱西布沙尔
Le Pizou,勒皮祖
Le Pin-en-Mauges,莫热地区勒潘
Le Pellerin,勒佩勒兰
Le Pêchereau,勒佩谢罗
Le Parcq,勒帕尔克
Le Pallet,勒帕莱
Léogeats,莱奥雅特
Le Nizan,勒尼藏
Léning,莱南
Le Neubourg,勒纳布尔
Lencloître,朗克卢瓦特勒
Le Muy,勒米伊
Lempzours,朗普祖尔
Lempdes,朗普代
Le Moulinet-sur-Solin,索兰河畔勒穆利内
Le Monêtier-les-Bains,勒莫内蒂耶莱班
Le Monastier-sur-Gazeille,加泽尔河畔勒莫纳斯蒂耶
Le Molay-Littry,勒莫莱利特里
Le Minihic-sur-Rance,朗克河畔勒米尼伊克
Le Meux,勒默
Le Mesnil-sur-Oger,奥热河畔勒梅斯尼
Le Mesnil-Rouxelin,勒梅斯尼鲁克塞兰
Le Mesnil-Opac,勒梅斯尼奥帕克
Le Mesnil-Herman,勒梅斯尼埃尔芒
Le Mesnil-Gilbert,勒梅斯尼吉尔贝尔
Le Mesnil-en-Vallée,瓦莱埃地区勒梅斯尼
Le Mesnil-Benoist,勒梅斯尼邦瓦斯
Le Mesnil-Aubry,莱梅斯尼奥布里
Le Mesnil-Aubert,勒梅斯尼奥贝尔
Le Ménil,莱默尼
Lème,莱姆
Lembeye,朗贝埃
Lembach,朗巴克
Le May-sur-Èvre,埃夫尔河畔勒迈
Le Mayet-de-Montagne,勒迈埃德蒙塔尼
Le Mas-d'Agenais,勒马达热奈
Le Mas,勒马
Le Marais-la-Chapelle,勒马赖拉沙佩尔
Le Malzieu-Ville,勒马尔齐厄维尔
Le Luc,勒吕克
Le Louroux Béconnais,勒卢鲁贝科奈
Le Lou-du-Lac,勒卢迪拉克
Le Loroux-Bottereau,勒洛鲁博特罗
Le Lavandou,莱拉旺杜
Le Lauzet-Ubaye,勒洛泽于拜埃
Le Lardin-Saint-Lazare,勒拉尔丹圣拉扎尔
Le Landreau,勒朗德罗
Le Juch,勒瑞克
Léhon,莱翁
Le Hohwald,勒奥瓦尔
Le Hinglé,勒安格莱
Le Hézo,勒埃佐
Léguillac-de-Cercles,莱吉拉克德塞尔克莱
Léguevin,莱盖万
Le Guerno,勒盖尔诺
Le Grau-du-Roi,勒格罗迪鲁瓦
Le Grand-Pressigny,勒格朗普雷西尼
Le Grand-Lemps,勒格朗朗普
Le Grand-Bourg,勒格朗布尔
Gond-Pontouvre,贡蓬图夫尔
Legé,莱热
Lège-Cap-Ferret,莱格卡弗尔雷
Le Gâvre,勒加夫尔
Le Gast,勒加斯
Le Fuilet,勒菲伊莱
Le Fugeret,勒菲热雷
Le Fresne-Poret,勒夫雷斯恩波雷
Le Fouilloux,勒富伊卢
Leforest,勒福雷
Le Fleix,勒夫莱
Le Fief-Sauvin,勒菲耶索万
Leffrinckoucke,莱夫兰克乌克
Le Ferré,勒弗尔雷
Le Fenouiller,勒方乌伊莱
Lées,莱埃阿塔
Leers,莱尔
Ledringhem,莱德兰盖姆
Le Dorat,勒多拉
Le Donjon,勒东容
Lédignan,莱迪尼昂
Ledeuix,勒德伊
Lédenon,莱当翁
Lecumberry,莱坎贝尔里
Lectoure,莱克图尔
Le Crotoy,勒克罗图瓦
Le Coudray-sur-Thelle,泰尔河畔勒库德赖
Le Coudray-Montceaux,勒库德赖蒙特科
Le Cloître-Saint-Thégonnec,勒克卢瓦特尔圣泰戈内克
