stefano cerioni,스테파노 체리오니,seutepano cerioni
renato carpentieri,레나토 카펜티에리,renato kapentieri
milena miconi,밀레나 미코니,milrena mikoni
emilio caprile,에밀리오 카프릴레,emilrio kapeurilre
alessio boni,아레시오 보니,aresio boni
umberto orsini,움베르토 오르시니,umbereuto oreusini
gigi d'agostino,지지 다고스티노,jiji dagoseutino
guido masetti,기도 마세티,gido maseti
franco menichelli,프란코 메니켈리,peuranko menikelri
renato zaccarelli,레나토 차카렐리,renato cakarelri
luca guadagnino,루카 구아다니노,ruka guadanino
joel mchale,조엘 맥헤일,joel maegheil
paolo cannavaro,파올로 칸나바로,paolro kannabaro
giuseppe ungaretti,주세페 운가레티,jusepe ungareti
rolando bianchi,롤란도 비안키,rolrando bianki
valentina diouf,발렌티나 디우프,balrentina diupeu
mario bertini,마리오 베르티니,mario bereutini
antonio catania,안토니오 카타니아,antonio katania
frank pentangeli,프랭키 펜탄젤리,peuraengki pentanjelri
carlo ceresoli,카를로 체레솔리,kareulro ceresolri
nino martini,니노 마르티니,nino mareutini
remo ruffini,레모 루피니,remo rupini
luisa ranieri,루이자 라니에리,ruija ranieri
michele didoni,미켈레 디도니,mikelre didoni
cristiano del grosso,크리스티아노 델 그로소,keuriseutiano del geuroso
ferruccio lamborghini,페루치오 람보르기니,perucio ramboreugini
andrea dossena,안드레아 도세나,andeurea dosena
emilio colombo,에밀리오 콜롬보,emilrio kolrombo
carlo reali,카를로 레알리,kareulro realri
carlo rizzo,카를로 리조,kareulro rijo
carlo parola,카를로 파롤라,kareulro parolra
marco parolo,마르코 파롤로,mareuko parolro
luca caldirola,루카 칼디롤라,ruka kaldirolra
gioia marzocca,조이아 마르초카,joia mareucoka
gianpietro marchetti,잔피에트로 마르케티,janpieteuro mareuketi
leopoldo conti,레오폴도 콘티,reopoldo konti
carlo rovelli,카를로 로벨리,kareulro robelri
simonetta stefanelli,시모네타 스테파넬리,simoneta seutepanelri
giuseppe peruchetti,주세페 페루케티,jusepe peruketi
maxi lópez,막시 로페즈,magsi ropejeu
vincenzo nibali,빈첸초 니발리,bincenco nibalri
giuseppe di stefano,주세페 디 스테파노,jusepe di seutepano
lucio fontana,루초 폰타나,ruco pontana
alessandro gamberini,알레산드로 감베리니,alresandeuro gamberini
tinto brass,틴토 브라스,tinto beuraseu
bartolomeo ammannati,바르톨로메오 암만나티,bareutolromeo ammannati
giorgio moroder,조르조 모로더,joreujo morodeo
angelo ogbonna,안젤로 오그본나,anjelro ogeubonna
giorgio pasotti,조르조 파소티,joreujo pasoti
elvio banchero,엘비오 반케로,elbio bankero
pier giacomo pisoni,피에르 자코모 피소니,piereu jakomo pisoni
glauco onorato,글라우코 오노라토,geulrauko onorato
mario varglien,마리오 발리엔,mario balrien
enrico casarosa,엔리코 카사로사,enriko kasarosa
valeria ciangottini,발레리아 시안고티니,balreria siangotini
giovanni marchese,조반니 마르케세,jobanni mareukese
mark bresciano,마크 브레시아노,makeu beuresiano
salvatore adamo,살바토르 아다모,salbatoreu adamo
curzio malaparte,쿠르치오 말라파르테,kureucio malrapareute
marco tardelli,마르코 타르델리,mareuko tareudelri
roberto citran,로베르토 시트란,robereuto siteuran
enrico lo verso,엔리코 로 베르소,enriko ro bereuso
mario del monaco,마리오 델 모나코,mario del monako
diego alves,지에구 아우베스,jiegu aubeseu
mauro tassotti,마우로 타소티,mauro tasoti
enrico porro,엔리코 포로,enriko poro
enzo bearzot,엔초 베아르초트,enco beareucoteu
cristiano zanetti,크리스티아노 차네티,keuriseutiano caneti
gianluca pagliuca,잔루카 팔리우카,janruka palriuka
aldo montano,알도 몬타노,aldo montano
andrés d'alessandro,안드레스 달레산드로,andeureseu dalresandeuro
luigi diberti,루이지 디베르티,ruiji dibereuti
isabella ferrari,이사벨라 페라리,isabelra perari
turi ferro,투리 페로,turi pero
daniele gatti,다니엘레 가티,danielre gati
franco corelli,프랑코 코렐리,peurangko korelri
luigi di biagio,루이지 디 비아조,ruiji di biajo
ciro ferrara,치로 페라라,ciro perara
cristian molinaro,크리스티안 몰리나로,keuriseutian molrinaro
renato ruggiero,레나토 루지에로,renato rujiero
stefano casiraghi,스테파노 카시라기,seutepano kasiragi
simona izzo,시모나 이초,simona ico
orso maria guerrini,오소 마리아 구에리니,oso maria guerini
sandro mazzola,산드로 마촐라,sandeuro macolra
salvatore bocchetti,살바토레 보케티,salbatore boketi
marco leonardi,마르코 레오나르디,mareuko reonareudi
nicola rizzoli,니콜라 리촐리,nikolra ricolri
angelo schiavio,안젤로 스키아비오,anjelro seukiabio
giancarlo giannini,잔카를로 잔니니,jankareulro jannini
claudio santamaria,클라우디오 산타마리아,keulraudio santamaria
andrea ranocchia,안드레아 라노키아,andeurea ranokia
cristian rodríguez,크리스티안 로드리게스,keuriseutian rodeurigeseu
nini rosso,니니 로소,nini roso
stefano colantuono,스테파노 콜란투오노,seutepano kolrantuono
simone inzaghi,시모네 인차기,simone incagi
ettore bugatti,에토레 부가티,etore bugati
eva riccobono,에바 리코보노,eba rikobono
alberto malesani,알베르토 말레사니,albereuto malresani
claudio gentile,클라우디오 젠틸레,keulraudio jentilre
valerio mastandrea,발레리오 마스탄드레아,balrerio maseutandeurea
piero pasinati,피에트로 파시나티,pieteuro pasinati
adalberto maria merli,아달베르토 마리아 멀리,adalbereuto maria meolri
cristian daniel ledesma,크리스티안 다니엘 레데스마,keuriseutian daniel redeseuma
bernardo provenzano,베르나르도 프로벤자노,bereunareudo peurobenjano
ciriaco de mita,치리아코 데 미타,ciriako de mita
paolo de ceglie,파올로 데 첼리에,paolro de celrie
alberto zaccheroni,알베르토 자케로니,albereuto jakeroni
giorgetto giugiaro,조르제토 주지아로,joreujeto jujiaro
vito antuofermo,비토 안투오페모,bito antuopemo
claudio bisio,클라우디오 비시오,keulraudio bisio
mario pisu,마리오 피수,mario pisu
daniela sabatino,다니엘라 사바티노,danielra sabatino
fulvio bernardini,풀비오 베르나르디니,pulbio bereunareudini
mango,망고,manggo
antonella ponziani,안토넬라 폰치아니,antonelra ponciani
micaela ramazzotti,미카엘라 라마초티,mikaelra ramacoti
carla cassola,카를라 카솔라,kareulra kasolra
ermes muccinelli,에르메스 무치넬리,ereumeseu mucinelri
vittorio miele,비토리오 미엘레,bitorio mielre
nicolao dumitru,니콜라오 두미트루,nikolrao dumiteuru
leo lionni,레오 리오니,reo rioni
pino donaggio,피노 도나지오,pino donajio
luigi mastrangelo,루이지 마스트란젤로,ruiji maseuteuranjelro
matteo salvini,마테오 살비니,mateo salbini
lunetta savino,루네타 사비노,runeta sabino
umberto spadaro,움베르토 스파다로,umbereuto seupadaro
peter clemenza,피터 클레멘자,piteo keulremenja
michele andreolo,미켈레 안드레올로,mikelre andeureolro
aldo olivieri,알도 올리비에리,aldo olribieri
dave rodgers,데이브 로저스,deibeu rojeoseu
fabio carta,파비오 카르타,pabio kareuta
riccardo carapellese,리카르도 카라펠레세,rikareudo karapelrese
ignazio la russa,이냐치오 라 루사,inyacio ra rusa
umberto raho,움베르토 라호,umbereuto raho
paolo pizzo,파올로 피초,paolro pico
daniela poggi,다니엘라 포기,danielra pogi
josé graziano da silva,조제 그라지아노 다 시우바,joje geurajiano da siuba
sébastien corchia,세바스티앵 코르시아,sebaseutiaeng koreusia
jacopo sala,야코포 살라,yakopo salra
federico barbaro,페데리코 바르바로,pederiko bareubaro
umberto agnelli,움베르토 아녤리,umbereuto anyelri
luigi maifredi,루이지 마이프레디,ruiji maipeuredi
stefano eranio,스테파노 에라니오,seutepano eranio
giovanni francini,조반니 프란치니,jobanni peurancini
stefano lucchini,스테파노 루키니,seutepano rukini
fulvia franco,풀비아 프란코,pulbia peuranko
luca argentero,루카 아르젠테로,ruka areujentero
sergio marchionne,세르지오 마키오네,sereujio makione
raimondo vianello,라이몬도 비아넬로,raimondo bianelro
fabio lanzoni,파비오 란초니,pabio ranconi
tullio regge,툴리오 레제,tulrio reje
simon laner,시몬 라네르,simon ranereu
paolo mazza,파올로 마차,paolro maca
paolo gentiloni,파올로 젠틸로니,paolro jentilroni
elio germano,엘리오 제르마노,elrio jereumano
roberto bolle,로베르토 볼레,robereuto bolre
adriano giannini,아드리아노 잔니니,adeuriano jannini
nico fidenco,니코 피덴코,niko pidenko
mario perazzolo,마리오 페라촐로,mario peracolro
nicola belmonte,니콜라 벨몬테,nikolra belmonte
angela finocchiaro,안젤라 피노키아로,anjelra pinokiaro
luciano favero,루차노 파베로,rucano pabero
frank sivero,프랭크 시베로,peuraengkeu sibero
federico munerati,페데리코 무네라티,pederiko munerati
renato cesarini,레나토 체사리니,renato cesarini
andrea bertolacci,안드레아 베르톨라치,andeurea bereutolraci
alessandro florenzi,알레산드로 플로렌치,alresandeuro peulrorenci
fabrizio poletti,파브리초 폴레티,pabeurico polreti
ennio falco,엔니오 팔코,ennio palko
massimo briaschi,마시모 브리아스키,masimo beuriaseuki
liliana segre,릴리아나 세그레,rilriana segeure
luciano castellini,루차노 카스텔리니,rucano kaseutelrini
carlo biagi,카를로 비아지,kareulro biaji
ferruccio valcareggi,페루초 발카레지,peruco balkareji
eugenio bersellini,에우제니오 베르셀리니,eujenio bereuselrini
giuseppe casari,주세페 카사리,jusepe kasari
renzo de vecchi,렌초 데 베키,renco de beki
francesco d'macho,프란체스코 디마초,peuranceseuko dimaco
josef polig,요제프 폴리히,yojepeu polrihi
francesco morini,프란체스코 모리니,peuranceseuko morini
norberto oberburger,노르베르토 오베르부르제르,noreubereuto obereubureujereu
andrius pojavis,안드류스 포야비스,andeuryuseu poyabiseu
andrea catellani,안드레아 카텔라니,andeurea katelrani
paolo castellini,파올로 카스텔리니,paolro kaseutelrini
ezio greggio,에지오 그레지오,ejio geurejio
fabrizio cacciatore,파브리치오 카차토레,pabeuricio kacatore
massimo rigoni,마시모 리고니,masimo rigoni
riccardo cazzola,리카르도 카촐라,rikareudo kacolra
giancarlo corradini,잔카를로 코라디니,jankareulro koradini
george hilton,조지 힐튼,joji hilteun
giacomo albanese,자코모 알바네세,jakomo albanese
giacomo mari,자코모 마리,jakomo mari
paolo conti,파올로 콘티,paolro konti
andrea consigli,안드레아 콘실리,andeurea konsilri
roberto colombo,로베르토 콜롬보,robereuto kolrombo
pierluigi cera,피엘루이지 체라,pielruiji cera
alex cordaz,알렉스 코르다츠,alregseu koreudaceu
dario compiani,다리오 콤피아니,dario kompiani
nicolò cherubin,니콜로 체루빈,nikolro cerubin
luciano chiarugi,루차노 키아루지,rucano kiaruji
lucidio sentimenti,루치디오 센티멘티,rucidio sentimenti
marcello giordani,마르첼로 조르다니,mareucelro joreudani
toni bertorelli,토니 버토렐리,toni beotorelri
andrea benelli,안드레아 베넬리,andeurea benelri
gregorio paltrinieri,그레고리오 팔트리니에리,geuregorio palteurinieri
gigi ballista,지지 벨리스타,jiji belriseuta
gino rossetti,지노 로세티,jino roseti
mara navarria,마라 나바리아,mara nabaria
claudio pollio,클라우디오 폴리오,keulraudio polrio
franco balducci,프랑코 발두치,peurangko balduci
franco brienza,프란코 브리엔차,peuranko beurienca
bianca del carretto,비안카 델 카레토,bianka del kareto
lodovica comello,로도비카 코멜로,rodobika komelro
diego alonso,디에고 알론소,diego alronso
alejandro giammattei,알레한드로 잠마테이,alrehandeuro jammatei
renato baldini,레나토 발디니,renato baldini
irene vecchi,이레네 베키,irene beki
graziano bini,그라치아노 비니,geuraciano bini
massimo volta,마시모 볼타,masimo bolta
valerio aspromonte,발레리오 아스프로몬테,balrerio aseupeuromonte
alessandro bianchi,알레산드로 비앙키,alresandeuro biangki
marco biagianti,마르코 비아잔티,mareuko biajanti
ivano blason,이바노 블라손,ibano beulrason
giuliano sarti,줄리아노 사르티,julriano sareuti
bruno bolchi,브루노 볼키,beuruno bolki
rosanna fratello,로산나 프라텔로,rosanna peuratelro
michele camporese,미켈레 캄포레세,mikelre kamporese
piero campelli,피에로 캄펠리,piero kampelri
mario genta,마리오 젠타,mario jenta
frida giannini,프리다 지아니니,peurida jianini
giuseppe wilson,주세페 윌손,jusepe wilson
luigi barlassina,루이지 바를라시나,ruiji bareulrasina
vincenzo amato,빈첸초 아마토,bincenco amato
damiano pippi,다미아노 피피,damiano pipi
jeff blynn,제프 브린,jepeu beurin
mauro numa,마우로 누마,mauro numa
comunardo niccolai,코무나르도 니콜라이,komunareudo nikolrai
davide moro,다비데 모로,dabide moro
osvaldo fattori,오스발도 파토리,oseubaldo patori
maya sansa,마야 산사,maya sansa
daniele capelli,다니엘레 카펠리,danielre kapelri
marco capuano,마르코 카푸아노,mareuko kapuano
lorenzo insigne,로렌초 인시녜,rorenco insinye
nerio bernardi,네리오 베르나르디,nerio bereunareudi
gianluca caprari,잔루카 카프라리,janruka kapeurari
ciro capuano,치로 카푸아노,ciro kapuano
gino cappello,지노 카펠로,jino kapelro
ugo sasso,우고 삭소,ugo sagso
vincenzo grifo,빈첸초 그리포,bincenco geuripo
silvio longobucco,실비오 론고부코,silbio rongobuko
diego polenta,디에고 폴렌타,diego polrenta
ezio gamba,에치오 감바,ecio gamba
mimì aguglia,미미 아거글리아,mimi ageogeulria
daniele paponi,다니엘레 파포니,danielre paponi
giuseppe viani,주세페 비아니,jusepe biani
pietro grasso,피에트로 그라소,pieteuro geuraso
giorgio puia,조르조 푸이아,joreujo puia
giovanni varglien,조반니 발리엔,jobanni balrien
francesco della rocca,프란체스코 델라 로카,peuranceseuko delra roka
manlio scopigno,만리오 스코피뇨,manrio seukopinyo
giuseppe sabadini,주세페 사바디니,jusepe sabadini
patrizio sala,파트리초 살라,pateurico salra
fabio rossitto,파비오 로시토,pabio rosito
giuseppe tonani,주세페 토나니,jusepe tonani
laura giuliani,라우라 줄리아니,raura julriani
tommaso maestrelli,톰마소 마에스트렐리,tommaso maeseuteurelri
emiliano alfaro,에밀리아노 알파로,emilriano alparo
liassine cadamuro,리아신 카다무로벤타이바,riasin kadamurobentaiba
nino benvenuti,니노 벤베누티,nino benbenuti
giuseppe moro,주세페 모로,jusepe moro
gianmarco tamberi,잔마르코 탐베리,janmareuko tamberi
giuseppe marotta,주세페 마로타,jusepe marota
piera degli esposti,피에라 델리 에스포스티,piera delri eseuposeuti
valentino degani,발렌티노 데가니,balrentino degani
enrico rivolta,엔리코 리볼타,enriko ribolta
roberto de zerbi,로베르토 데 제르비,robereuto de jereubi
achille piccini,아킬레 피치니,akilre picini
amleto frignani,암레토 프리냐니,amreto peurinyani
olga villi,올가 빌리,olga bilri
donatella finocchiaro,도나텔라 피노키아로,donatelra pinokiaro
jo prestia,조 프레스티아,jo peureseutia
dino ciani,디노 치아니,dino ciani
carlo orlandi,카를로 오를란디,kareulro oreulrandi
paolo seganti,파올로 시갠티,paolro sigaenti
matías vecino,마티아스 베시노,matiaseu besino
fabrizio rongione,파브리치오 론조네,pabeuricio ronjone
daniele gastaldello,다니엘레 가스탈델로,danielre gaseutaldelro
mario magnozzi,마리오 마뇨치,mario manyoci
fabio sciacca,파비오 시아카,pabio siaka
lia di leo,리아 디 레오,ria di reo
sofia goggia,소피아 고자,sopia goja
giulio migliaccio,줄리오 밀리아초,julrio milriaco
luca de meo,루카 데 메오,ruka de meo
alberto frison,알베르토 프리손,albereuto peurison
luca dotto,루카 도토,ruka doto
cristhian stuani,크리스티안 스투아니,keuriseutian seutuani
attilio giovannini,아틸리오 조반니니,atilrio jobannini
sebastián cristóforo,세바스티안 크리스토포로,sebaseutian keuriseutoporo
grazia maria pinto,그라치아 마리아 핀토,geuracia maria pinto
alberta ferretti,알베르타 페레티,albereuta pereti
stefano gobbi,스테파노 곱비,seutepano gobbi
cesare natali,체사레 나탈리,cesare natalri
antonio rozzi,안토니오 로치,antonio roci
marco messeri,마르코 메세리,mareuko meseri
marco tarchi,마르코 타르키,mareuko tareuki
gian piero ventura,잔 피에로 벤투라,jan piero bentura
edoardo ballerini,에도아르도 발레리니,edoareudo balrerini
edoardo reja,에도아르도 레야,edoareudo reya
luigi samele,루이지 사멜레,ruiji samelre
giorgio avola,조르조 아볼라,joreujo abolra
chiara caselli,키아라 카셀리,kiara kaselri
alessio figalli,알레시오 피갈리,alresio pigalri
davide moscardelli,다비데 모스카르델리,dabide moseukareudelri
andrea lazzari,안드레아 라차리,andeurea racari
achille majeroni,아킬레 마제로니,akilre majeroni
dino abbrescia,디노 아브레시아,dino abeuresia
david sassoli,다비드 사솔리,dabideu sasolri
marco d'alessandro,마르코 달레산드로,mareuko dalresandeuro
nathalie moellhausen,나탈리 모엘하우젠,natalri moelhaujen
elisa cegani,엘리사 체가니,elrisa cegani
monica scattini,모니카 스카티니,monika seukatini
gianni munari,잔니 무나리,janni munari
girolamo giovinazzo,지롤라모 조비나초,jirolramo jobinaco
maurizio micheli,마우리치오 미켈리,mauricio mikelri
filippo bottino,필리포 보티노,pilripo botino
sergio gori,세르조 고리,sereujo gori
benedicta boccoli,베네딕타 보콜리,benedigta bokolri
andrea giani,안드레아 자니,andeurea jani
selen,셀렌,selren
fanfulla,판풀라,panpulra
nina soldano,니나 솔다노,nina soldano
fabio paratici,파비오 파라티치,pabio paratici
marco giampaolo,마르코 잠파올로,mareuko jampaolro
fabrizia sacchi,파브리치아 사키,pabeuricia saki
carlo galli,카를로 갈리,kareulro galri
teobaldo depetrini,테오발도 데페트리니,teobaldo depeteurini
anna dello russo,안나 델로 루소,anna delro ruso
renzo morigi,렌초 모리지,renco moriji
antonietta stella,안토니에타 스텔라,antonieta seutelra
franco cristaldi,프랑코 크리스탈디,peurangko keuriseutaldi
pierino gabetti,피에리노 가베티,pierino gabeti
filippo grandi,필리포 그란디,pilripo geurandi
matteo rubin,마테오 루빈,mateo rubin
roberto cravero,로베르토 크라베로,robereuto keurabero
domenico maietta,도메니코 마이에타,domeniko maieta
gastón silva,가스톤 실바,gaseuton silba
aldo bufi landi,알도 부피 란디,aldo bupi randi
ilaria salvatori,일라리아 살바토리,ilraria salbatori
pino maddaloni,주세페 마달로니,jusepe madalroni
carlo pinsoglio,카를로 핀솔리오,kareulro pinsolrio
giorgio ghezzi,조르조 게치,joreujo geci
gabriele dell'otto,가브리엘레 델오토,gabeurielre deloto
regina bianchi,레지나 비앙키,rejina biangki
renato montalbano,레나토 몬탈바노,renato montalbano
roberto giolito,로베르토 지올리토,robereuto jiolrito
richard benedict,리처드 베네딕,riceodeu benedig
roberta torre,로베르타 토레,robereuta tore
giuseppe blanc,주세페 블란크,jusepe beulrankeu
giuseppe della valle,주세페 델라 발레,jusepe delra balre
alessia barela,알레시아 바렐라,alresia barelra
andrea bosca,앤드리아 보스카,aendeuria boseuka
andrea tidona,안드레아 티도나,andeurea tidona
wilma goich,윌마 고이크,wilma goikeu
america olivo,아메리카 올리보,amerika olribo
guglielmo epifani,굴리엘모 에피파니,gulrielmo epipani
guido crosetto,기도 크로세토,gido keuroseto
pinot gallizio,주세페 피노갈라지오,jusepe pinogalrajio
uberto pasolini,우베르토 파솔리니,ubereuto pasolrini
riccardo saponara,리카르도 사포나라,rikareudo saponara
teresa saponangelo,테레사 사포난젤로,teresa saponanjelro
andrea benetti,안드레아 베네티,andeurea beneti
tullio carminati,털리오 카미나티,teolrio kaminati
stefano sollima,스테파노 솔리마,seutepano solrima
antonia liskova,안토니아 리스코바,antonia riseukoba
angela luce,안젤라 루체,anjelra ruce
angelica ippolito,안젤리카 이폴리토,anjelrika ipolrito
annalisa,안나리사,annarisa
anita kravos,아니타 크라보스,anita keuraboseu
anna favella,안나 파벨라,anna pabelra
anna foglietta,안나 폴리에타,anna polrieta
amedeo trilli,아메데오 트릴리,amedeo teurilri
barbara cupisti,바바라 커피스티,babara keopiseuti
barbara bonansea,바르바라 보난세아,bareubara bonansea
augusto rangone,아우구스토 랑고네,auguseuto ranggone
augusto zucchi,아구스토 주치,aguseuto juci
anna rita del piano,안나 리타 델 피아노,anna rita del piano
clara moroni,클라라 모로니,keulrara moroni
barbara tabita,바바라 타비타,babara tabita
antonio pierfederici,안토니오 피에르페데리치,antonio piereupederici
claudia potenza,클라우디아 포텐차,keulraudia potenca
claudia pandolfi,클라우디아 판돌피,keulraudia pandolpi
sarah felberbaum,세라 펠버바움,sera pelbeobaum
bernardino nogara,베르나르디노 노가라,bereunareudino nogara
bruno corazzari,브루노 코라자리,beuruno korajari
armando migliari,아르만도 밀리아리,areumando milriari
clelia matania,클레리아 마타냐,keulreria matanya
biagio pelligra,비아지오 펠리그라,biajio pelrigeura
davide gavazzi,다비데 가바치,dabide gabaci
bruno zuculini,브루노 수쿨리니,beuruno sukulrini
cecilia dazzi,체칠리아 다치,cecilria daci
elena fabrizi,엘레나 파브리치,elrena pabeurici
elena cotta,엘레나 코타,elrena kota
edy vessel,에디 베셀,edi besel
enzo cerusico,엔초 체루시코,enco cerusiko
fabrizio gifuni,파브리치오 지푸니,pabeuricio jipuni
fausto cigliano,파우스토 칠리아노,pauseuto cilriano
fausto guerzoni,포스토 구에르조니,poseuto guereujoni
elisabetta pozzi,엘리사베타 포치,elrisabeta poci
federica vincenti,페데리카 빈첸티,pederika bincenti
enzo salvi,엔조 살비,enjo salbi
dominik fischnaller,도미니크 피슈날러,dominikeu pisyunalreo
daniele pecci,다니엘레 페치,danielre peci
emanuela pacotto,에마누엘라 파코토,emanuelra pakoto
ernesto mahieux,에르네스토 마히스,ereuneseuto mahiseu
edoardo pesce,에도아르도 페셰,edoareudo pesye
emilio veratti,에밀리오 베라티,emilrio berati
francesco carnelutti,프란체스코 카르넬루티,peuranceseuko kareunelruti
federica mogherini,페데리카 모게리니,pederika mogerini
emilio de marchi,에밀리오 드 마치,emilrio deu maci
danilo d'ambrosio,다닐로 담브로시오,danilro dambeurosio
gabriella pession,가브리엘라 페션,gabeurielra pesyeon
felice mariani,펠리체 마리아니,pelrice mariani
emma morano,엠마 모라노,emma morano
gabriele paonessa,가브리엘레 파오네사,gabeurielre paonesa
galatea ranzi,갈라테아 란치,galratea ranci
furio meniconi,푸리오 메니코니,purio menikoni
fulvio mingozzi,풀비오 민고지,pulbio mingoji
francesco signori,프란체스코 시뇨리,peuranceseuko sinyori
francesco scianna,프란체스코 시안나,peuranceseuko sianna
francesco magnanelli,프란체스코 마냐넬리,peuranceseuko manyanelri
fabio de luigi,파비오 드 루이지,pabio deu ruiji
franca scagnetti,프란카 스카그네티,peuranka seukageuneti
francesca inaudi,프란체스카 이나우디,peuranceseuka inaudi
fiorella mari,피오렐라 마리,piorelra mari
italo de zan,이탈로 데 잔,italro de jan
giorgio frezzolini,조르조 프레촐리니,joreujo peurecolrini
franco giacobini,프랑코 지아코비니,peurangko jiakobini
giorgio colangeli,조르조 콜란젤리,joreujo kolranjelri
giorgio dal monte,조르조 달 몬테,joreujo dal monte
gianluca sansone,잔루카 산소네,janruka sansone
gianmarco tognazzi,잔마르코 토나치,janmareuko tonaci
gilda giuliani,길다 줄리아니,gilda julriani
ivano marescotti,이바노 마레스코티,ibano mareseukoti
jeanne modigliani,잔 모딜리아니,jan modilriani
gian francesco giudice,잔 프란체스코 주디체,jan peuranceseuko judice
isabelle adriani,이사벨 아드리아니,isabel adeuriani
james rivière,제임스 리버,jeimseu ribeo
giulia lazzarini,줄리아 라차리니,julria racarini
giulia elettra gorietti,줄리아 엘레트라 고리에티,julria elreteura gorieti
ivo pulga,이보 풀가,ibo pulga
giuseppe camuncoli,주세페 카문콜리,jusepe kamunkolri
jorginho,조르지뉴,joreujinyu
jimmy il fenomeno,지미 일 페노메노,jimi il penomeno
lorenza indovina,로렌차 인도비나,rorenca indobina
loredana cannata,로레데이너 칸나타,roredeineo kannata
greta zuccheri montanari,그레타 추케리 몬타나리,geureta cukeri montanari
luigi giorgi,루이지 조르지,ruiji joreuji
guido carrillo,귀도 카리요,gwido kariyo
lorenzo richelmy,로렌초 리켈미,rorenco rikelmi
michela murgia,미켈라 무르자,mikelra mureuja
iaia forte,이아이아 포르테,iaia poreute
howard ross,하워드 로스,haweodeu roseu
luisa rivelli,루이사 리벨리,ruisa ribelri
ilaria mauro,일라리아 마우로,ilraria mauro
luca marinelli,루카 마리넬리,ruka marinelri
luca tedeschi,루카 테데스키,ruka tedeseuki
hal yamanouchi,할 야마노우치,hal yamanouci
lelio luttazzi,렐리오 루타지,relrio rutaji
lucia mascino,루차 마시노,ruca masino
lianella carell,리아넬라 카렐,rianelra karel
licinia lentini,리시니아 렌티니,risinia rentini
maddalena crippa,마달레나 크리파,madalrena keuripa
lucia sardo,루시아 사도,rusia sado
maurizio sarri,마우리치오 사리,mauricio sari
luciano gaucci,루차노 가우치,rucano gauci
mario ponzo,마리오 폰조,mario ponjo
marianna madia,마리아나 마디아,mariana madia
lina polito,리나 폴리토,rina polrito
martina rosucci,마르티나 로수치,mareutina rosuci
nando gazzolo,난도 가촐로,nando gacolro
massimiliano alto,마시밀라노 알토,masimilrano alto
massimiliano bruno,마시밀리아노 브루노,masimilriano beuruno
marina confalone,마리나 콘팔로네,marina konpalrone
paola minaccioni,파올라 미나초니,paolra minaconi
nazzareno natale,나차레노 나탈레,nacareno natalre
massimo popolizio,마시모 포폴리치오,masimo popolricio
paolo stringara,파올로 스트린가라,paolro seuteuringara
michela cescon,미켈라 체스콘,mikelra ceseukon
michele riondino,미켈레 리온디노,mikelre riondino
mirca viola,미르카 비올라,mireuka biolra
miriam giovanelli,미리암 조바넬리,miriam jobanelri
mirko eramo,미르코 에라모,mireuko eramo
mirko valdifiori,미르코 발디피오리,mireuko baldipiori
remo germani,레모 제르마니,remo jereumani
osiride pevarello,오시리데 페바레로,osiride pebarero
romina mondello,로미나 몬델로,romina mondelro
rolando maran,롤란도 마란,rolrando maran
riccardo zinna,리카르도 진나,rikareudo jinna
rosabell laurenti sellers,로자벨 로렌티 셀러스,rojabel rorenti selreoseu
roberto accornero,로베르토 아코르네로,robereuto akoreunero
stefano lavarini,스테파노 라바리니,seutepano rabarini
sabrina impacciatore,사브리나 임파차토레,sabeurina impacatore
rossella falk,로셀라 폴크,roselra polkeu
sergio mattarella,세르조 마타렐라,sereujo matarelra
susanna nicchiarelli,수산나 니키아렐리,susanna nikiarelri
valeria d'obici,발레리아 도비치,balreria dobici
valeria bilello,발레리아 빌렐로,balreria bilrelro
valeria fabrizi,발레리아 파브리치,balreria pabeurici
rafael tolói,하파엘 톨로이,hapael tolroi
tecla scarano,테클라 스카라노,tekeulra seukarano
ralph marterie,랄프 마테리,ralpeu materi
raffaella rea,라파엘라 레아,rapaelra rea
valentina carnelutti,발렌티나 카르넬루티,balrentina kareunelruti
simone bianchi,시모네 비앙키,simone biangki
tony kendall,토니 켄들,toni kendeul
cristiano piccini,크리스티아노 피치니,keuriseutiano picini
cristian galano,크리스티안 갈라노,keuriseutian galrano
valentina lodovini,발렌티나 로도비니,balrentina rodobini
valentina greco,발렌티나 그레코,balrentina geureko
zerocalcare,제로칼카레,jerokalkare
zoe incrocci,초에 인크로치,coe inkeuroci
antonio donnarumma,안토니오 돈나룸마,antonio donnarumma
sonia bergamasco,소니아 베르가마스코,sonia bereugamaseuko
vasco regini,바스코 레지니,baseuko rejini
tony sperandeo,토니 스페란데오,toni seuperandeo
daniele baselli,다니엘레 바셀리,danielre baselri
stefano caselli,스테파노 카셀리,seutepano kaselri
simone zaza,시모네 차차,simone caca
davide bariti,다비데 바리티,dabide bariti
pietro terracciano,피에트로 테라차노,pieteuro teracano
stefano abbati,스테파노 아바티,seutepano abati
simone verdi,시모네 베르디,simone bereudi
davide zappacosta,다비데 차파코스타,dabide capakoseuta
vincenzo ferdinandi,빈첸초 페르디난디,bincenco pereudinandi
veronica pivetti,베로니카 피베티,beronika pibeti
bryan cristante,브리안 크리스탄테,beurian keuriseutante
vinicio marchioni,비니시오 마치오니,binisio macioni
luis gnecco,루이스 그네코,ruiseu geuneko
emerson palmieri,이메르송 팔미에리,imereusong palmieri
