vika jigulina,ヴィカ・ジグリーナ,vika・jigurīna
dumitru comănescu,ドミトル・コマネスク,domitoru・komanesuku
adina pintilie,アディナ・ピンティリエ,adina・pintirie
karim adeyemi,カリム・アデイェミ,karimu・adeyemi
cătălin itu,カタリン・イトゥ,katarin・itu
maria fotino,マリア・フォティノ,maria・fotino
florin borța,フロリン・ボルツァ,furorin・borutsa
valentin mihăilă,ヴァレンティン・ミハイラ,varentin・mihaira
horațiu moldovan,ホラツィウ・モルドヴァン,horatsiu・morudovan
nicolae ciucă,ニコラエ・チウカ,nikorae・chiuka
radu drăgușin,ラドゥ・ドラグシン,radu・doragushin
david miculescu,ダヴィド・ミクレスク,davido・mikuresuku
alexandru pantea,アレクサンドル・パンテア,arekusandoru・pantea
david popovici,ダビド・ポポビッチ,dabido・popobitchi
octaviangeorge popescu,オクタヴィアン・ポペスク,okutavian・popesuku
natalia gavrilița,ナタリア・ガブリリツァ,nataria・gaburiritsa
enes sali,エネス・サリ,enesu・sari
ionuț mitran,ヨヌツ・ミトラン,yonutsu・mitoran
andrei istrate,アンドレイ・イストラテ,andorei・isutorate
mihai popa,ミハイ・ポパ,mihai・popa
târgoviște,トゥルゴヴィシュテ,turugovishute
brăila,ブライラ,buraira
cluj arena,クルジュ・アレナ,kuruju・arena
românia,ルーマニア,rūmania
iași,ヤシ,yashi
suceava,スチャヴァ,suchava
bistrița,ビストリツァ,bisutoritsa
pitești,ピテシュティ,piteshuti
reșița,レシツァ,reshitsa
constanța,コンスタンツァ,konsutantsa
stepa euroasiatică,ユーラシア・ステップ,yūrashia・suteppu
brașov,ブラショヴ,burashovu
craiova,クラヨーヴァ,kurayōva
sibiu,シビウ,shibiu
timișoara,ティミショアラ,timishoara
galați,ガラツィ,garatsi
tarom,タロムコウクウ,taromukoukuu
banat,バナト,banato
focșani,フォクシャニ,fokushani
nogai,ノガイゾク,nogaizoku
vaslui,ヴァスルイ,vasurui
tulcea,トゥルチャ,turucha
botoșani,ボトシャニ,botoshani
zărnești,ザルネシュティ,zaruneshuti
valahia,ワラキア,warakia
arad,アラド,arado
oradea,オラデア,oradea
sighișoara,シギショアラ,shigishoara
râmnicu vâlcea,ルムニク・ヴルチャ,rumuniku・vurucha
alba iulia,アルバ・ユリア,aruba・yuria
bucovina,ブコヴィナ,bukovina
buzău,ブザウ,buzau
ploiești,プロイェシュティ,puroyeshuti
giurgiu,ジュルジュ,juruju
târgu jiu,トゥルグ・ジウ,turugu・jiu
sfântu gheorghe,スフントゥ・ゲオルゲ,sufuntu・georuge
deva,デヴァ,deva
bucurești,ブカレスト,bukaresuto
leu românesc,ルーマニア・レウ,rūmania・reu
dobrogea,ドブロジャ,doburoja
muntenia,ムンテニア,muntenia
lugoj,ルゴジ,rugoji
balș,バルシュ,barushu
caransebeș,カランセベシュ,karansebeshu
borșa,ボルシャ,borusha
turda,トゥルダ,turuda
transilvania,トランシルヴァニア,toranshiruvania
târgu mureș,トゥルグ・ムレシュ,turugu・mureshu
delta dunării,ドナウ・デルタ,donau・deruta
hunedoara,フネドアラ,funedoara
oltenia,オルテニア,orutenia
baia mare,バヤ・マレ,baya・mare
satu mare,サトゥ・マーレ,satu・māre
călărași,カララシ,kararashi
sinaia,シナヤ,shinaya
slobozia,スロボジア,surobojia
buftea,ブフテア,bufutea
holcim,ホルシムグループ,horushimugurūpu
stepa pontocaspică,ポントス・カスピカイソウゲン,pontosu・kasupikaisougen
fetești,フェテシュティ,feteshuti
dej,デジ,deji
caracal,カラカル,karakaru
râmnicu sărat,ルムニク・サラト,rumuniku・sarato
roșiorii de vede,ロシオリイ・デ・ヴェデ,roshiorii・de・vuェde
buhuși,ブフシ,bufushi
odorheiu secuiesc,オドルヘユ・セクイエスク,odoruheyu・sekuiesuku
blaj,ブラジ,buraji
comănești,コマネシュティ,komaneshuti
dorohoi,ドロホイ,dorohoi
băicoi,バイコイ,baikoi
băilești,バイレシュティ,baireshuti
filiași,フィリアシ,firiashi
supercupa româniei,スーペルクパ・ロムニエイ,sūperukupa・romuniei
fălticeni,ファルティチェニ,faruticheni
sulina,スリナ,surina
sighetu marmației,シゲトゥ・マルマツィエイ,shigetu・marumatsiei
voluntari,ヴォルンタリ,vuォruntari
bucharest ring,ブカレスト・リンク,bukaresuto・rinku
târgu secuiesc,トゥルグ・セクイエスク,turugu・sekuiesuku
arena națională,スタディオヌル・ナツィオナル,sutadionuru・natsionaru
horă,ホラ,hora
călușarii,カルシャリ,karushari
luduș,ルドゥシュ,rudushu
câmpulung moldovenesc,クンプルング・モルドヴェネスク,kunpurungu・morudovuェnesuku
curtea de argeș,クルテア・デ・アルジェシュ,kurutea・de・arujeshu
sebeș,セベシュ,sebeshu
mioveni,ミオヴェニ,miovuェni
cernavodă,チェルナヴォダ,cherunavuォda
pașcani,パシュカニ,pashukani
oltenița,オルテニツァ,orutenitsa
transfăgărășan,トランスファガラシャン,toransufagarashan
cupa balcanică,バルカン・カップ,barukan・kappu
mangalia,マンガリア,mangaria
câmpia turzii,クンピア・トゥルジー,kunpia・turujī
urziceni,ウルジチェニ,urujicheni
rădăuți,ラダウツィ,radautsi
moinești,モイネシュティ,moineshuti
gherla,ゲルラ,gerura
moreni,モレニ,moreni
făgăraș,ファガラシュ,fagarashu
medgidia,メドジディア,medojidia
petroșani,ペトロシャニ,petoroshani
vatra dornei,ヴァトラ・ドルネイ,vatora・dorunei
marghita,マルギタ,marugita
powerwolf,パワーウルフ,pawāurufu
cupa ligii,クパ・リギー,kupa・rigī
universitatea babeșbolyai,バベシュ・ボーヤイダイガク,babeshu・bōyaidaigaku
onești,オネシュティ,oneshuti
tecuci,テクチ,tekuchi
carpatair,カルパトエア,karupatoea
brad,ブラド,burado
turnu măgurele,トゥルヌ・マグレレ,turunu・magurere
corabia,コラビア,korabia
drăgășani,ドラガシャニ,doragashani
gheorgheni,ゲオルゲニ,georugeni
carei,カレイ,karei
salonta,サロンタ,saronta
lupeni,ルペニ,rupeni
târnăveni,トゥルナヴェニ,turunavuェni
codlea,コドレア,kodorea
electrecord,エレクトレコード,erekutorekōdo
centura alpidă,アルプス・ヒマラヤツクリヤマタイ,arupusu・himarayatsukuriyamatai
siret,シレト,shireto
stadionul ilie oană,スタディオヌル・イリエ・オアナ,sutadionuru・irie・oana
lupii bucurești,ルーマニアン・ウルブズ,rūmanian・urubuzu
servtrans,セルブトランス,serubutoransu
scînteia,スクンテイア,sukunteia
centrul civic,チェントルル・チヴィク,chentoruru・chiviku
liga națională de rugby,リーガ・ナツィオナーラ・デ・ラグビー,rīga・natsionāra・de・ragubī
fly project,フライ・プロジェクト,furai・purojekuto
canalul dunărebucurești,ドナウ・ブカレストウンガ,donau・bukaresutounga
roton,ロトン,roton
transhumanță,ウツリマキ,utsurimaki
stadionul marin anastasovici,スタディオヌル・マリン・アナスタソヴィチ,sutadionuru・marin・anasutasovichi
bacău,バカウ,bakau
moldova,モルダヴィア,morudavia
stadionul steaua,スタディオヌル・ステアウア,sutadionuru・suteaua
zoltan lunka,ゾルタン・ルンカ,zorutan・runka
zoltan mesko,ゾルタン・メスコ,zorutan・mesuko
martha bibescu,マルト・ビベスコ,maruto・bibesuko
chivu stoica,キヴ・ストイカ,kivu・sutoika
raed arafat,ラーイド・アラファト,rāido・arafato
lavinia miloșovici,ラビニア・ミロソビッチ,rabinia・mirosobitchi
otto ackermann,オットー・アッカーマン,ottō・akkāman
daniel spoerri,ダニエル・スペーリ,danieru・supēri
florin niculescu,フローリン・ニクレスク,furōrin・nikuresuku
octavian goga,オクタヴィアン・ゴガ,okutavian・goga
gheorghe alexianu,ゲオルゲ・アレクシアヌ,georuge・arekushianu
argentina menis,アルゲンティーナ・メニシュ,arugentīna・menishu
roxana scarlat,ロクサナ・スカルラット,rokusana・sukaruratto
ilie bărbulescu,イリエ・バルブレスク,irie・baruburesuku
dan bălan,ダン・バラン,dan・baran
ilie verdeț,イリエ・ヴェルデット,irie・vuェrudetto
petru groza,ペテル・グローザ,peteru・gurōza
sandra izbașa,サンドラ・イズバサ,sandora・izubasa
edina gallovitshall,エディナ・ガロビッツ,edina・garobittsu
cătălina ponor,カタリナ・ポノル,katarina・ponoru
daniela costian,ダニエラ・コスティアン,daniera・kosutian
ana aslan,アナ・アスラン,ana・asuran
adriana hölszky,アドリアーナ・ヘルツキー,adoriāna・herutsukī
cornelia tăutu,コルネリア・タゥトゥ,koruneria・taゥtu
ilena gheorghi,エレナ・ゲオルゲ,erena・georuge
raoul gunsbourg,ラウル・ギュンブール,rauru・gyunbūru
lucian croitoru,ルチアン・クロイトル,ruchian・kuroitoru
titu maiorescu,ティトゥ・マイオレスク,titu・maioresuku
wilhelm georg berger,ゲオルク・ヴィルヘルム・ベルガー,georuku・viruherumu・berugā
adrian neaga,アドリアン・ネアガ,adorian・neaga
corina crețu,コリーナ・クレツ,korīna・kuretsu
violeta dinescu,ヴィオレッタ・ディネスク,vioretta・dinesuku
joseph lateiner,ジョーゼフ・ラタイナー,jōzefu・ratainā
jános kemény,ケメーニ・ヤーノシュ,kemēni・yānoshu
victor babeș,ビクトル・バベシュ,bikutoru・babeshu
nicolae rădescu,ニコラエ・ラデスク,nikorae・radesuku
marian aliuță,マリアン・アリウツァ,marian・ariutsa
nicolae linca,ニコラエ・リンカ,nikorae・rinka
petre becheru,ペトレ・ベケル,petore・bekeru
titus corlățean,ティトゥス・コルラツェアン,titusu・koruratsean
ion dincă,イオン・ディンカ,ion・dinka
iurie leancă,ユリエ・レアンカ,yurie・reanka
adelina oprean,アデリーナ・オプリーン,aderīna・opurīn
mihai trăistariu,ミハイ・トライスタリウ,mihai・toraisutariu
mugur isărescu,ムグル・イサレスク,muguru・isaresuku
laurențiu reghecampf,ラウレンツィウ・レゲカンプ,raurentsiu・regekanpu
gheorghe vrănceanu,ゲオルゲ・ヴランチャーヌ,georuge・vuranchānu
vintilă horia,ヴィンティラ・ホリア,vintira・horia
marian simion,マリアン・シミオン,marian・shimion
robert steinberg,ロベルト・シュタインベルク,roberuto・shutainberuku
anca parghel,アンカ・パーゲル,anka・pāgeru
elena văcărescu,エレナ・ヴァカレスク,erena・vakaresuku
raluca strămăturaru,ラルカ・シュトラマトゥラル,raruka・shutoramaturaru
ana porgras,アナ・ポルグラス,ana・porugurasu
áron márton,マールトン・アーロン,māruton・āron
andrei marga,アンドレイ・マルガ,andorei・maruga
vladimir filat,ヴラド・フィラト,vurado・firato
gheorghe dinică,ゲオルゲ・ディニカ,georuge・dinika
nicoleta grasu,ニコレタ・グラス,nikoreta・gurasu
cornel țăranu,コルネル・タラヌ,koruneru・taranu
marcel hellman,マルセル・ヘルマン,maruseru・heruman
arnold rosé,アルノルト・ロゼ,arunoruto・roze
alexandru marghiloman,アレクサンドル・マルギロマン,arekusandoru・marugiroman
éva tófalvi,エヴァ・トファルヴィ,eva・tofaruvi
nadia gray,ナディア・グレイ,nadia・gurei
jean alexandru steriadi,ジャン・アレクサンドル・ステリアディ,jan・arekusandoru・suteriadi
ioan fiscuteanu,ヨアン・フィスクティーヌ,yoan・fisukutīnu
ion gheorghe maurer,イオン・ゲオルゲ・マウレル,ion・georuge・maureru
marcel iancu,マルセル・ヤンコ,maruseru・yanko
michael radulescu,ミヒャエル・ラドレスク,mihyaeru・radoresuku
adrian bumbescu,アドリアン・ブンベスク,adorian・bunbesuku
radu vasile,ラドゥ・バシレ,radu・bashire
constantina diță,コンスタンティナ・ディタ,konsutantina・dita
lupu pick,ルプ・ピック,rupu・pikku
sorin cîrțu,ソリン・カルトゥ,sorin・karutu
maria olaru,マリア・オラル,maria・oraru
cristian dănălache,クリスティアン・ダナラケ,kurisutian・danarake
mihai costea,ミハイ・コステア,mihai・kosutea
steve holmes,スティーブ・ホルムズ,sutību・horumuzu
lazăr șăineanu,ラザル・シャイネヤヌ,razaru・shaineyanu
dorel simion,ドレル・シミオン,doreru・shimion
adrian ungur,アドリアン・ウングル,adorian・unguru
nicolae dobrin,ニコラエ・ドブリン,nikorae・doburin
andrei alexandrescu,アンドレイ・アレキサンドレスク,andorei・arekisandoresuku
carol lambrino,カロル・ランブリノ,karoru・ranburino
ion pop,イオン・ポップ,ion・poppu
adrian iorgulescu,アドリアン・イオルグレスク,adorian・ioruguresuku
constantin marin,マリーン・コンスタンティン,marīn・konsutantin
mihaela stănuleț,ミハエラ・スタヌレツ,mihaera・sutanuretsu
lucian goian,ルチアン・ゴヤン,ruchian・goyan
adolf albin,アドリフ・アルビン,adorifu・arubin
rudolph carl von ripper,ルドルフ・カール・フォン・リッパー,rudorufu・kāru・fon・rippā
vasile luca,ヴァスィーレ・ルカ,vasīre・ruka
hans bergel,ハンス・ベルゲル,hansu・berugeru
take ionescu,タケ・ヨネスク,take・yonesuku
ruxandra cesereanu,ルクサンドラ・チェセリアヌ,rukusandora・cheserianu
liviu comes,リヴィウ・コムス,riviu・komusu
géza szőcs,セーチ・ゲーザ,sēchi・gēza
pavel stratan,パヴェル・ストラタン,pavuェru・sutoratan
lucian sănmărtean,ルチアン・スンマルテアン,ruchian・sunmarutean
dănuț lupu,ダヌツ・ルプ,danutsu・rupu
nicodim munteanu,ニコディム・ムンテアヌ,nikodimu・munteanu
gheorghe tătărăscu,ゲオルゲ・タタレスク,georuge・tataresuku
radu jude,ラドゥ・ジュデ,radu・jude
elek schwartz,エレク・シュヴァルツ,ereku・shuvarutsu
gheorghe argeșanu,ゲオルゲ・アルジェシャヌ,georuge・arujeshanu
nicu vlad,ニク・ウラド,niku・urado
ludovic spiess,ルドヴィク・スピース,rudoviku・supīsu
emil bobu,エミール・ボブ,emīru・bobu
ștefan iovan,シュテファン・ヨヴァン,shutefan・yovan
manea mănescu,マネア・マネスク,manea・manesuku
lucian blaga,ルシアン・バルガ,rushian・baruga
gheorghe berceanu,ゲオルゲ・ベルチェアヌ,georuge・berucheanu
cristian ianu,クリスティアン・イアヌ,kurisutian・ianu
francisc spielmann,フランチスク・スピルマン,furanchisuku・supiruman
sergiu radu,セルジュ・ラドゥ,seruju・radu
ion gigurtu,イオン・ギグルツ,ion・gigurutsu
mădălina manole,マダリーナ・マノール,madarīna・manōru
nicolae manea,ニコラエ・マネア,nikorae・manea
mircea druc,ミルチャ・ドルク,mirucha・doruku
vasile pușcașu,バシレ・プシュカシュ,bashire・pushukashu
ion negoițescu,イオン・ネゴイツェスク,ion・negoitsesuku
ștefan procopiu,ステファン・プロコピウ,sutefan・purokopiu
hunor kelemen,ケレメン・フノール,keremen・funōru
ion țiriac,イオン・ティリアック,ion・tiriakku
vasile andrei,バシル・アンドレイ,bashiru・andorei
géza domokos,ドモコシュ・ゲーザ,domokoshu・gēza
liviu ciobotariu,リヴィウ・チョボタリウ,riviu・chobotariu
francisc vaștag,フランチスク・ヴァシュタグ,furanchisuku・vashutagu
leonte tismăneanu,レオンテ・ティスマネアヌ,reonte・tisumaneanu
yisroel avrohom portugal,イスロエル・アヴロホム・ポルトガル,isuroeru・avurohomu・porutogaru
pantelimon halippa,パン・ハリッパ,pan・harippa
violeta strămăturaru,ヴィオレタ・ストラマトゥラル,vioreta・sutoramaturaru
gherman pântea,ゲルマン・パンテア,geruman・pantea
david korner,デーヴィッド・ケルナー,dēviddo・kerunā
noni răzvan ene,ノニ・ラズヴァン・エネ,noni・razuvan・ene
elena lupescu,マグダ・ルペスク,maguda・rupesuku
anca petrescu,アンカ・ペトレスク,anka・petoresuku
iosif chișinevschi,ヨスィフ・キシネフスキ,yosifu・kishinefusuki
haiducii,ハイドゥチー,haiduchī
gheorghe apostol,ゲオルゲ・アポストル,georuge・aposutoru
vlad miriță,ヴラド・ミリツァ,vurado・miritsa
leonard doroftei,レナード・ドリン,renādo・dorin
ancuța bobocel,アンクタ・ボボセル,ankuta・boboseru
constantin stere,コンスタンティン・ステール,konsutantin・sutēru
tatiana stepa,タチアナ・ステパ,tachiana・sutepa
cezar petrescu,チェーザル・ペトレスク,chēzaru・petoresuku
gheorghe cristescu,ゲオルゲ・クリステク,georuge・kurisuteku
mădălin voicu,マダリン・ヴォイク,madarin・vuォiku
silvia stroescu,シルビア・ストロエスク,shirubia・sutoroesuku
paul pepene,パウル・ペペネ,pauru・pepene
teodora gheorghiu,テオドラ・ゲオルハイウ,teodora・georuhaiu
crin antonescu,クリン・アントネスク,kurin・antonesuku
gheorghe tattarescu,ゲオルゲ・タッタレスク,georuge・tattaresuku
gheorghe chiper,ゲオルゲ・チッパー,georuge・chippā
constantin a rosetti,コンスタンティン・アレクサンドル・ロゼッティ,konsutantin・arekusandoru・rozetti
petre andrei,ペテル・アンドレイ,peteru・andorei
justinian marina,ジュスティニアン・マリーナ,jusutinian・marīna
mircea geoană,ミルチャ・ジョアナ,mirucha・joana
mihai chițac,ミハイ・チツァック,mihai・chitsakku
simona păucă,シモナ・ポーカ,shimona・pōka
julius popper,ジュリアス・ポッパー,juriasu・poppā
bianca ghelber,ビアンカ・ペリエ,bianka・perie
fița lovin,フィタ・ロビン,fita・robin
mime misu,マイム・ミス,maimu・misu
emil hurezeanu,エミル・フレザヌ,emiru・furezanu
emil jula,エミール・ジュラ,emīru・jura
marius constant,マリユス・コンスタン,mariyusu・konsutan
ciprian foiaș,チプリアン・フォイアス,chipurian・foiasu
emil racoviță,エミル・ラコヴィツァ,emiru・rakovitsa
petre țuțea,ペトレ・ツツェア,petore・tsutsea
irina petrescu,イリーナ・ペトレスク,irīna・petoresuku
alla baianova,アッラー・バヤノワ,arrā・bayanowa
henry deutschmeister,アンリ・デューチュメイステル,anri・dyūchumeisuteru
valerian trifa,ヴァレリア・トリファ,vareria・torifa
gala galaction,ガラ・ガラクチオン,gara・garakuchion
gina gogean,ジーナ・ゴージャン,jīna・gōjan
marin preda,マリン・プレダ,marin・pureda
lucian marinescu,ルシアン・マリネスク,rushian・marinesuku
dan burincă,ダン・ブルニカ,dan・burunika
cristeana cojocaru,クリスティアーナ・コジョカル,kurisutiāna・kojokaru
toma caragiu,トマ・カラギウ,toma・karagiu
gheorghe constantin,ゲオルゲ・コンスタンティン,georuge・konsutantin
nicu constantin,ニク・コンスタンティン,niku・konsutantin
monica macovei,モニカ・マコヴェイ,monika・makovuェi
roxana mărăcineanu,ロクサナ・マラシネアヌ,rokusana・marashineanu
zaharia stancu,ハリア・スタンク,haria・sutanku
spiru haret,スピル・ハレット,supiru・haretto
horia macellariu,ホリア・マチェリャリウ,horia・macheryariu
erik lincar,エリック・リンカル,erikku・rinkaru
lucian pintilie,ルチアン・ピンティリエ,ruchian・pintirie
maria golopența,マリア・ゴロペンタ,maria・goropenta
maria forescu,マリア・フォレスク,maria・foresuku
georgiana birțoiu,ゲオルギアナ・ビルトー,georugiana・birutō
monica lovinescu,モニカ・ロヴィネスク,monika・rovinesuku
ramona pop,ラモーナ・ポップ,ramōna・poppu
ilie balaci,イリエ・バラチ,irie・barachi
delia matache,デリア・マタチェ,deria・matache
ioan holender,イオアン・ホレンダー,ioan・horendā
vasile patilineț,ヴァスィーレ・パティリネス,vasīre・patirinesu
emil loteanu,エミーリ・ロチャヌー,emīri・rochanū
serafim urechean,セラフィム・ウレケアン,serafimu・urekean
arianna sinn,アリアナ・シン,ariana・shin
pola illéry,ポーラ・イレリ,pōra・ireri
angela moroșanu,アンジェラ・モロサヌ,anjera・morosanu
mariana nicolesco,マリアナ・ニコレスコ,mariana・nikoresuko
valentin bădoi,ヴァレンティン・バドイ,varentin・badoi
pompiliu stoica,ポンピリウ・ストイカ,ponpiriu・sutoika
claudia presăcan,クラウディア・プレサカン,kuraudia・puresakan
jános fazekas,ファゼカシュ・ヤノシュ,fazekashu・yanoshu
iosif rotariu,ヨシフ・ロタリウ,yoshifu・rotariu
daniel florea,ダニエル・フロレア,danieru・furorea
mendi rodan,メンディ・ロダン,mendi・rodan
mircea badea,ミルチャ・バデア,mirucha・badea
loredana dinu,ロレダナ・ディヌ,roredana・dinu
sorin matei,ソリン・マテイ,sorin・matei
valentin miculescu,ヴァレンティン・ミクレスク,varentin・mikuresuku
ilie stan,イリエ・スタン,irie・sutan
corneliu baba,コルネリウ・ババ,koruneriu・baba
nicolae bretan,ニコラエ・ブレタン,nikorae・buretan
nicolae guță,ニコラエ・グッツァ,nikorae・guttsa
ramona maier,ラモーナ・マイヤー,ramōna・maiyā
liliana năstase,リリアナ・ナスターゼ,ririana・nasutāze
nicolae stanciu,ニコラエ・スタンチュ,nikorae・sutanchu
nicolae ungureanu,ニコラエ・ウングレアーヌ,nikorae・ungureānu
nicu covaci,ニク・コヴァチ,niku・kovachi
nae ionescu,ナエ・イオネスク,nae・ionesuku
florin halagian,フローリン・ハラジアン,furōrin・harajian
adrian păunescu,エイドリアン・パウネスキュー,eidorian・paunesukyū
florin șerban,フローリン・サーバン,furōrin・sāban
iuliu maniu,ユリウ・マニウ,yuriu・maniu
liviu rebreanu,リビウ・レブリヤヌ,ribiu・reburiyanu
anuța cătună,アヌタ・カツナ,anuta・katsuna
attila feri,フェリ・アッティラ,feri・attira
marius moga,マリアス・モガ,mariasu・moga
leonard orban,レオナルド・オルバン,reonarudo・oruban
elena udrea,エレナ・ウドリア,erena・udoria
alina eremia,アリナ・エレミア,arina・eremia
harry brauner,ハリー・ブローネル,harī・burōneru
oana ban,バン・オアナ,ban・oana
ion gavrilă ogoranu,イオン・ガブリラ・オゴラヌ,ion・gaburira・ogoranu
ella kovacs,エラ・コバクス,era・kobakusu
otilia bădescu,オティリア・バデスク,otiria・badesuku
paul călinescu,パウル・カリネスク,pauru・karinesuku
alfonso castaldi,アルフォンソ・カスタルディ,arufonso・kasutarudi
zoltan kelemen,ゾルターン・ケレメン,zorutān・keremen
alexandru ghica,アレクサンドル・ギカ,arekusandoru・gika
daniel dumitrescu,ダニエル・ドミトレスク,danieru・domitoresuku
cristina bontaș,クリスティーナ・ボンタシュ,kurisutīna・bontashu
ion mihalache,イオン・ミハラチェ,ion・miharache
rodion cămătaru,ロディオン・カマタル,rodion・kamataru
teodora ungureanu,テオドラ・ウングレアーヌ,teodora・ungureānu
gabriel boștină,ガブリエル・ボシュティナ,gaburieru・boshutina
emil bodnăraș,エミル・ボドナラス,emiru・bodonarasu
romica puceanu,ロミカ・プチャヌ,romika・puchanu
mirela pașca,ミレラ・パシュカ,mirera・pashuka
tataee,タテー,tatē
alexandra bellow,アレクサンドラ・ベロー,arekusandora・berō
corneliu porumboiu,コルネリウ・ポルンボユ,koruneriu・porunboyu
elena moșuc,エレーナ・モシュク,erēna・moshuku
veronica micle,ベロニカ・ミクレ,beronika・mikure
peter herbolzheimer,ペーター・ハーボルツハイマー,pētā・hāborutsuhaimā
cristea avram,クリス・アヴラム,kurisu・avuramu
georges manolescu,ゲオルゲス・マノレスク,georugesu・manoresuku
adrian sitaru,アドリアン・シタル,adorian・shitaru
cristian stoica,クリスティアン・ストイカ,kurisutian・sutoika
nicolae beloiu,ニコーレ・ベロウ,nikōre・berou
luminița gheorghiu,ルミニツァ・ゲオルジウ,ruminitsa・georujiu
florin salam,フローリン・サラーム,furōrin・sarāmu
gheorghe marinescu,ゲオルゲ・マリネスク,georuge・marinesuku
gheorghe megelea,ゲオルゲ・メゲレア,georuge・megerea
nicolae mărgineanu,ニコラエ・マルジネアヌ,nikorae・marujineanu
anca radici,アンカ・ラディチ,anka・radichi
andrei ivanovitch,アンドレイ・イヴァノヴィチ,andorei・ivanovichi
andrei mureșanu,アンドレイ・ムレシャヌ,andorei・mureshanu
ștefan andrei,ステファン・アンドレイ,sutefan・andorei
eugen barbu,オイゲン・バルブ,oigen・barubu
visarion puiu,ヴィサリオン・プイウ,visarion・puiu
iulian vlad,ユリアン・ヴラード,yurian・vurādo
leo butnaru,レオ・ブトナル,reo・butonaru
gheorghe liliac,ゲオルゲ・リリアク,georuge・ririaku
ianis zicu,ヤニス・ジク,yanisu・jiku
andrei oișteanu,アンドレイ・オイシュテアヌ,andorei・oishuteanu
gogu rădulescu,ゴグ・ラドゥレスク,gogu・raduresuku
nicolae dabija,ニコラエ・ダビハ,nikorae・dabiha
jean badovici,ジャン・バドヴィッチ,jan・badovitchi
gheorghe duca,ゲオルギー・ドゥカ,georugī・duka
vladimir cosma,ウラディミール・コスマ,uradimīru・kosuma
gabriel mureșan,ガブリエル・ムレシャン,gaburieru・mureshan
nicolae donici,ニコラエ・ドニチ,nikorae・donichi
iacob sternberg,ヤコブ・シュテルンベルグ,yakobu・shuterunberugu
israil bercovici,イスライル・ベルコヴィチ,isurairu・berukovichi
pantelimon erhan,パンテリモン・エルハン,panterimon・eruhan
gheorghe sarău,ゲオルゲ・サラウ,georuge・sarau
anton bibescu,アントン・ビベスコ,anton・bibesuko
mihai tararache,ミハイ・タララチェ,mihai・tararache
teohari georgescu,テオハリ・ジョルジェスク,teohari・jorujesuku
heimann hariton tiktin,ハイマン・ハリトン・ティトキン,haiman・hariton・titokin
andrei codrescu,アンドレイ・コドレスク,andorei・kodoresuku
grigore preoteasa,グリゴーレ・プレオターサ,gurigōre・pureotāsa
mosko alkalai,モスコ・アルカライ,mosuko・arukarai
emil imre,エミル・イムレ,emiru・imure
vladimir tismăneanu,ウラジーミル・ティスマネアヌ,urajīmiru・tisumaneanu
simona gherman,シモナ・ゲルマン,shimona・geruman
edouard lindenberg,エドゥアルト・リンデンベルク,eduaruto・rindenberuku
constantin pârvulescu,コンスタンティン・プルヴォレスク,konsutantin・puruvuォresuku
constantin dăscălescu,コンスタンティン・ダスカレスク,konsutantin・dasukaresuku
mihail sadoveanu,ミハイル・サドヴャーヌ,mihairu・sadovuャーnu
nicolae xenopol,ニコラエ・ゼノポール,nikorae・zenopōru
mugurel buga,ムグレル・ブーガ,mugureru・būga
ioan dragalina,イオン・ドラガリナ,ion・doragarina
anastasia lazariuc,アナスタシア・ラザリュク,anasutashia・razaryuku
dorin chirtoacă,ドリン・キルトアカ,dorin・kirutoaka
cezar lăzărescu,チェザル・ラザレスク,chezaru・razaresuku
cezar popescu,チェザル・ポペスク,chezaru・popesuku
christian beldi,クリスティアン・ベルディ,kurisutian・berudi
solomon marcus,ソロモン・マーコス,soromon・mākosu
andrei mureșan,アンドレイ・ムレシャン,andorei・mureshan
cosmina dușa,コスミナ・ドゥシャ,kosumina・dusha
ion marin,イオン・マリン,ion・marin
vlad plahotniuc,ウラジミール・プラホトニク,urajimīru・purahotoniku
iulian raicea,イウリアン・ライチャ,iurian・raicha
leontina văduva,レオンティーナ・ヴァドゥヴァ,reontīna・vaduva
florian pittiș,フロリアン・ピティス,furorian・pitisu
ilarie voronca,イラリエ・ヴォロンカ,irarie・vuォronka
ileana sonnabend,イリアナ・ソナベンド,iriana・sonabendo
varujan vosganian,ヴァルジャン・ヴォスゲイニアン,varujan・vuォsugeinian
ion stănescu,イオン・スタネスク,ion・sutanesuku
ion sturza,イオン・ストゥルザ,ion・suturuza
ionel augustin,イオネル・オーガスティン,ioneru・ōgasutin
cristian pop,クリスティアン・ポップ,kurisutian・poppu
céline arnauld,セリーヌ・アルノー,serīnu・arunō
george călinescu,ジョルジェ・カリネスク,joruje・karinesuku
violeta andrei,ヴィオレタ・アンドレイ,vioreta・andorei
andrei ropcea,アンドレイ・ロプシー,andorei・ropushī
isidor gansl,ガンスル・イジドル,gansuru・ijidoru
nicolae manolescu,ニコラエ・マノレスク,nikorae・manoresuku
leonte răutu,レオンテ・ロウト,reonte・routo
mircea dobrescu,ミルチェア・ドブレスク,miruchea・doburesuku
ermil gheorghiu,エルミル・ゲオルジウ,erumiru・georujiu
mihail majearu,ミハイル・マジェアル,mihairu・majearu
laurențiu roșu,ラウレンティウ・ロシュ,raurentiu・roshu
ion barbu,イオン・バルブ,ion・barubu
radu mihăileanu,ラデュ・ミヘイレアニュ,radyu・miheireanyu
