de_haŋkə	항케
it_kasartelːi	카사르텔리
it_kosima	코시마
it_but͡ʃːirosːo	부치로소
it_tedeʃo	테데스코
it_peɡolo	페골로
it_tales	탈레스
it_rokːadaspide	로카다스피데
it_seravet͡sa	세라베차
it_ɡuardea	구아르데아
it_benarːivo	베나리보
it_parɛ	파레
it_otːavia	오타비아
it_lionelːo	리오넬로
it_fosːalto	포살토
it_panikale	파니칼레
it_amedeo	아메데오
it_aviano	아비아노
it_nitːi	니티
it_sorsi	초르치
it_fersan	페르잔
it_spalːino	스팔리노
it_pietrabːondante	피에트라본단테
it_ɡunː	군
it_ylenja	일레니아
it_andretːa	안드레타
it_aru	아루
it_podesta	포데스타
it_benteɡodi	벤테고디
it_parakːini	파라키니
it_karbone	카르보네
it_bonat͡ʃːini	보나치니
it_mani	마니
it_mant͡ʃinelːi	만치넬리
it_astori	아스토리
it_romano	로마노
it_mariʎano	마릴리아노
it_serːakːiani	세라키아니
it_korkiano	코르키아노
it_kendalː	켄들
it_felit͡ʃani	펠리차니
it_ortensio	오르텐시오
it_rosːetːini	로세티니
it_vasta	바스타
it_lavoratori	라보라토리
it_positano	포시타노
it_trapatːoni	트라파토니
it_bamba	밤바
it_menikelːi	메니켈리
it_aurora	아우로라
it_silvestroni	실베스트로니
it_marina	마리나
it_juliano	율리아노
it_malt͡ʃesine	말체시네
it_palmiro	팔미로
it_maranelːo	마라넬로
it_inɡroia	인그로이아
it_natali	나탈리
it_kiesanuova	키에사누오바
it_monteflavio	몬테플라비오
it_jorio	요리오
it_arko	아르코
it_pietrakupa	피에트라쿠파
it_nikːiarelːi	니키아렐리
it_kuario	콰리오
it_buɲini	부니니
it_kampidoʎo	캄피돌리오
it_ravetːo	라베토
it_martinsikuro	마르틴시쿠로
it_oara	호아라
it_boneski	보네스키
it_ray	레이
it_kostat͡ʃːaro	코스타차로
it_sorino	소리노
it_kanfora	칸포라
it_valva	발바
it_lambruskini	람브루스키니
it_kolːepietro	콜레피에트로
it_benevento	베네벤토
it_loro	로로
it_dorio	도리오
it_albertini	알베르티니
it_medea	메데아
it_piola	피올라
it_auɡusto	아우구스토
it_mariánd͡ʒela	마리앙헬라
it_kastelforte	카스텔포르테
it_stefani	스테파니
it_t͡ʃinid͡ʒano	치니자노
it_ʎot͡si	글리오치
it_mitrione	미트리오네
it_trevi	트레비
it_domenɡini	도멘기니
it_kaprile	카프릴레
it_ɡala	갈라
it_forte	포르테
it_fivit͡sano	피비차노
it_valkared͡ʒːi	발카레지
it_ravaɲan	라바냔
it_ɡavat͡si	가바치
it_aɡat͡si	아가치
it_kevin	케빈
it_pesːina	페시나
it_kosensa	코센차
it_minɡardo	밍가르도
it_bekːali	베칼리
it_dʼobit͡ʃi	도비치
it_peʎo	펠리오
it_rokːaʃaleɲa	로카스칼레냐
it_t͡ʃervinara	체르비나라
it_trino	트리노
it_t͡ʃerkio	체르키오
it_vaʃo	바스코
it_santʼarsenio	산타르세니오
it_muɡini	무기니
it_koiro	코이로
it_alvinio	알비니오
it_toɲat͡si	토냐치
it_frasione	프라치오네
it_bard͡ʒilːi	바르길리
it_albiɲaseɡo	알비냐세고
it_d͡ʒulini	줄리니
it_lelio	렐리오
it_lista	리스타
it_ilːy	일리
it_mesːedaʎa	메세달리아
it_vilːad͡ʒːo	빌라조
it_karlos	카를로스
it_borɡonsoni	보르곤초니
it_timi	티미
it_silvi	실비
it_ruperto	루페르토
it_elido	엘리도
it_ɡasparːi	가스파리
it_barone	바로네
it_kasːiani	카시아니
it_kantielːo	칸티에로
it_parete	파레테
it_alpini	알피니
it_vladimir	블라디미르
it_maistro	마이스트로
it_eraldo	에랄도
it_bufalino	버팔리노
it_frant͡ʃosi	프란초지
it_mansari	만차리
it_ed͡ʒidio	에지디오
it_kandurːo	칸두로
it_abːrest͡ʃa	아브레시아
it_kasati	카사티
it_kaenina	카이니나
it_peluso	펠루소
it_loredana	로레데이너
it_belpoliti	벨폴리티
it_portit͡ʃi	포르티치
it_sentimenti	센티멘티
it_toʃano	제도
it_matania	마타냐
it_masːiko	마시코
it_dalːa	달라
it_rekːo	레코
it_koɡoleto	코골레토
it_santankɛ	산탄케
it_balːotːa	발로타
it_dalːʼara	달라라
it_bit͡ʃe	비체
it_sydne	시드니
it_bielːa	비엘라
it_balːerini	발레리니
it_venesi	베네치
it_furio	푸리오
it_polenta	폴렌타
it_eusebio	에우세비오
it_elːas	엘라스
it_fratːamad͡ʒːore	프라타마조레
it_torkiara	토르키아라
it_rankatore	랑카토레
it_mirabelːi	미라벨리
it_matilda	마틸다
it_akkua	아쿠아
it_dʼaɡuanːo	다관노
it_pasiensa	파치엔차
it_moʃufo	모스쿠포
it_imas	이마스
it_emːanuel	엠마누엘
it_karolina	카롤리나
it_joey	조이
it_karpentieri	카펜티에리
it_morikone	모리코네
it_kozmi	코스미
it_teverola	테베롤라
it_borboni	보르보니
it_formad͡ʒːo	포르마지오
it_valeria	발레리아
it_sánkezd͡ʒijon	산체스히혼
it_monumentale	모누멘탈레
it_piana	피아나
it_ernán	에르난
it_katerina	카테리나
it_ildebrando	일데브란도
it_ɡiʎone	길리오네
it_alesːandria	알레산드리아
it_loiero	로이에로
it_nikolat͡si	니콜라치
it_vilːabruna	빌라브루나
it_toro	토로
it_rita	리타
it_parmitano	파르미타노
it_korvaʎa	바글리아
it_erazmo	에라스모
it_molː	몰
it_monika	모니카
it_pierut͡ʃːi	피에루치
it_d͡ʒermanɔ	제르마노
it_let͡ʃːe	레체
it_bertinetːo	베르티네토
it_ɡansarolːi	간차롤리
it_savino	사비노
it_dʼaɡostino	다고스티노
it_pit͡soli	피촐리
it_meina	메이나
it_makri	마크리
it_padoaskiopːa	파도아스키오파
it_wilː	윌
it_paiato	파이아토
it_manuel	마누엘
it_karːot͡sa	카로차
it_akuara	아콰라
it_botːai	보타이
it_pray	프라이
it_kortino	코르티노
it_karnevali	카르네발리
it_rokːetːi	로케티
it_sanelːa	자넬라
it_kaprari	카프라리
it_pasːoni	파소니
it_kiara	키아라
it_tony	토니
it_rieti	리에티
it_belikːi	벨리키
it_buble	부블레
it_ikikawa	이치카와
it_neos	네오스
it_t͡ʃotːi	초티
it_sposini	스포시니
it_sole	솔레
it_fusakːia	푸사키아
it_fraine	프라이네
it_ilton	힐튼
it_arːiɡi	아리기
it_leɲano	레냐노
it_d͡ʒakomo	자코모
it_meat͡sa	메아차
it_vilːamaɲa	빌라마냐
it_kurtis	쿠르티스
it_veronika	베로니카
it_klemensa	클레멘자
it_put͡ʃːo	푸초
it_montand	몽탕
it_rafːaelːa	라파엘라
it_pierino	피에리노
it_lat͡sa	라짜
it_ɡulːotːa	굴로타
it_orːia	오리아
it_tad͡ʒːi	타지
it_menːea	멘네아
it_rosalinda	로살린다
it_korːado	코라도
it_murolo	무롤로
it_baɡarelːa	바가렐라
it_boʃono	보스코노
it_terelːe	테렐레
it_futani	푸타니
it_mot͡so	모초
it_rotelːo	로텔로
it_rokːi	로키
it_kimenti	키멘티
it_karotenuto	카로테누토
it_santamaria	산타마리아
it_ɡuaɲi	구아니
it_trikolore	트리콜로레
it_baʎoni	발리오니
it_durat͡sano	두라차노
it_ambrosiana	도서관
it_ɡrandate	그란다테
it_ornelːa	오르넬라
it_renato	레나토
it_anita	아니타
it_monkler	몽클레르
it_lant͡ʃano	란차노
it_pampaloni	팜팔로니
it_kostanso	코스탄조
it_solːa	촐라
it_floro	플로로
it_d͡ʒakːoni	자코니
it_bravi	브라비
it_ioriatːi	이오리아티
it_sepe	세페
it_fikulːe	피쿨레
it_bonaiuto	보나이우토
it_dat͡si	다치
it_bepːe	베페
it_strakːino	스트라키노
it_det͡ʃimomanːu	데시모마누
it_klasːiko	클라시코
it_montaɡano	몬타가노
it_ilaria	일라리아
it_masːimo	마시모
it_aɡuilar	아귈라
it_serino	세리노
it_fatːori	파토리
it_fiat	피아트
it_kastelmaɲo	카스텔마뇨
it_fidensa	피덴차
it_skiafːino	쉬아피노
it_alviti	알비티
it_milːer	밀러
it_delai	델라이
it_arːiɡo	아리고
it_kornelio	코르넬리오
it_lod͡ʒːa	로자
it_paskuini	파스퀴니
it_prosekːo	프로세코
it_siɲoris	시뇨리스
it_montelonɡo	몬텔론고
it_pelaɡo	펠라고
it_sat͡saroni	차차로니
it_brambilːa	브람빌라
it_vaporetːo	바포레토
it_rubinat͡ʃːi	루비나치
it_kastelt͡ʃivita	카스텔치비타
it_krist͡ʃito	크리시토
it_vanoni	바노니
it_manolo	마놀로
it_tedeski	테데스키
it_manfredonia	만프레도니아
it_at͡ʃerno	아체르노
it_arsenio	아르세니오
it_ari	아리
it_romoli	로밀리
it_mansiana	만치아나
it_karelː	카렐
it_pierpaolo	피에르파올로
it_mondi	몬디
it_balːantini	발란티니
it_kasalvieri	카살비에리
it_liɡabue	리가부에
it_abetone	아베토네
it_rokːamontepiano	로카몬테피아노
it_antei	안테이
it_parmid͡ʒanino	파르미자니노
it_udinese	우디네세
it_albertat͡si	알베르타치
it_lakryma	라크리마
it_ferːari	페라리
it_milano	밀라노
it_olmi	올미
it_st͡ʃandri	시안드리
it_tebaldi	테발디
it_ʃamart͡ʃo	스카마르초
it_tesːenːano	테센나노
it_virsi	비르지
it_mat͡ʃːo	마초
it_ada	아다
it_ɡret͡ʃːo	그레초
it_red͡ʒːelːo	레젤로
it_kaselːi	카셀리
it_rolːerblade	롤러블레이드
it_prokuratie	프로쿠라티에
it_tornado	토네이도
it_arbore	아르보레
it_alvise	알비세
it_d͡ʒano	지아노
it_kolantuono	콜란투오노
it_tiaɡo	티아고
it_t͡ʃimitile	치미틸레
it_falkonara	팔코나라
it_otːo	오토
it_paparesta	파파레스타
it_lukaselːi	루카셀리
it_t͡ʃervi	체르비
it_emiliano	에밀리아노
it_floriani	플로리아니
it_farnese	파르네세
it_lisa	리사
it_asola	아솔라
it_pierkamilːo	피에르카밀로
it_martust͡ʃelːo	마르투시엘로
it_vakːaro	바카로
it_pakotːo	파코토
it_spoleto	스폴레토
it_kastropiɲano	카스트로피냐노
it_ad͡ʒea	아제아
it_spelːo	스펠로
it_markut͡si	마르쿠치
it_mast͡ʃitːo	마시토
it_paskuero	파스케로
it_rabitːi	라비티
it_atripalda	아트리팔다
it_faikːio	파이키오
it_piɲataro	피냐타로
it_sanone	차노네
it_ʃanu	스카누
it_sperone	스페로네
it_bruɲetːi	브루녜티
it_sinːer	지너
it_balme	발메
it_ɡamberini	감베리니
it_iorio	이오리오
it_alberiko	알베리고
it_nevio	네비오
it_manuela	마누엘라
it_brivio	브리비오
it_list͡ʃa	리시아
it_denominasione	데노미나치오네
it_pesaro	페사로
it_verdi	베르디
it_karːa	카라
it_st͡ʃilːa	쉴라
it_ravera	라베라
it_aɡustawestland	아구스타웨스틀랜드
it_bedin	베딘
it_unɡaretːi	운가레티
it_matino	마티노
it_maldini	말디니
it_kalkata	칼카타
it_t͡ʃelata	첼라타
it_ɡuʎelmo	굴리엘모
it_andrius	안드류스
it_d͡ʒinzburɡ	긴츠부르그
it_amadeus	아마데우스
it_ɡalːipoli	갈리폴리
it_fantastikini	판타스티키니
it_d͡ʒiʎoli	질리올리
it_mand͡ʒarotːi	만자로티
it_santiaɡo	산티아고
it_volo	볼로
it_aɡostino	아고스티노
it_nikolas	니콜라스
it_bene	베네
it_skio	스키오
it_pisoni	피소니
it_zrafːa	스라파
it_ɡalano	갈라노
it_romaɲa	로마냐
it_jean	진
it_labini	라비니
it_krekːo	크레코
it_montevaɡo	몬테바고
it_tim	팀
it_amːanːati	암만나티
it_aɡostina	아고스티나
it_paolo	파올로
it_bansi	반지
it_amerika	아메리카
it_marketːi	마르케티
it_pinsoʎo	핀솔리오
it_seɲi	세니
it_donatelːa	도나텔라
it_botːiroli	보티롤리
it_trunfio	트런피오
it_montemarano	몬테마라노
it_pariani	파리아니
it_dotːi	도티
it_trapani	트라파니
it_stuani	스투아니
it_taʎakot͡so	탈리아코초
it_ambrosini	암브로시니
it_ɡuardialfiera	구아르디알피에라
it_periko	페리코
it_bitont͡ʃi	비톤치
it_salvatori	살바토리
it_leonelːi	레오넬리
it_bilelːo	빌렐로
it_ɡori	고리
it_bindi	빈디
it_st͡ʃarelːi	시아렐리
it_kolumbu	콜룸부
it_alfonsina	알폰시나
it_ɡaudioso	가우디오소
it_stone	스톤
it_d͡ʒovanːi	조반니
it_alojs	알로이스
it_storari	스토라리
it_donːini	돈니니
it_milːy	밀리
it_sebi	세비
it_paul	폴
it_provint͡ʃa	이탈리아의
it_t͡ʃeʃon	체스콘
it_maestri	마에스트리
it_kiesa	키에사
it_martino	마르티노
it_poli	폴리
it_ɡardini	가르디니
it_frant͡ʃiʃa	프란치스카
it_forano	포라노
it_padula	파둘라
it_vitːi	비티
it_koland͡ʒeli	콜란젤리
it_moratːi	모라티
it_maiori	마이오리
it_kiod͡ʒːa	키오자
it_molaioli	몰라이올리
it_sukulini	수쿨리니
it_pontelonɡo	폰텔롱고
it_teor	테오르
it_serviane	성벽
it_poretːi	포레티
it_aloisi	알로이지
it_santakrot͡ʃe	산타크로체
it_pioli	피올리
it_d͡ʒerardo	제라르도
it_kampo	캄포
it_kabibːo	카비보
it_alvera	알베라
it_st͡ʃivitːaro	시비타로
it_toʃanini	토스카니니
it_kampaɲa	캄파냐
it_votːo	보토
it_mart͡ʃelːo	마르첼로
it_antonini	안토니니
it_barletːa	바를레타
it_amːaniti	암만티
it_trentinara	트렌티나라
it_leɡa	레가
it_ɡedi	게디
it_filipːi	필리피
it_maieux	마히스
it_albit͡si	알비치가
it_moɡerini	모게리니
it_turati	투라티
it_ɡandi	간디
it_balti	발티
it_miles	마일즈
it_fasːino	파시노
it_tavekːio	타베키오
it_koletːi	콜레티
it_rava	라바
it_teora	테오라
it_totɔ	토토
it_panorama	파노라마
it_maifredi	마이프레디
it_folːo	폴로
it_antonia	안토니아
it_ferːarini	페라리니
it_mastelːa	마스텔라
it_spadafora	스파다포라
it_lovelokk	러블록
it_st͡ʃolːa	시올라
it_fratelːo	프라텔로
it_piɡat͡sano	피가차노
it_meko	메코
it_ʃansi	스칸치
it_peʃosansoneʃo	페스코산소네스코
it_elmas	엘마스
it_bolːe	볼레
it_melara	멜라라
it_nespoli	네스폴리
it_ted͡ʒːano	테자노
it_elenoire	엘레노이레
it_laɡo	라고
it_ɡloria	글로리아
it_pest͡ʃa	페시아
it_fermo	페르모
it_lut͡ʃini	루시니
it_via	비아
it_piano	피아노
it_kalensano	칼렌차노
it_borɡesio	보르게치오
it_lia	리아
it_makːaniko	마카니코
it_menikoni	메니코니
it_vakone	바코네
it_buʃoldo	부스콜도
it_speransa	스페란차
it_lamesia	라메치아
it_alejandro	알레한드로
it_miela	미엘라
it_unikredit	우니크레디트
it_kapelːo	카펠로
it_renɡa	렝가
it_etro	에트로
it_pit͡ʃːoni	피치오니
it_kasalinkontrada	카살린콘트라다
it_buzdakin	부스다킨
it_faraoni	파라오니
it_orsoni	오르소니
it_t͡ʃetona	체토나
it_kanio	카니오
it_pit͡ʃːini	피치니
it_rokːo	로코
it_ostia	오스티아
it_tutːomondo	토투몬도
it_ken	켄
it_boninseɲa	보닌세냐
it_ɡabːani	가바니
it_altero	알테로
it_aliprandi	알리프란디
it_rokːaɡorɡa	로카고르가
it_dentamaro	덴타마로
it_windisk	빈디슈
it_baldini	발디니
it_stepane	스테판
it_bertone	베르토네
it_partito	파티토
it_patrika	파트리카
it_pelanda	펠란다
it_kolosːeo	콜로세움
it_barbara	바르바라
it_brutːi	브루티
it_fedato	페다토
it_santʼaɡapito	산타가피토
it_ave	아브
it_verena	베레나
it_sasːo	삭소
it_pavarotːi	파바로티
it_forer	포러
it_testi	테스티
it_rudiferia	루디페리아
it_orid͡ʒine	오리지네
it_markisio	마르키시오
it_kanːared͡ʒo	카나레조
it_valːo	발로
it_renso	렌초
it_d͡ʒanvito	잔비토
it_pisakane	피사카네
it_serbi	제르비
it_destro	데스트로
it_voʎakːo	볼리아코
it_d͡ʒanːiotːi	잔니오티
it_montebuono	몬테부오노
it_belːona	벨로나
it_pat͡saʎ	파찰리
it_nini	니니
it_abːiati	아비아티
it_minestrone	미네스트로네
it_arpitania	아르피타니아
it_leonora	레오노라
it_pisːalandrea	피살라디에르
it_parːi	파리
it_boni	보니
it_pontelandolfo	폰텔란돌포
it_ɡribaudo	그리바우도
it_terabust	테라부스트
it_d͡ʒesualdo	제수알도
it_otrikoli	오트리콜리
it_d͡ʒanluka	잔루카
it_monsa	몬차
it_santarelːi	산타렐리
it_t͡ʃet͡ʃile	세실
it_sopːelːi	초펠리
it_mastrot͡ʃinkue	마스트로첸케
it_montone	몬토네
it_kampaɲano	캄파냐노
it_benetːi	베네티
it_biseɲa	비세냐
it_benetːon	베네톤
it_ankarano	안카라노
it_stradivari	스트라디바리
it_sonia	소냐
it_dumensa	두멘차
it_eder	에데르
it_saviano	사비아노
it_bearsot	베아르초트
it_rosanːa	로산나
it_t͡ʃernoia	체르노이아
it_ala	알라
it_danova	다노바
it_praetoria	프라이토리아
it_t͡ʃinkuanta	친콴타
it_velːetri	벨레트리
it_pierluid͡ʒi	피에를루이지
it_senerkia	세네르키아
it_malpet͡si	말페치
it_ɡraɲano	그라냐노
it_pastorino	파스토리노
it_batːistelːa	바티스텔라
it_ferːut͡ʃːo	페루초
it_reɡata	레가타
it_unipol	우니폴
it_barːa	바라
it_lierna	성
it_kapalbio	카팔비오
it_bukalo	부칼로
it_martorana	마르토라나
it_breɡa	브레가
it_kardinale	카르디날레
it_ledezma	레데스마
it_t͡ʃarːokːa	차로카
it_lorenso	로렌초
it_torkio	토키오
it_krispolti	크리스폴티
it_antonelːi	안토넬리
it_konfortola	콘포르톨라
it_ɡasːman	가스만
it_tondelːi	톤델리
it_ilona	일로나
it_friɲani	프리냐니
it_borasio	보라시오
it_emilio	에밀리오
it_rafael	하파엘
it_rofrano	로프라노
it_katansaro	카탄차로
it_balsaretːi	발차레티
it_belːokːio	벨로키오
it_opi	오피
it_konsiʎ	콘실리
it_tidona	티도나
it_mastrand͡ʒelo	마스트란젤로
it_osːini	오시니
it_musːio	무시오
it_kristiano	크리스티아노
it_kotːarelːi	코타렐리
it_iakopini	이아코피니
it_ɡalːisio	피노갈라지오
it_eɲa	에내
it_laurentiis	로렌티스
it_apolːo	아폴로
it_ronki	론치
it_foʃari	포스카리
ja_ɕiɡenobɯmat͡ɕi	시게노부정
ja_ɡotembaseŋ	고텐바선
ja_todoɯɸɯkendoɯ	도도부현도
ja_sɯsamʲimat͡ɕi	스사미정
ja_hokɯto	호쿠토
ja_tao	다오
ja_ɖʲikʲisatoɕi	리키치
ja_kaiʑoɯʑieːtai	해상자위대
ja_oɕamambemat͡ɕi	오샤만베정
ja_eːbekkɯsɯ	에이벡스
ja_kɯɰano	쿠와노
ja_kʲɯː	리큐
ja_d͡ʑissoɯ	짓소지
ja_sakɯta	사쿠다
ja_d͡ʑɯɲɲiŋ	준닌
ja_kʲitaɾoɯ	키타로
ja_ɕinɖo	신지
ja_jɯkana	유카나
ja_satoɰakʲi	사토와키
ja_tanomat͡ɕi	다노정
ja_jɯːheː	유헤이
ja_iɰai	이와이
ja_janaɡaɰaʑiɾoɯ	양원석
ja_d͡zebɯɾa	제브라
ja_haɕinai	하시우치
ja_ɕɯnd͡ʑi	슌지
ja_kʲitaɡɯɴ	기타군
ja_t͡ɕieko	치에코
ja_kaɡaɰaɡɯɴ	가가와군
ja_daiɡoʑi	다이고지
ja_maehaɾa	마에하라
ja_koʑima	코지마
ja_keːkɯɲi	요시쿠니
ja_koɯɸɯkɯ	고후시미
ja_kabɯkʲimono	가부키모노
ja_mʲinamotokeŋ	미나모토노
ja_kɯɲiçiko	구니히코
ja_ɸɯtabaɕa	후타바샤
ja_et͡ɕiɡo	에치고
ja_tent͡ɕi	덴지
ja_kobɯkɯɾo	코부쿠로
ja_iɕiɡe	이시게
ja_ɖʲoɯke	요시이에
ja_oɾʲido	오리토
ja_nakaɡaɰa	나카가와
ja_akase	아카세가와
ja_tadajoɾʲi	다다마사
ja_ɲiɕijama	니시야마
ja_ɕioɴ	시온
ja_mot͡ɕinoɾʲi	모치노리
ja_kembɯt͡ɕimat͡ɕi	겐부치정
ja_kanɖamat͡ɕi	간라정
ja_imʲijabʲi	미야비
ja_ɖʲoɯhana	스즈카
ja_ɸɯkazaɰa	후카사와
ja_anai	아나이
ja_d͡ʑɯnd͡ʑiɾoɯ	준지로
ja_deme	데메
ja_toɯʑoɯ	도조
ja_tot͡sɯkajado	도쓰카슈쿠
ja_aɾʲioka	아리오카
ja_oːisomat͡ɕi	오이소정
ja_ɸɯʑiɕimamat͡ɕi	후지시마정
ja_mʲit͡ɕiçiko	미치히코
ja_sɯmʲiɾe	스미레
ja_aɾaɕijamamat͡ɕi	란잔정
ja_kozakaimat͡ɕi	고자카이정
ja_jonejama	요네야마
ja_ienaɾʲi	이에나리
ja_haɾɯba	하루마
ja_joɕikata	요시카타
ja_kaɰakʲita	가와키타
ja_noɡamʲi	노가미
ja_haɾɯno	하루노
ja_ɖend͡ʑi	렌지
ja_oːnaɾɯtokʲoɯ	오나루토교
ja_tokɯɕiɡe	도쿠시게
ja_ai	아이
ja_soɯjaɡɯɴ	소야군
ja_ɕiɡeoka	시게오카
ja_ɸɯkɯmoɾʲi	후쿠모리
ja_nobɯt͡sɯna	노부쓰나
ja_naɾɯseː	나리마사
ja_oːsakʲi	오사키
ja_tot͡ɕiɡʲikeŋ	도치기현
ja_at͡sɯko	아츠코
ja_mɯsaɕinoseŋ	무사시노선
ja_eaːɲippoɴ	에어닛폰
ja_mɯɾozono	무로조노
ja_çisaçide	히사히데
ja_ɡeẽçiɾoɕi	모토히로
ja_ɸɯtaba	후타바야마
ja_kasɯɡataiɕa	가스가타이샤
ja_ikɯja	이쿠야
ja_joɕitada	호츄
ja_ɯmezaɰa	우메자와
ja_kamʲit͡sɯɡaɡɯɴ	가미쓰가군
ja_eːsakɯ	에이사쿠
ja_tadamʲi	다다미
ja_naojoɕi	나오미
ja_ɸɯʑisatomat͡ɕi	후지사토정
ja_toɯɕoɯdaiʑi	도쇼다이지
ja_kaɰaɡoehaɴ	가와고에번
ja_iɰamamat͡ɕi	이와마정
ja_kɯɾokʲi	쿠로키
ja_d͡zaoɯmat͡ɕi	자오정
ja_kɯɾose	쿠로세
ja_taɕɯːheː	슈헤이
ja_mʲisɯtoɰoːkaː	미스트워커
ja_tadamoɾʲi	다다모리
ja_çiɾaoka	히라오카
ja_asaɯmʲi	아사미
ja_mʲinamototakaɕi	미나모토노
ja_haɡaɡɯɴ	하가군
ja_ɲiɕihoŋɡand͡ʑi	니시혼간지
ja_t͡sɯbʲi	나쓰미
ja_çiɾat͡sɯka	히라쓰카
ja_kamoɡɯɴ	가모군
ja_kaɰakamʲiɡɯɴ	가와카미군
ja_satoɕiakʲiɾa	지아키
ja_kɯmeɡɯɴ	구메군
ja_isoɡai	이소가이
ja_maɾɯbeɲi	마루베니
ja_kozɯka	고즈카
ja_t͡ɕɯɯ̃soɸɯto	춘소프트
ja_oːemat͡ɕi	오에정
ja_keːʑi	게이지
ja_ɖaideŋ	라이덴
ja_ikɯsɯpʲiaɾʲi	익스피어리
ja_jasɯtake	야스타케
ja_mʲinoɾɯta	미놀타
ja_joɕinoboɾʲi	요시노리
ja_jamana	야마나
ja_teɾɯmʲit͡sɯ	데루미쓰
ja_at͡sɯmamat͡ɕi	아쓰마정
ja_ɕimomaɕikʲiɡɯɴ	시모마시키군
ja_tameɰaɡa	타메가이
ja_tomoçisa	토모히사
ja_ɰakao	와카오
ja_ajame	아야메
ja_ɡʲiŋɡa	긴가
ja_mʲikoto	다케루
ja_onnakoɯ	히카루
ja_d͡ʑɯnnosɯke	준노스케
ja_tadamʲimat͡ɕi	다다미정
ja_hanamat͡ɕi	하나마치
ja_mokɯtaɾoɯ	모쿠타로
ja_tamʲijo	타미요
ja_seẽɕiɡeɾɯ	노리시게
ja_okane	오카네
ja_kʲinosato	키리야
ja_hajabɯsa	하야토
ja_koɯtokɯseŋ	고토쿠선
ja_noɾʲiçiko	노리히코
ja_hend͡ʑoɯ	헨조
ja_daiɾokɯ	다이로쿠
ja_setakamat͡ɕi	세타카정
ja_nakaʑima	나카지마
ja_joɾʲiko	요리코
ja_t͡ɕijako	치야코
ja_kɯsano	구사노
ja_jonemoto	요네모토
ja_kaɾasaɰa	카라사와
ja_dokata	히지카타
ja_iɰakɯma	이와쿠마
ja_janaɡʲiba	야나기바
ja_ɡenta	겐다
ja_mʲijabe	미야베
ja_moɾʲijasɯ	모리야스
ja_sekʲine	세키네
ja_hoɾʲio	호리오
ja_jamaoka	야마오카
ja_daːbɯɾoɯ	더브로
ja_kamʲinaɾʲimoɴ	가미나리몬
ja_heɡɯɾʲimat͡ɕi	헤구리정
ja_bɯmmeː	분메이
ja_ɕinneŋkai	신년회
ja_daãi	단
ja_kat͡sɯɾamʲija	가쓰라노미야
ja_oːzoɾamat͡ɕi	오조라정
ja_toɯjoɯ	도요
ja_maɾʲiko	마리코
ja_kaɾʲiɰaɡɯɴ	가리와군
ja_çikaɾʲijasɯɕi	미쓰야스
ja_takenoɾʲi	다케노리
ja_mʲinamotojoɕi	미나모토노
ja_jonemʲit͡sɯ	요네미쓰
ja_ɲiɕibaɾamat͡ɕi	니시하라정
ja_kenta	겐타
ja_andoɾʲɯː	앤드류
ja_d͡zeamʲi	제아미
ja_ɖeːʑi	레이지
ja_takɯaɴ	다쿠안
ja_kamʲiɡata	가미가타
ja_aɕiɡaɾakamʲiɡɯɴ	아시가라카미군
ja_kabʲiɾa	카비라
ja_jamabemat͡ɕi	야마노베정
ja_ɕind͡ʑoɯhaɴ	신조번
ja_ieɾoː	옐로
ja_ɰakaɡʲi	와카키
ja_moseɯɕimat͡ɕi	모세우시정
ja_hajaɕibaɾa	하야시바라
ja_ɕɯːɡo	슈고
ja_isobe	이소베
ja_haebaɾɯmat͡ɕi	하에바루정
ja_nakazato	나카
ja_seɲɲɯːʑi	센뉴지
ja_takaçiɾa	다카히라
ja_masatakaɕi	마사타카
ja_sasanɯma	사사누마
ja_çiɾonobɯ	히로노부
ja_tokɯmʲit͡sɯ	도쿠미쓰
ja_toɯsato	노보리자토
ja_boɯnot͡sɯmat͡ɕi	보노쓰정
ja_sena	세나
ja_çiɾoɕimaɰaɴ	히로시마만
ja_kotoɯɾamat͡ɕi	고토우라정
ja_jokojama	요코야마
ja_ɸɯkɯzaɰa	후쿠자와
ja_oːhata	오하타
ja_pɯɾoɾesɯ	프로레슬링
ja_iɾʲijama	이리야마
ja_kakɯbaɾʲi	가쿠바리
ja_maɾesakʲi	키자키
ja_mʲizɯto	미즈토
ja_mʲit͡sɯmasa	미쓰마사
ja_takaçiɾo	다카히로
ja_mʲit͡ɕit͡sɯne	미치쓰네
ja_moɾot͡sɯka	모로즈카
ja_mʲinamotobɯɴ	모토후미
ja_madomoazeɾɯ	마드모아젤
ja_mɯnenoɾʲi	무네노리
ja_ɸɯkasakɯ	후카사쿠
ja_jodoseŋ	요도선
ja_ɯɾajama	우라야마
ja_iɕiɡame	이시가메
ja_çisajamamat͡ɕi	히사야마정
ja_mʲiĩɕatoɯ	민사당
ja_iːɕiɡɯɴ	이시군
ja_dattosaɴ	닷선
ja_d͡zama	자마
ja_tokɯnaɡa	도쿠나가
ja_ɸɯʑiɡataɲi	후지가야
ja_joɕizaɰa	요시자와
ja_saɡamʲi	사가미
ja_sakahoɡʲimat͡ɕi	사카호기정
ja_kaɾat͡sɯseŋ	가라쓰선
ja_ɖʲɯːçiɾoɕi	다카히로
ja_t͡ɕokɯɕima	나오시마
ja_daisɯke	다이스케
ja_tomoʑiɾoɯ	도모지로
ja_maɡo	우마코
