angela,앙겔라,anggelra
sommerfeld,조머펠트,jomeopelteu
johnson,욘존,yonjon
maren,마렌,maren
eggert,에거트,egeoteu
timm,팀,tim
speidel,슈파이델,syupaidel
nuri,누리,nuri
şahin,샤힌,syahin
goeßling,괴슬링,goeseulring
barbie,바르비,bareubi
sauckel,자우켈,jaukel
brandt,브란트,beuranteu
wehner,베너,beneo
hartmut,하르트무트,hareuteumuteu
huene,후에네,huene
detlef,데틀레프,deteulrepeu
schrempf,슈렘프,syurempeu
cosma,코스마,koseuma
shiva,시바,siba
hagen,하겐,hagen
lipmann,리프만,ripeuman
schmeling,슈멜링,syumelring
stumpfegger,슈툼페거,syutumpegeo
grau,그라우,geurau
mack,맥,maeg
liebknecht,리프크네히트,ripeukeunehiteu
lewin,레빈,rebin
heinkel,하인켈,hainkel
siegel,지겔,jigel
münch,뮌히,mwinhi
lindner,린트너,rinteuneo
faltings,팔팅스,paltingseu
zell,젤,jel
röstel,뢰스텔,roeseutel
meißner,마이스너,maiseuneo
mary,마리,mari
wigman,비그만,bigeuman
maybach,마이바흐,maibaheu
kati,카티,kati
julie,줄리,julri
engelbrecht,엥겔브레히트,enggelbeurehiteu
dehn,덴,den
peierls,파이얼스,paieolseu
hensel,헨젤,henjel
hirzebruch,히르체브루흐,hireucebeuruheu
anders,안더스,andeoseu
schmitt,슈미트,syumiteu
tilemann,틸레만,tilreman
hesshus,헤수시우스,hesusiuseu
pascual,파스쿠알,paseukual
jordan,요르단,yoreudan
hasse,하세,hase
ermin,에르민,ereumin
bičakčić,비착치치,bicagcici
wittig,비티히,bitihi
meurer,모이러,moireo
kerner,커너,keoneo
klöckner,클뢰크너,keulroekeuneo
orlowski,오를로브슈키,oreulrobeusyuki
loewi,뢰비,roebi
nüssleinvolhard,뉘슬라인폴하르트,nwiseulrainpolhareuteu
angelique,안젤리크,anjelrikeu
kerber,케르버,kereubeo
cuno,쿠노,kuno
annika,아니카,anika
fehrenbach,페렌바흐,perenbaheu
jannings,야닝스,yaningseu
silke,질케,jilke
bodenbender,보덴벤더,bodenbendeo
bergmann,베르크만,bereukeuman
berggruen,베르그루엔,bereugeuruen
stumph,슈툼프,syutumpeu
schnellhardt,슈넬하르트,syunelhareuteu
pau,파우,pau
sahra,자라,jara
wagenknecht,바겐크네히트,bagenkeunehiteu
wernicke,베르니케,bereunike
janosch,야노쉬,yanoswi
grotewohl,그로테볼,geurotebol
ferdy,페르디,pereudi
mayne,마이네,maine
jie,제,je
schöpp,쇼프,syopeu
kai,카이,kai
wiesinger,비징거,bijinggeo
mendl,멘들,mendeul
franzbenno,프란츠베노,peuranceubeno
delonge,델롱게,delrongge
elser,엘저,eljeo
bugenhagen,부겐하겐,bugenhagen
lafee,라피,rapi
heppe,헤페,hepe
fritzsch,프리츠슈,peuriceusyu
regina,레기나,regina
sachsenmeiningen,작센마이닝겐,jagsenmaininggen
hardy,하르디,hareudi
krüger,크뤼거,keurwigeo
kobus,코부스,kobuseu
buchwald,부흐발트,buheubalteu
reincke,라인케,rainke
wiese,비제,bije
joppich,요피히,yopihi
abdul,압둘,abdul
ahad,아하드,ahadeu
momand,모만드,momandeu
rangin,랑긴,ranggin
dadfar,다드파르,dadeupareu
spanta,스판타,seupanta
benjamin,베냐민,benyamin
kleibrink,클라이브링크,keulraibeuringkeu
liechtenauer,리히테나워,rihitenaweo
lieberknecht,리베르크네히트,ribereukeunehiteu
kessler,케슬러,keseulreo
morgenstern,모르겐슈테른,moreugensyutereun
marianne,마리안느,marianneu
hallwachs,홀워치,holweoci
kunstmann,컨스트먼,keonseuteumeon
hell,헬,hel
losch,로슈,rosyu
aniela,아니엘라,anielra
jaffé,야페,yape
stegner,슈테그너,syutegeuneo
gercke,게르케,gereuke
lassander,라샌더,rasaendeo
weßels,베셀스,beselseu
schoeck,쉐크,swekeu
tankred,탕크레트,tangkeureteu
dorst,도르스트,doreuseuteu
carossa,카로사,karosa
ariadne,아리아드네,ariadeune
noether,뇌터,noeteo
freudenthal,프로이덴탈,peuroidental
baal,발,bal
utrecht,위트레흐트,witeureheuteu
oeri,오에리,oeri
groos,그로스,geuroseu
krause,크라우제,keurauje
imhoff,임호프,imhopeu
tonke,통케,tongke
gerat,게라트,gerateu
rado,라도,rado
margaretha,마가레테,magarete
ida,이다,ida
noddack,노다크,nodakeu
jacob,야코프,yakopeu
matschenz,마트셴츠,mateusyenceu
ade,아데,ade
martinek,마르티네크,mareutinekeu
margret,마르그레트,mareugeureteu
göbl,괴블,goebeul
wepper,웨퍼,wepeo
elmar,엘마어,elmaeo
sandy,샌디,saendi
mölling,묄링,moelring
sergej,세르게이,sereugei
moya,모야,moya
schimmelpfennig,시멜페니히,simelpenihi
edel,에델,edel
rosenbach,로젠바흐,rojenbaheu
odisseas,오디세아스,odiseaseu
vlachodimos,블라호디모스,beulrahodimoseu
roth,로트,roteu
schultz,슐츠,syulceu
hues,휴즈,hyujeu
bücher,뷔허,bwiheo
eichhorn,아이히호른,aihihoreun
haag,하크,hakeu
fahriye,파흐리예,paheuriye
evcen,에브젠,ebeujen
sara,자라,jara
nuru,누루,nuru
jaenicke,예니케,yenike
moufang,무팡,mupang
siegfried,지크프리트,jikeupeuriteu
avelon,아벨론,abelron
neldel,넬델,neldel
knöpfle,뇌플레,noepeulre
elsner,엘스너,elseuneo
fehling,펠링,pelring
kittel,키텔,kitel
thielicke,틸리케,tilrike
tanzer,매크리,maekeuri
philip,필리프,pilripeu
wiegratz,비그라츠,bigeuraceu
grimm,그림,geurim
carolin,카롤린,karolrin
golubytskyi,골루비츠키,golrubiceuki
nossack,노사크,nosakeu
carsten,카르스텐,kareuseuten
chalid,할리드,halrideu
arrab,아랍,arab
siriusmo,시리우즈모,siriujeumo
beling,벨링,belring
welzel,벨첼,belcel
richterhaaser,리히터하저,rihiteohajeo
pareus,파레우스,pareuseu
noethen,뇌텐,noeten
saskia,사스키아,saseukia
vester,베스터,beseuteo
potteck,포테크,potekeu
thor,토어,toeo
jansen,얀센,yansen
vollertsen,폴러첸,polreocen
hochstaden,호흐슈타덴,hoheusyutaden
weisenborn,바이젠보른,baijenboreun
meisel,마이젤,maijel
michalsky,미할스키,mihalseuki
löbau,뢰바우,roebau
goering,괴링,goering
carina,카리나,karina
vogt,포크트,pokeuteu
stolze,스톨즈,seutoljeu
florin,플로린,peulrorin
antonio,안토니오,antonio
siekmann,지크만,jikeuman
feck,펙,peg
hadamovsky,하다모프스키,hadamopeuseuki
olga,올가,olga
costa,코스타,koseuta
schnack,슈나크,syunakeu
heinar,하이나르,hainareu
kipphardt,키프하르트,kipeuhareuteu
pflaum,플라움,peulraum
borgmann,보르크만,boreukeuman
thieme,티메,time
fricke,프리케,peurike
hoenig,회니히,hoenihi
zitelmann,치텔만,citelman
holl,홀,hol
inka,잉카,ingka
luna,루나,runa
schwiers,슈비어스,syubieoseu
marion,마리온,marion
hanno,하노,hano
koffler,코플러,kopeulreo
kaaren,카렌,karen
verne,베른,bereun
kristin,크리스틴,keuriseutin
pheline,펠리네,pelrine
roggan,로간,rogan
hause,하우제,hauje
mischnick,미슈니크,misyunikeu
palina,팔리나,palrina
rojinski,로진스키,rojinseuki
nele,넬레,nelre
neuhaus,노이하우스,noihauseu
brüggemann,브뤼게만,beurwigeman
rufus,루푸스,rupuseu
sonja,소냐,sonya
gerhardt,게르하르트,gereuhareuteu
scheller,셸러,syelreo
waschke,바슈케,basyuke
hilmi,힐마이,hilmai
sözer,소제르,sojereu
tayfun,타이푼,taipun
bademsoy,바뎀소이,bademsoi
bender,벤더,bendeo
annkathrin,안카트린,ankateurin
kramer,크라머,keurameo
graul,그라울,geuraul
marie,마리,mari
bäumer,보이머,boimeo
gesine,게지네,gejine
cukrowski,추크로프스키,cukeuropeuseuki
schmidtschaller,슈미트샬러,syumiteusyalreo
stappenbeck,슈타펜베크,syutapenbekeu
fölsing,푈싱,poelsing
caroline,카롤리네,karolrine
bernadette,베르나데테,bereunadete
heerwagen,헤어바겐,heeobagen
edda,에다,eda
tristano,트리스타노,teuriseutano
casanova,카사노바,kasanoba
maike,마이케,maike
kohlrichter,콜리히터,kolrihiteo
rebecca,레베카,rebeka
immanuel,이마누엘,imanuel
scholze,숄체,syolce
dominic,도미니크,dominikeu
raacke,라케,rake
pegah,페가,pega
ferydoni,페리도니,peridoni
bojowald,보조발트,bojobalteu
grothum,그로툼,geurotum
bederke,베데르케,bedereuke
südhof,쥐트호프,jwiteuhopeu
frederik,프레데리크,peurederikeu
wiedmann,비트만,biteuman
kristian,크리스티안,keuriseutian
kiehling,킬링,kilring
kroymann,크로이만,keuroiman
holthusen,홀투젠,holtujen
kleikamp,클라이캄프,keulraikampeu
hito,히토,hito
steyerl,슈타이얼,syutaieol
maaß,마스,maseu
lippe,리페,ripe
holst,홀스트,holseuteu
salton,솔튼,solteun
susan,수산,susan
hoecke,호이케,hoike
roger,로거,rogeo
björn,뵈른,boereun
hübner,휘브너,hwibeuneo
adnan,아드난,adeunan
maral,마랄,maral
wilma,빌마,bilma
elles,엘르,elreu
rosalie,로잘리,rojalri
thomass,토마스,tomaseu
mina,미나,mina
tander,탄더,tandeo
rauch,라우흐,rauheu
janina,야니나,yanina
fautz,파우츠,pauceu
nickel,니켈,nikel
bartsch,바어치,baeoci
joe,요제프,yojepeu
kaeser,코저,kojeo
jutta,유타,yuta
ursula,우르줄라,ureujulra
prahl,프랄,peural
stresemann,슈트레제만,syuteurejeman
bürger,뷔르거,bwireugeo
doermer,되르머,doereumeo
fichte,피히테,pihite
rombach,롬바흐,rombaheu
isabella,이자벨라,ijabelra
laböck,라뵈크,raboekeu
milberg,밀베르크,milbereukeu
lauterbach,라우터바흐,rauteobaheu
ricardo,리카르도,rikareudo
eichmann,아이히만,aihiman
miriam,미리암,miriam
hinrichs,힌리히스,hinrihiseu
kreuger,크루거,keurugeo
driest,드리스트,deuriseuteu
edenhofer,에덴호퍼,edenhopeo
gerda,게르다,gereuda
multerer,물테러,multereo
bujdosó,부이도소,buidoso
süskind,쥐스킨트,jwiseukinteu
thomalla,토말라,tomalra
herbst,허브스트,heobeuseuteu
micaela,미카엘라,mikaelra
tauber,타우버,taubeo
handtke,한트케,hanteuke
winter,빈터,binteo
welzenbacher,벨첸바셔,belcenbasyeo
götze,괴체,goece
seyfi,세이피,seipi
enke,엥케,engke
hansdietrich,한스디트리히,hanseuditeurihi
genscher,겐셔,gensyeo
leonard,레오나르트,reonareuteu
lansink,란징크,ranjingkeu
frings,프링스,peuringseu
egino,에기노,egino
weinert,바이너트,baineoteu
harzer,하르처,hareuceo
welker,벨커,belkeo
bodo,보도,bodo
ramelow,라멜로,ramelro
emigholz,에미히홀츠,emihiholceu
deppe,데페,depe
engel,엥겔,enggel
gansberg,가네베르크,ganebereukeu
lars,라르스,rareuseu
windhorst,빈트호르스트,binteuhoreuseuteu
bolz,볼츠,bolceu
beisiegel,바이지겔,baijigel
willi,빌리,bilri
kriele,크릴레,keurilre
knieper,크니퍼,keunipeo
sensley,센슬리,senseulri
hey,하이,hai
schmitz,슈미츠,syumiceu
sperr,슈페르,syupereu
loos,로스,roseu
hermine,헤르민,hereumin
sterler,스터러,seuteoreo
gila,길라,gilra
weitershausen,바이터스하우젠,baiteoseuhaujen
stetter,슈테터,syuteteo
redl,레들,redeul
maryam,마리암,mariam
zaree,자리,jari
kießling,키슬링,kiseulring
lieven,리벤,riben
ribbentrop,리벤트로프,ribenteuropeu
brauss,브라우스,beurauseu
bruch,브루흐,beuruheu
grosz,그로스,geuroseu
mike,미케,mike
daehn,덴,den
blochberger,블로흐베르거,beulroheubereugeo
kalenberg,칼렌베르크,kalrenbereukeu
marlon,말론,malron
schüttler,쉬틀러,switeulreo
theophil,테오필,teopil
großgebauer,그로스게바워,geuroseugebaweo
bohm,봄,bom
jördis,외르디스,oereudiseu
triebel,트리벨,teuribel
liebreich,리브라이히,ribeuraihi
finzi,핀치,pinci
gloss,글로스,geulroseu
asamoah,아자모아,ajamoa
melika,메리카,merika
foroutan,포로탠,porotaen
jaffe,야페,yape
frevert,프레베르트,peurebereuteu
fritzi,프리치,peurici
haberlandt,하베를란트,habereulranteu
boysen,보이젠,boijen
lafontaine,라퐁텐,rapongten
gigerenzer,기거렌처,gigeorenceo
manuel,마누엘,manuel
aykut,아이쿠트,aikuteu
kayacık,카야즈크,kayajeukeu
bremen,브레멘,beuremen
jim,짐,jim
boeven,뵈벤,boeben
florentine,플로렌틴,peulrorentin
lahme,라메,rame
hasselmann,하셀만,haselman
uta,우타,uta
briesewitz,브리제비츠,beurijebiceu
stokowski,슈토코프스키,syutokopeuseuki
westermann,베스터만,beseuteoman
henrik,헨릭,henrig
stahlberg,스탈베르그,seutalbereugeu
claudio,클라우디오,keulraudio
pizarro,피사로,pisaro
warmuth,바르무트,bareumuteu
christopher,크리스토퍼,keuriseutopeo
manzel,만첼,mancel
selge,젤게,jelge
schipper,시퍼,sipeo
alina,알리나,alrina
levshin,렙신,rebsin
hatzius,하치우스,haciuseu
hummer,후머,humeo
maas,마스,maseu
pauck,포크,pokeu
gradmann,그라트만,geurateuman
daisy,데이지,deiji
earles,얼스,eolseu
hertha,헤르타,hereuta
thiele,틸레,tilre
gastdorf,가스트도프,gaseuteudopeu
thun,툰,tun
maxim,맥심,maegsim
tonkel,통켈,tongkel
weisser,바이서,baiseo
dold,돌트,dolteu
birgit,비르기트,bireugiteu
picard,피카르트,pikareuteu
wallmann,발만,balman
rotraut,로트라우트,roteurauteu
susanne,주자네,jujane
berner,베르너,bereuneo
kevin,케빈,kebin
kodjoe,코조,kojo
kehl,켈,kel
mats,마츠,maceu
hummels,후멜스,humelseu
weinhold,바인홀트,bainholteu
kempter,켐프터,kempeuteo
leonie,레오니,reoni
benesch,베네슈,benesyu
lieffen,리펜,ripen
pietro,피에트로,pieteuro
lombardi,롬바르디,rombareudi
fichtel,피히텔,pihitel
tarnat,타르나트,tareunateu
krößner,크뢰스너,keuroeseuneo
papen,파펜,papen
danuser,다누저,danujeo
schuricht,슈리히트,syurihiteu
salomon,잘로몬,jalromon
bochner,보흐너,boheuneo
schlemmer,슐레머,syulremeo
fred,프레드,peuredeu
uhlman,울만,ulman
marko,마르코,mareuko
marin,마린,marin
fulde,풀데,pulde
lilie,릴리에,rilrie
nike,니케,nike
fuhrmann,푸르만,pureuman
hennes,헤네스,heneseu
weisweiler,바이스바일러,baiseubailreo
jérôme,제롬,jerom
boateng,보아텡,boateng
rensing,렌징,renjing
kevinprince,케빈프린스,kebinpeurinseu
petri,페트리,peteuri
kracht,크라흐트,keuraheuteu
hjalmar,얄마르,yalmareu
schacht,샤흐트,syaheuteu
wickert,비케르트,bikereuteu
stef,스테프,seutepeu
wertheimer,베르트하이머,bereuteuhaimeo
badstuber,바트슈투버,bateusyutubeo
michelsen,미헬센,mihelsen
kunkel,쿵켈,kungkel
jupp,유프,yupeu
heynckes,하인케스,hainkeseu
schmelzer,슈멜처,syumelceo
konstantin,콘스탄틴,konseutantin
neurath,노이라트,noirateu
aylin,아일린,ailrin
tezel,테젤,tejel
nolde,놀데,nolde
bierhoff,비어호프,bieohopeu
aachen,아헨,ahen
reus,로이스,roiseu
rummenigge,루메니게,rumenige
benedikt,베네딕트,benedigteu
höwedes,회베데스,hoebedeseu
kurányi,쿠라니,kurani
marcell,마르셀,mareusel
gutmann,구트만,guteuman
matt,맷,maes
lucas,루카스,rukaseu
neuville,뇌빌,noebil
metzelder,메첼더,meceldeo
sekles,세클레스,sekeulreseu
dix,딕스,digseu
leitner,라이트너,raiteuneo
jack,잭,jaeg
steinberger,스타인버거,seutainbeogeo
leó,실라르드,silrareudeu
szilárd,레오,reo
cristina,크리스티나,keuriseutina
do,두,du
rego,헤고,hego
dieterich,디트리히,diteurihi
buxtehude,북스테후데,bugseutehude
magath,마가트,magateu
krusche,크루셰,keurusye
arp,아르프,areupeu
niemöller,니묄러,nimoelreo
beuys,보이스,boiseu
nena,네나,nena
de,드,deu
velde,벨데,belde
piotr,피오트르,pioteureu
trochowski,트로호프스키,teurohopeuseuki
manger,망거,manggeo
lewon,레본,rebon
aronjan,아로니안,aronian
schönberg,쇤베르크,soenbereukeu
aribert,아리베르트,aribereuteu
heim,하임,haim
klopstock,클로프슈토크,keulropeusyutokeu
weidenfeller,바이덴펠러,baidenpelreo
bucer,부처,buceo
krabbe,크라베,keurabe
möller,묄러,moelreo
marita,마리타,marita
stockhausen,슈토크하우젠,syutokeuhaujen
grünewald,그뤼네발트,geurwinebalteu
aogo,아오고,aogo
amalia,아말리아,amalria
österreich,외스터라이히,oeseuteoraihi
radschinsky,라친스키,racinseuki
nerlinger,네를링거,nereulringgeo
libeskind,리버스킨드,ribeoseukindeu
rica,리카,rika
reinisch,라이니슈,rainisyu
krauss,크라우스,keurauseu
wellinger,벨링거,belringgeo
sead,세아드,seadeu
kolašinac,콜라시나츠,kolrasinaceu
caligiuri,칼리주리,kalrijuri
flum,플룸,peulrum
höger,회거,hoegeo
till,틸,til
lindemann,린데만,rindeman
köpke,쾨프케,koepeuke
tirpitz,티르피츠,tireupiceu
meine,마이네,maine
adler,아들러,adeulreo
helene,헬레네,helrene
kruse,크루제,keuruje
ginter,긴터,ginteo
ludingrothenburger,루딩,ruding
klemperer,클렘퍼러,keulrempeoreo
diego,디에고,diego
contento,콘텐토,kontento
streich,슈트라이히,syuteuraihi
compper,콤퍼,kompeo
ronrobert,론로베르트,ronrobereuteu
zieler,칠러,cilreo
bill,빌,bil
kaulitz,카울리츠,kaulriceu
pollack,폴라크,polrakeu
brüning,브뤼닝,beurwining
sigrun,지그룬,jigeurun
wodars,보다르스,bodareuseu
klier,샬러,syalreo
damrau,담라우,damrau
lell,렐,rel
herberger,헤르베르거,hereubereugeo
mai,마이,mai
frankmichael,프랑크미하엘,peurangkeumihael
wahl,발,bal
fandel,판델,pandel
williams,윌리엄스,wilrieomseu
unnerstall,운너스탈,unneoseutal
rathenau,라테나우,ratenau
hamann,하만,haman
häßler,헤슬러,heseulreo
eilts,아일츠,ailceu
annelie,안넬리,annelri
ehrhardt,에르하르트,ereuhareuteu
gabriele,가브리엘레,gabeurielre
reinsch,라인쉬,rainswi
volland,폴란트,polranteu
wiradech,위라뎃,wirades
kothny,콧니,kosni
kroos,크로스,keuroseu
grings,그링스,geuringseu
terence,테런스,tereonseu
hill,힐,hil
margitta,마르기타,mareugita
gummel,구멜,gumel
kahn,칸,kan
luther,루터,ruteo
huth,후트,huteu
pina,피나,pina
bausch,바우슈,bausyu
haggui,하귀,hagwi
walcha,발햐,balhya
podolski,포돌스키,podolseuki
schuhmann,슈만,syuman
jon,존,jon
merk,메르크,mereukeu
halil,할릴,halril
altıntop,알튼토프,alteuntopeu
und,운트,unteu
halbach,할바흐,halbaheu
ziege,치게,cige
gossow,고소우,gosou
haddaway,해더웨이,haedeowei
previn,프레빈,peurebin
boenisch,뵈니슈,boenisyu
evelin,에벨린,ebelrin
jahl,쉴나크,swilnakeu
hüfner,휘프너,hwipeuneo
geweniger,게베니거,gebenigeo
sommer,조머,jomeo
renk,렝크,rengkeu
ines,이네스,ineseu
diers,디어스,dieoseu
liebermann,리버만,ribeoman
schaaf,샤프,syapeu
stamitz,슈타미츠,syutamiceu
zvjezdan,즈베즈단,jeubejeudan
misimović,미시모비치,misimobici
cierpinski,치르핀스키,cireupinseuki
brehme,브레메,beureme
großkreutz,그로스크로이츠,geuroseukeuroiceu
jenny,예니,yeni
nowotny,노보트니,noboteuni
caren,카렌,karen
metschuck,메추크,mecukeu
lina,리나,rina
radke,라트케,rateuke
aileen,아일린,ailrin
frisch,프리슈,peurisyu
helmes,헬메스,helmeseu
nils,닐스,nilseu
apitzschfriedrich,프리드리히,peurideurihi
lieberam,리베람,riberam
akaki,아카키,akaki
gogia,고기아,gogia
stirling,스털링,seuteolring
falck,팔크,palkeu
wachtel,바히텔,bahitel
schober,쇼버,syobeo
rost,로스트,roseuteu
kinkel,킹켈,kingkel
kempff,켐프,kempeu
bell,벨,bel
jeffrey,제프리,jepeuri
schlupp,슐루프,syulrupeu
doll,돌,dol
basler,바슬러,baseulreo
amadeus,아마데우스,amadeuseu
augenthaler,아우겐탈러,augentalreo
riedle,리들레,rideulre
biermann,비어만,bieoman
anett,아네트,aneteu
pötzschrauschenbach,푀치,poeci
deisler,다이슬러,daiseulreo
eilenberg,아일렌베르크,ailrenbereukeu
thon,톤,ton
hrubesch,흐루베슈,heurubesyu
morlock,모를로크,moreulrokeu
garrett,가렛,gares
aaron,아론,aron
hunt,훈트,hunteu
muhamed,무하메드,muhamedeu
bešić,베시치,besici
wessig,베시크,besikeu
ashkan,아슈칸,asyukan
dejagah,데자가,dejaga
marcandré,마르크안드레,mareukeuandeure
ter,테어,teeo
stegen,슈테겐,syutegen
voormann,부어만,bueoman
kaltz,칼츠,kalceu
flacius,플라키우스,peulrakiuseu
dombrowski,돔브로프스키,dombeuropeuseuki
baumjohann,바움요한,baumyohan
popp,포프,popeu
rolfes,롤페스,rolpeseu
carlos,카를로스,kareulroseu
kleiber,클라이버,keulraibeo
hansen,한센,hansen
clemens,클레멘스,keulremenseu
hase,하제,haje
ludowika,루도비카,rudobika
jakobsson,야콥손,yakobson
hochschild,호흐실트,hoheusilteu
hütter,휘터,hwiteo
osiander,오시안더,osiandeo
melanie,멜라니,melrani
behringer,베링거,beringgeo
schneideresleben,슈나이더,syunaideo
sigmar,지그마어,jigeumaeo
josé,호세,hose
holebas,홀레바스,holrebaseu
bianca,비앙카,biangka
sforza,스포르차,seuporeuca
hanka,항카,hangka
kupfernagel,쿠퍼나겔,kupeonagel
sophie,소피,sopi
kirchherr,커처,keoceo
bode,보데,bode
kuntz,쿤츠,kunceu
hübler,휘블러,hwibeulreo
errath,에라트,erateu
bärbel,베르벨,bereubel
wöckel,뵈켈,boekel
muellerstahl,뮐러슈탈,mwilreosyutal
rauschenberg,라우션버그,rausyeonbeogeu
terodde,테로데,terode
seyfert,자이페르트,jaipereuteu
groetzki,그뢰츠키,geuroeceuki
christina,크리스티나,keuriseutina
lathan,브레머,beuremeo
linke,링케,ringke
josepha,요제파,yojepa
silvius,실비우스,silbiuseu
weiss,바이스,baiseu
graun,그라운,geuraun
pfaff,파프,papeu
reinartz,라이나르츠,rainareuceu
cenk,젱크,jengkeu
tosun,토순,tosun
trautmann,트라우트만,teurauteuman
raimond,라이몬트,raimonteu
aumann,아우만,auman
weißflog,바이스플로크,baiseupeulrokeu
schult,슐트,syulteu
wendelin,벤델린,bendelrin
beckmann,베크만,bekeuman
harnack,하르나크,hareunakeu
reichert,라이헤르트,raihereuteu
hanspeter,한스페터,hanseupeteo
briegel,브리겔,beurigel
cullmann,쿨만,kulman
wimmer,비머,bimeo
haßler,하슬러,haseulreo
tina,티나,tina
theune,토이네,toine
burglinde,부르글린데,bureugeulrinde
pollak,폴락,polrag
grün,그륀,geurwin
turek,투레크,turekeu
tabea,타베아,tabea
sergiu,세르주,sereuju
celibidache,첼리비다케,celribidake
kornelia,코르넬리아,koreunelria
ender,엔더,endeo
landers,란더스,randeoseu
spittka,슈피트카,syupiteuka
niclas,니클라스,nikeulraseu
füllkrug,퓔크루크,pwilkeurukeu
célia,첼리아,celria
šašić,샤시치,syasici
balitsch,발리치,balrici
arnd,아른트,areunteu
peiffer,파이퍼,paipeo
dany,대니,daeni
heatley,히틀리,hiteulri
schoolboy,스쿨보이,seukulboi
q,큐,kyu
pippig,피피히,pipihi
denis,데니스,deniseu
allofs,알로프스,alropeuseu
pander,판더,pandeo
wörns,뵈른스,boereunseu
jacobsen,야콥센,yakobsen
angerer,앙거러,anggeoreo
vostell,포스텔,poseutel
straßburg,슈트라스부르크,syuteuraseubureukeu
owomoyela,오보모옐라,obomoyelra
jeremies,예레미스,yeremiseu
schulze,슐체,syulce
reuter,로이터,roiteo
thümer,튀머,twimeo
schwaab,슈바브,syubabeu
scheidt,샤이트,syaiteu
addo,아도,ado
prib,프립,peurib
mattheson,마테존,matejon
hofmann,호프만,hopeuman
jancker,양커,yangkeo
reichenbach,라이헨바흐,raihenbaheu
anselm,안젤름,anjelreum
kiefer,키퍼,kipeo
stecher,슈테허,syuteheo
vahid,바히드,bahideu
hashemian,하셰미안,hasyemian
heinich,하이니히,hainihi
brötzmann,브뢰츠만,beuroeceuman
kargus,카르구스,kareuguseu
hanne,한네,hanne
darboven,다보벤,daboben
reiniger,라이니거,rainigeo
fährmann,페어만,peeoman
almuth,알무트,almuteu
ömer,외메르,oemereu
toprak,토프라크,topeurakeu
henkel,헹켈,hengkel
gröning,그뢰닝,geuroening
eiben,아이벤,aiben
loris,로리스,roriseu
karius,카리우스,kariuseu
harth,하르트,hareuteu
rösel,뢰젤,roejel
eisenmenger,아이젠멩거,aijenmenggeo
jermaine,저메인,jeomein
jones,존스,jonseu
silvia,질비아,jilbia
neid,나이트,naiteu
erna,에르나,ereuna
danneberg,다네베르크,danebereukeu
józef,유제프,yujepeu
szmidt,슈미트,syumiteu
sigfrid,지크프리트,jikeupeuriteu
kargelert,카르크엘레르트,kareukeuelrereuteu
lawrence,로런스,roreonseu
siegrun,지그룬,jigeurun
siegl,지글,jigeul
ferydoon,페리둔,peridun
zandi,잔디,jandi
yvonne,이본,ibon
catterfeld,카터펠드,kateopeldeu
tiller,틸러,tilreo
libuda,리부다,ribuda
lennart,레나르트,renareuteu
thy,티,ti
lattek,라테크,ratekeu
sascha,사샤,sasya
riether,리터,riteo
ochsenknecht,옥센크네히트,ogsenkeunehiteu
konopka,코노프카,konopeuka
dzsenifer,제니페르,jenipereu
marozsán,머로잔,meorojan
riva,리바,riba
dauthendey,다우텐다이,dautendai
da,다,da
kathleen,카틀렌,kateulren
nord,노르트,noreuteu
stellmach,슈텔마흐,syutelmaheu
mende,멘데,mende
zinke,칭케,cingke
zlatan,즐라탄,jeulratan
alomerović,알로메로비치,alromerobici
leno,레노,reno
eric,에리크,erikeu
choupomoting,슈포모팅,syupomoting
bönisch,뵈니슈,boenisyu
j,제이,jei
cole,콜,kol
kohler,콜러,kolreo
gentleman,젠틀맨,jenteulmaen
amalie,아말리,amalri
sebald,제발트,jebalteu
andre,안드레,andeure
eckardt,에카르트,ekareuteu
friedel,프리델,peuridel
strack,슈트라크,syuteurakeu
bella,벨라,belra
oleg,올레크,olrekeu
kutscherenko,쿠체렌코,kucerenko
ludolph,뤼돌프,rwidolpeu
ceulen,쾰런,koelreon
lewis,레비스,rebiseu
holtby,홀트비,holteubi
fux,푹스,pugseu
spener,슈페너,syupeneo
flatow,플라토브,peulratobeu
arnheim,아른하임,areunhaim
alois,알로이스,alroiseu
flohe,플로헤,peulrohe
zickler,치클러,cikeulreo
natascha,나타샤,natasya
behm,벰,bem
kubsch,쿠브슈,kubeusyu
tschichold,치홀트,ciholteu
rocker,로커,rokeo
stielike,슈틸리케,syutilrike
nordwig,노르트비히,noreuteubihi
alsted,알스테드,alseutedeu
starke,슈타르케,syutareuke
lindenberg,린덴베르크,rindenbereukeu
egk,에크,ekeu
mehdi,메흐디,meheudi
mahdavikia,마다비키아,madabikia
bellmer,벨머,belmeo
biesinger,비징거,bijinggeo
edelhagen,에델하겐,edelhagen
maylin,마일린,mailrin
wende,벤데,bende
blacher,블라허,beulraheo
schüfftan,쉬프탄,swipeutan
lorant,로란트,roranteu
thom,톰,tom
bargfrede,바르크프레데,bareukeupeurede
rüssmann,뤼스만,rwiseuman
musäus,무세우스,museuseu
draxler,드락슬러,deuragseulreo
schlaudraff,슐라우드라프,syulraudeurapeu
matuschyk,마투슈치크,matusyucikeu
blixa,블릭사,beulrigsa
bargeld,바르겔트,bareugelteu
everdingen,에베르딩겐,ebereudinggen
ronald,로날트,ronalteu
maul,마울,maul
wecker,베커,bekeo
andrei,안드레이,andeurei
