éverton,艾华顿
quixeramobim,基谢拉莫宾
caxias,卡希亚斯
fronteira,弗龙泰拉
alecrim,阿莱克里姆
paulínia,保利尼亚
canela,卡内拉
flamengo,弗拉门戈
crissiumal,克里西乌马尔
caarapó,卡拉波
lajinha,拉日尼亚
bacurituba,巴库里图巴
aiuaba,艾瓦巴
erechim,埃雷欣
paraguaçu,帕拉瓜苏
coari,夸里
caraúbas,卡劳巴什
conde,孔迪
gouvelândia,戈韦兰迪亚
formosa,福莫萨
mossâmedes,莫萨梅迪斯
mozarlândia,莫扎兰迪亚
joviânia,若维亚尼亚
tabapuã,塔巴普昂
cristianópolis,克里斯蒂亚诺波利斯
marialva,马里亚尔瓦
theobroma,西奥布罗马
sobradinho,索布拉迪纽
ipuaçu,伊普阿苏
witmarsum,维特马尔孙
ouvidor,欧维杜尔
ipatinga,伊帕廷加
pernambuco,伯南布哥州
carolina,卡罗来纳
dourados,多拉杜斯
timbiras,廷比拉斯
salinópolis,萨利诺波利斯
estância,埃斯坦西亚
xavantina,沙万蒂纳
remígio,雷米吉乌
bahia,巴伊亚州
manaus,马瑙斯
mirassol,米拉索尔
paranaiguara,帕拉奈瓜拉
goiandira,戈扬迪拉
urutaí,乌鲁塔伊
itapetinga,伊塔佩廷加
ipuiuna,伊普尤纳
sanclerlândia,桑克莱兰迪亚
chuvisca,舒维斯卡
cruzeiro,克鲁赛罗
tiradentes,蒂拉登特斯
eldorado,埃尔多拉多
goiás,戈亚斯州
mauá,毛阿
palmitinho,帕尔米蒂纽
canudos,卡努杜斯
jaguaribe,雅瓜里贝
saquarema,萨夸雷马
cidelândia,锡德兰迪亚
peixe,佩希
palmeiras,帕尔梅拉斯
guaraciama,瓜拉西亚马
brodowski,布罗多夫斯基
tambaú,坦巴乌
batatais,巴塔泰斯
crisólita,克里索利塔
casinhas,卡西尼亚斯
tanabi,塔纳比
igarapémiri,伊加拉佩米里
ataléia,阿塔莱亚
juruá,茹鲁阿
canindé,卡宁德
davinópolis,达维诺波利斯
pomerode,波梅罗迪
brusque,布鲁斯基
guarapuava,瓜拉普阿瓦
acre,阿克里州
itaubal,伊塔乌巴尔
colinas,科利纳斯
ingá,因加
alvinópolis,阿尔维诺波利斯
guapirama,瓜皮拉马
itajá,伊塔雅
caturaí,卡图拉伊
uirapuru,维拉普鲁
alagoas,阿拉戈斯州
morros,莫鲁斯
fernão,费尔南
itaquaquecetuba,伊塔夸克塞图巴
piracicaba,皮拉西卡巴
lobato,洛巴托
duartina,杜阿尔蒂纳
diadema,迪亚德马
ivaiporã,伊瓦伊波朗
abadiânia,阿巴迪亚尼亚
altair,阿尔泰
ubá,乌巴
planaltina,普拉纳蒂纳
humaitá,乌迈塔
pesqueira,佩斯凯拉
serrinha,塞里尼亚
diorama,迪奥拉马
crato,克拉图
panamá,帕纳马
juruti,茹鲁蒂
caetés,卡埃特斯
rolândia,罗兰迪亚
valença,瓦伦萨
maranhão,马拉尼昂州
piauí,皮奥伊州
roraima,罗赖马州
paranaíba,帕拉纳伊巴
itaju,伊塔茹
materlândia,马特兰迪亚
igrejinha,伊格雷日尼亚
divinópolis,迪维诺波利斯
colombo,哥伦布
parintins,帕林廷斯
mamanguape,马曼瓜皮
navegantes,纳韦甘蒂斯
jussara,茹萨拉
cristalina,克里斯塔利娜
xapuri,沙普里
inhacorá,伊尼亚科拉
jacareí,雅卡雷伊
curimatá,库里马塔
panambi,帕南比
pejuçara,佩茹萨拉
acreúna,阿克莱乌纳
bozano,博萨诺
itaituba,伊泰图巴
corumbiara,科伦比亚拉
serra,塞拉
jussari,茹萨里
borborema,博博雷马
piranhas,皮拉尼亚斯
morrinhos,莫里纽斯
vespasiano,韦斯帕夏诺
lajeado,拉热阿杜
paraty,帕拉蒂
mucurici,穆库里西
mafra,马夫拉
corupá,科鲁帕
piraí,皮拉伊
timon,蒂蒙
soure,索雷
mesquita,梅斯基塔
jaraguá,雅拉瓜
rondônia,朗多尼亚州
cumbe,昆贝
castelândia,卡斯特兰迪亚
emilianópolis,埃米利亚诺波利斯
atalaia,阿塔拉亚
elisiário,埃利夏里奥
inaciolândia,伊纳西奥兰迪亚
arez,阿雷斯
ipiguá,伊皮瓜
arataca,阿拉塔卡
avaí,阿瓦伊
ilhéus,伊列乌斯
embaúba,恩巴乌巴
óleo,奥莱奥
sirinhaém,锡里尼亚恩
beijamão,吻手礼
timbaúba,廷巴乌巴
ipaussu,伊保苏
pindorama,平多拉马
caçu,卡苏
fernandópolis,费尔南多波利斯
rubineia,鲁比内亚
ipeúna,伊佩乌纳
itatinga,伊塔廷加
mercês,梅尔塞斯
poá,波阿
paulistânia,保利斯坦尼亚
guzolândia,古佐兰迪亚
piratininga,皮拉蒂宁加
ibitinga,伊比廷加
lutécia,卢特西亚
nhandeara,年德阿拉
olindina,奥林迪纳
zortéa,佐特阿
araçagi,阿拉萨吉
irará,伊拉拉
roseira,罗塞拉
tucuruí,图库鲁伊
juarina,茹阿里纳
serrana,塞拉纳
guaraqueçaba,瓜拉克萨巴
ibituruna,伊比图鲁纳
santarém,圣塔伦
brejo,布雷茹
caatiba,卡蒂巴
nuporanga,努波兰加
pradópolis,普拉多波利斯
lucianópolis,卢西亚诺波利斯
matão,马唐
marinópolis,马里诺波利斯
arabutã,阿拉布塔
medianeira,梅迪亚内拉
jaguarari,雅瓜拉里
lavínia,拉维尼亚
japonvar,雅蓬瓦尔
correntina,科伦蒂纳
itaí,伊塔伊
bilac,比拉克
potirendaba,波蒂伦达巴
iacanga,亚坎加
iaras,亚拉斯
itobi,伊托比
orindiúva,奥林迪乌瓦
brotas,布罗塔斯
jupiá,茹皮亚
itainópolis,伊泰诺波利斯
anori,阿诺里
chuí,舒伊
aramina,阿拉米纳
amparo,安帕罗
tamboara,坦博阿拉
mirador,米拉多尔
iguatu,伊瓜图
mairiporã,迈里波朗
itaú,伊塔乌
jaguaré,雅瓜雷
uberaba,乌贝拉巴
jussiape,茹西亚皮
paragominas,帕拉戈米纳斯
manhuaçu,马纽阿苏
colatina,科拉蒂纳
cromínia,克罗米尼亚
cajapió,卡雅皮奥
itinga,伊廷加
coxilha,科希利亚
cotia,科蒂亚
pardinho,帕尔迪纽
centenário,森特纳里乌
pitangueiras,皮坦盖拉斯
braganey,布拉加内
adolfo,阿多尔福
cabixi,卡比希
indiaporã,因迪亚波拉
jales,雅利斯
nipoã,尼波昂
canitar,卡尼塔尔
apuí,阿普伊
altinópolis,阿尔蒂诺波利斯
potengi,波滕日
guapiaçu,瓜皮亚苏
ituverava,伊图韦拉瓦
itapura,伊塔普拉
montividiu,蒙蒂维迪乌
pinhão,皮尼扬
paulicéia,保利塞亚
ouroeste,欧鲁埃斯特
glicério,格利塞里乌
guarantã,瓜兰唐
iguaraçu,伊瓜拉苏
toropi,托罗皮
paudalho,保达柳
alhandra,阿兰德拉
lábrea,拉布里亚
mandaguaçu,曼达瓜苏
canarana,卡纳拉纳
iporá,伊波拉
itamarati,伊塔马拉蒂
veranópolis,韦拉诺波利斯
alagoinha,阿拉戈伊尼亚
jaboticabal,雅博蒂卡巴尔
jumirim,茹米林
macaubal,马考巴尔
pinhalzinho,皮尼亚尔齐纽
getulina,热图利纳
afuá,阿富阿
gilbués,日尔布埃斯
curaçá,库拉萨
mirangaba,米兰加巴
xexéu,谢谢乌
sananduva,萨南杜瓦
japoatã,雅波阿唐
miraselva,米拉塞尔瓦
nonoai,诺诺阿伊
tarumã,塔鲁芒
arapongas,阿拉蓬加斯
oriente,奥连蒂
agrolândia,阿格罗朗迪亚
agudo,阿古杜
guararema,瓜拉雷马
jangada,然加达
alagoa,阿拉戈阿
vicentinópolis,维森蒂诺波利斯
garça,加尔萨
bandeirante,班代兰蒂
nantes,楠蒂斯
matinha,马蒂尼亚
lourdes,卢德
aimorés,艾莫雷斯
macatuba,马卡图巴
itapetininga,伊塔佩蒂宁加
votorantim,沃托兰廷
vacaria,瓦卡里亚
acãs,阿坎族
ajuricaba,阿茹里卡巴
triunfo,特里温福
anhembi,阿年比
jaguarão,亚瓜龙
sumaré,苏马雷
ourolândia,欧罗兰迪亚
itamaraju,伊塔马拉茹
cedral,塞德拉尔
uchoa,乌绍阿
sangão,桑冈
ilhabela,伊利亚贝拉
pratânia,普拉塔尼亚
tapiratiba,塔皮拉蒂巴
camaçari,卡马萨里
itaperuna,伊塔佩鲁纳
iguatemi,伊瓜特米
promissão,普罗米桑
paraíso,帕拉伊索
altamira,阿尔塔米拉
leme,莱米
passabém,帕萨本
brejinho,布雷日尼奥
chiador,希亚尔
itaquara,伊塔夸拉
jacaraci,雅卡拉西
palmópolis,帕尔莫波利斯
itambé,伊坦贝
marmelópolis,马尔梅洛波利斯
riachão,里亚尚
itapiúna,伊塔皮乌纳
jutaí,茹塔伊
ladainha,拉代尼亚
sarandi,萨兰迪
aguanil,阿瓜尼尔
riqueza,里克扎
baependi,巴埃彭迪
paraopeba,帕劳佩巴
rondinha,龙迪尼亚
palotina,帕洛蒂纳
embuguaçu,恩布瓜苏
arapeí,阿拉佩伊
vilhena,维列纳
mutum,穆通
caapiranga,卡皮兰加
filadélfia,菲拉德尔菲亚
meridiano,梅里迪亚努
ipueiras,伊普埃拉斯
amontada,阿蒙塔达
jaquirana,雅基拉纳
curvelo,库尔韦卢
acaiaca,阿卡亚卡
cataguases,卡塔瓜西斯
aiuruoca,阿尤鲁奥卡
pindoretama,平多雷塔马
perdigão,佩尔迪冈
jaboticatubas,雅博蒂卡图巴斯
araçuaí,阿拉苏阿伊
botumirim,博图米里姆
harmonia,哈莫尼亚
tapera,塔佩拉
cidreira,西德雷拉
bofete,博费特
perdizes,佩尔迪济斯
turuçu,图鲁苏
brazópolis,布拉索波利斯
araponga,阿拉蓬加
candiota,坎迪奥塔
arvorezinha,阿沃雷济尼亚
espumoso,埃斯普莫苏
amorinópolis,阿莫里诺波利斯
alvorada,阿尔沃拉达
amambai,阿曼拜
normandia,诺曼迪亚
guaraçaí,瓜拉萨伊
feliz,费利斯
ubarana,乌巴拉纳
caieiras,凯埃拉斯
ourizona,欧里佐纳
pedranópolis,佩德拉诺波利斯
gravataí,格拉瓦塔伊
gramado,格拉马杜
mossoró,莫索罗
itabuna,伊塔布纳
barueri,巴鲁埃里
olivença,奥利文萨
caseiros,卡塞罗斯
piratuba,皮拉图巴
tijucas,蒂茹卡斯
quintana,金塔纳
aruanã,阿鲁阿南
hortolândia,奥托兰迪亚
anapu,阿纳普
ananindeua,阿纳宁德瓦
andaraí,安达拉伊
agudos,阿古杜斯
mirassolândia,米拉索兰迪亚
acrelândia,阿克里兰迪亚
ubaí,乌巴伊
macaé,马卡埃
maratá,马拉塔
maçambará,马桑巴拉
arneiroz,阿内罗斯
ipanema,伊帕内马
americana,亚美利加纳
luminárias,卢米纳里亚斯
capela,卡佩拉
colorado,科罗拉多
cacaulândia,卡考兰迪亚
mampituba,曼皮图巴
arcoíris,阿尔科伊里斯
brochier,布罗谢尔
ângulo,安古洛
comodoro,科莫多鲁
jaicós,雅伊科斯
campinápolis,坎皮纳波利斯
bálsamo,巴尔萨莫
capivari,卡皮瓦里
pirassununga,皮拉苏农加
alvinlândia,阿尔文兰迪亚
dobrada,多布拉达
cajobi,卡若比
areiópolis,阿雷奥波利斯
angatuba,安加图巴
cedro,塞德鲁
pongaí,蓬加伊
ibiraiaras,伊比莱亚拉斯
envira,恩维拉
dolcinópolis,多尔西诺波利斯
itaqui,伊塔基
buritama,布里塔马
andrelândia,安德烈兰迪亚
paranaguá,巴拉那瓜
corcovado,驼背山
corumbataí,科伦巴塔伊
cordeirópolis,科代罗波利斯
mataraca,马塔拉卡
laranjeiras,拉兰热拉斯
pancas,潘卡斯
alexânia,亚历山尼亚
panorama,帕诺拉马
suzanápolis,苏扎纳波利斯
ariranha,阿里拉尼亚
itacoatiara,伊塔夸蒂亚拉
seringueiras,塞林盖拉斯
itapevi,伊塔佩维
gandu,甘杜
franca,弗朗卡
imperatriz,因佩拉特里斯
maracanãzinho,马拉卡纳齐诺体育馆
cananéia,卡纳内亚
charqueadas,沙尔克阿达斯
unistalda,乌尼斯塔尔达
luziânia,卢齐阿尼亚
arujá,阿鲁雅
caicó,凯科
capitólio,卡皮托利乌
lusofonia,葡萄牙语圈
gentil,任蒂尔
cachoeirinha,卡舒埃里尼亚
alpestre,阿尔佩斯特里
diamantino,迪亚曼蒂努
itapecerica,伊塔佩塞里卡
pontalina,蓬塔利纳
irani,伊拉尼
itaetê,伊塔埃特
viamão,维亚芒
canelinha,卡内利尼亚
reginópolis,雷吉诺波利斯
arandu,阿兰杜
mostardas,莫斯塔达斯
analândia,安娜兰迪亚
cosmópolis,科斯莫波利斯
biguaçu,比瓜苏
chalé,沙莱
cansanção,坎桑桑
cambira,坎比拉
querência,克伦西亚
cocal,科卡尔
palestina,帕莱斯蒂纳
cajari,卡雅里
acorizal,阿科里扎尔
imaruí,伊马鲁伊
itapema,伊塔佩马
ibirité,伊比里特
careiro,卡雷鲁
brumadinho,布鲁马迪纽
xaxim,沙辛
ibirá,伊比拉
torrinha,托里尼亚
ressaquinha,雷萨基尼亚
cambuquira,坎布基拉
braúna,布拉乌纳
orizona,奥利佐纳
guararapes,瓜拉拉佩斯
muqui,穆基
jaguaquara,雅瓜夸拉
iracemápolis,伊拉塞马波利斯
juvenília,茹韦尼利亚
itaguaí,伊塔瓜伊
floraí,费洛拉伊
jaíba,雅伊巴
icapuí,伊卡普伊
pilar,皮拉尔
itupeva,伊图佩瓦
itapororoca,伊塔波罗罗卡
carneirinho,卡内里尼奥
jequitaí,热基塔伊
mercedes,梅赛德斯
mascote,马斯科蒂
esteio,埃斯特尤
guaíba,瓜伊巴
itu,伊图
araguanã,阿拉瓜南
caiabu,凯亚布
alambari,阿兰巴里
hispanofonia,西班牙语圈
jordânia,若尔达尼亚
uarini,瓦里尼
tiros,蒂鲁斯
garruchos,加鲁绍斯
calçoene,卡尔索埃内
aracati,阿拉卡蒂
bujari,布亚里
cutias,库蒂亚斯
chupinguaia,舒平瓜亚
imigrante,伊米格兰蒂
timóteo,蒂莫特乌
tarumirim,塔鲁米林
suzano,苏扎诺
betim,贝廷
agronômica,阿格罗诺米卡
junqueirópolis,容凯罗波利斯
itambacuri,伊坦巴库里
camanducaia,卡曼杜卡亚
vazante,瓦赞蒂
maravilhas,马拉维利亚斯
umburatiba,温布拉蒂巴
pedrinópolis,佩德里诺波利斯
macedônia,马塞多尼亚
virmond,维尔蒙德
patrocínio,帕特罗西尼乌
tupã,图庞
andradas,安德拉达斯
marliéria,马利埃里亚
monjolos,蒙若卢斯
mallet,马莱特
carvalhos,卡瓦略斯
cairu,凯鲁
princesa,普林塞萨
mata,马塔
caibaté,凯巴特
caparaó,卡帕拉奥
quatiguá,夸蒂瓜
ipubi,伊普比
westfália,韦斯特法利亚
piraquê,皮拉克
paranhos,帕拉尼奥斯
paraisópolis,帕赖索波利斯
parisi,帕里西
ipê,伊佩
ibicaraí,伊比卡拉伊
engesa,恩格萨
palmeirante,帕尔梅兰蒂
palmelo,帕尔梅鲁
sinimbu,锡宁布
mamonas,马莫纳斯
alfenas,阿尔费纳斯
josenópolis,若塞诺波利斯
bodocó,博多科
fartura,法尔图拉
farroupilha,法罗皮利亚
epitaciolândia,埃皮塔西奥兰迪亚
caeté,卡埃特
camboriú,坎博里乌
malhada,马利亚达
orós,奥罗斯
bananeiras,巴纳内拉斯
poté,波特
catanduvas,卡坦杜瓦斯
itaipé,伊泰佩
cristália,克里斯塔利亚
itacajá,伊塔卡雅
cordeiro,科尔代鲁
gravatá,格拉瓦塔
itanagra,伊塔纳格拉
jataí,雅塔伊
ipupiara,伊普皮亚拉
birigui,比里吉
areial,阿雷亚尔
itabirito,伊塔比里图
itaberaí,伊塔贝拉伊
mari,马里
tianguá,蒂安瓜
pratinha,普拉蒂尼亚
rubim,鲁宾
veredinha,韦雷迪尼亚
paracatu,帕拉卡图
matozinhos,马托齐纽斯
piumhi,皮乌米
machacalis,马沙卡利斯
malacacheta,马拉卡谢塔
ibicoara,伊比科阿拉
borebi,博雷比
mombuca,蒙布卡
cacimbas,卡辛巴斯
anahy,阿纳伊
barracão,巴拉康
jateí,雅特伊
bandeira,班代拉
bambuí,班布伊
berilo,贝里卢
planura,普拉努拉
sabinópolis,萨比诺波利斯
piranguinho,皮兰吉纽
carrancas,卡兰卡斯
inhaúma,伊尼亚乌马
inconfidentes,因孔菲登蒂斯
ibertioga,伊贝蒂奥加
japaraíba,雅帕拉伊巴
jequeri,热克里
iguatama,伊瓜塔马
paracuru,帕拉库鲁
tietê,铁特
rincão,林康
tupandi,图潘迪
guaraci,瓜拉西
coroatá,科罗阿塔
ipira,伊皮拉
icém,伊森
aracitaba,阿拉西塔巴
taquara,塔夸拉
itapebi,伊塔佩比
bodoquena,博多克纳
montanhas,蒙塔尼亚斯
jeriquara,热里夸拉
palhoça,帕略萨
pindamonhangaba,平达莫尼扬加巴
anamã,阿纳芒
capelinha,卡佩利尼亚
angelândia,安热兰迪亚
araçaí,阿拉萨伊
ibirama,伊比拉马
caraá,卡拉阿
xangrilá,尚格里拉
palmares,帕尔马里斯
joaíma,若阿伊马
petrolândia,彼得罗兰迪亚
acopiara,阿科皮亚拉
anhanguera,阿尼扬格拉
rafard,拉法尔德
boquim,博基姆
chapadinha,沙帕迪尼亚
combinado,孔比纳杜
elsevier,爱思唯尔
chopinzinho,绍平济纽
maragogi,马拉戈日
itápolis,伊塔波利斯
barreiras,巴雷拉斯
araújos,阿拉乌茹斯
cajuri,卡茹里
caputira,卡普蒂拉
buenópolis,布埃诺波利斯
gameleiras,加梅莱拉斯
areado,阿雷阿杜
óbidos,奥比杜斯
segredo,塞格雷杜
igarapava,伊加拉帕瓦
jequitinhonha,热基蒂尼奥尼亚
itariri,伊塔里里
crisópolis,克里索波利斯
catiguá,卡蒂瓜
araras,阿拉拉斯
felixlândia,费利什兰迪亚
leópolis,莱奥波利斯
sapucaia,萨普卡亚
caroebe,卡罗埃贝
laranjal,拉然雅尔
almenara,阿尔梅纳拉
tarauacá,塔劳阿卡
massaranduba,马萨兰杜巴
ibiá,伊比亚
inimutaba,伊尼穆塔尼
arantina,阿兰蒂纳
carvalhópolis,卡瓦略波利斯
cruzília,克鲁齐利亚
botelhos,博特略斯
aiquara,艾夸拉
tacacá,酸麻虾汤
pirapora,皮拉波拉
ituiutaba,伊图尤塔巴
novais,诺瓦伊斯
borá,博拉
catolândia,卡托兰迪亚
claraval,克拉拉瓦尔
rodeiro,罗代鲁
irapuru,伊拉普鲁
baldim,巴尔丁
bocaiuva,博凯乌瓦
catuti,卡图蒂
divisópolis,迪维索波利斯
mutuípe,穆图伊皮
tefé,特费
solonópole,索洛诺波利
mongaguá,蒙加瓜
vinhedo,维涅杜
manacapuru,马纳卡普鲁
durandé,杜兰德
glaucilândia,格劳西兰迪亚
alterosa,阿尔特罗萨
funilândia,富尼兰迪亚
itapuca,伊塔普卡
mormaço,莫尔马苏
ilópolis,伊洛波利斯
herval,埃尔瓦尔
araporã,阿拉波朗
catuji,卡图日
ervália,埃瓦利亚
alpinópolis,阿尔皮诺波利斯
franciscópolis,弗朗西斯科波利斯
jequitibá,热基蒂巴
montauri,蒙陶里
paraí,帕莱
machadinho,马沙蒂纽
caraí,卡拉伊
beruri,贝鲁里
prudentópolis,普鲁登托波利斯
valinhos,瓦利尼乌斯
riozinho,里奥齐纽
charqueada,沙尔克阿达
varginha,瓦尔任阿
caconde,卡孔德
osório,奥索里奥
itanhandu,伊塔年杜
araxá,阿拉沙
macau,马考
carbonita,卡博尼塔
cambuí,坎布伊
itacambira,伊塔坎比拉
bertópolis,贝尔托波利斯
guanhães,瓜尼扬伊斯
castanheira,卡斯塔涅拉
carrapateira,卡拉帕泰拉
sapiranga,萨皮兰加
rondonópolis,龙多诺波利斯
concórdia,康科迪亚
guajarámirim,瓜亚拉米林
mariana,玛丽安娜
canguçu,坎古苏
mogeiro,莫热鲁
buritizal,布里蒂扎尔
itamarandiba,伊塔马兰迪巴
tupanciretã,图潘西雷唐
jiparaná,日帕拉纳
rolante,罗兰蒂
itapitanga,伊塔皮坦加
nepomuceno,内波穆塞努
maracanaço,乌拉圭对巴西
juazeiro,茹阿泽鲁
natércia,纳特尔西亚
pitangui,皮坦吉
parobé,帕罗贝
catanduva,卡坦杜瓦
castanhal,卡斯塔尼亚尔
jari,雅里
itacurubi,伊塔库鲁比
portão,波尔唐
unibanco,巴西联合银行
itararé,伊塔拉雷
iconha,伊科尼亚
orizânia,奥里扎尼亚
irati,伊拉蒂
criciúma,克里西乌马
nilópolis,尼洛波利斯
ivoti,伊沃蒂
itaara,伊塔阿拉
lindoia,林多亚
ivorá,伊沃拉
pontão,蓬唐
maquiné,马基内
caraguatatuba,卡拉瓜塔图巴
itanhaém,伊塔尼亚恩
cotiporã,科蒂波朗
putinga,普廷加
lages,拉热斯
doresópolis,多雷索波利斯
nambiquaras,南比夸拉族
guaporé,瓜波雷
vargeão,瓦尔热昂
tocantinópolis,托坎蒂诺波利斯
setubinha,塞图比尼亚
palmitos,帕尔米图斯
jeceaba,热塞阿巴
paial,帕亚尔
apiúna,阿皮乌纳
cacequi,卡塞基
iraí,伊拉伊
romelândia,罗梅兰迪亚
divinolândia,迪维诺兰迪亚
saudades,绍达迪斯
japurá,雅普拉
entreijuís,恩特里伊茹伊斯
inhambupe,伊尼扬布皮
fundão,丰当
umuarama,乌穆阿拉马
iporanga,伊波兰加
araguaçu,阿拉瓜苏
israelândia,伊斯拉埃兰迪亚
forquilha,福基利亚
teutônia,特乌托尼亚
guará,瓜拉
tunápolis,图纳波利斯
mondaí,蒙达伊
ipumirim,伊普米林
guabiruba,瓜比鲁巴
tigrinhos,蒂格里纽斯
ascurra,阿斯库拉
arvoredo,阿尔沃雷多
cachoeira,卡舒埃拉
cipotânea,锡波塔内阿
extremoz,埃斯特雷穆斯
araçariguama,阿拉萨里瓜马
pacajá,帕卡雅
paranacity,帕拉纳西蒂
imbé,因贝
serrania,塞拉尼亚
catuípe,卡图伊佩
condeúba,孔德乌巴
wanderley,温特利
itajubá,伊塔茹巴
corumbaíba,科伦拜巴
carinhanha,卡里尼亚尼亚
goianápolis,戈亚纳波利斯
ourinhos,欧里尼奥斯
simonésia,锡莫内西亚
riversul,里韦尔苏尔
bonito,博尼塔
silvânia,锡尔瓦尼亚
pirajuí,皮拉茹伊
candói,坎多伊
itapiranga,伊塔皮兰加
sabará,萨巴拉
morungaba,莫伦加巴
jacupiranga,雅库皮兰加
peritiba,佩里蒂巴
glorinha,格洛里尼亚
itacaré,伊塔卡雷
ubatuba,乌巴图巴
pirapó,皮拉波
sandovalina,桑多瓦利纳
caravelas,卡拉韦拉斯
ituporanga,伊图波兰加
piracanjuba,皮拉坎茹巴
jaupaci,雅乌帕西
chapada,沙帕达
jaboticaba,雅博蒂卡巴
itatiaiuçu,伊塔蒂亚尤苏
ipameri,伊帕梅里
ibirapuã,伊比拉普阿
cumari,库马里
barbalha,巴巴利亚
placas,普拉卡斯
rubiácea,鲁比亚塞阿
itatiba,伊塔蒂巴
ocauçu,奥考苏
jesúpolis,热苏波利斯
resplendor,雷斯普伦杜
alegria,阿莱格里亚
timbó,廷博
moiporá,莫伊波拉
heitoraí,埃托拉伊
parnamirim,帕纳米林
guapó,瓜波
chiapetta,希亚佩塔
várzea,瓦尔泽亚
viadutos,维亚杜图斯
viseu,维塞乌
paiva,派瓦
parambu,帕兰布
caiuá,凯瓦
antonina,安东尼娜
caibi,凯比
itapoá,伊塔波阿
carazinho,卡拉济纽
paverama,帕韦拉马
albertina,阿尔贝蒂娜
inhumas,伊纽马斯
tabaí,塔巴伊
relvado,雷尔瓦杜
passasete,帕萨塞蒂
sério,塞留
tabuleiro,塔布莱鲁
cabedelo,卡贝德卢
damolândia,达莫兰迪亚
ivolândia,伊沃兰迪亚
condor,孔多尔
nãometoque,楠米托克基
iraceminha,伊拉塞米尼亚
garanhuns,加拉尼温斯
bertolínia,贝尔托利尼亚
cacique,卡西克
caracaraí,卡拉卡拉伊
barão,巴朗
joaçaba,若阿萨巴
faxinalzinho,法希纳尔齐尼奥
luzerna,卢泽纳
herveiras,埃韦拉斯
capitão,卡皮唐
araquari,阿拉夸里
castilho,卡斯蒂略
bocaina,博凯纳
herculândia,埃库兰迪亚
janduís,然杜伊斯
bariri,巴里里
caçapava,卡萨帕瓦
taió,达奥
mesópolis,梅索波利斯
jaú,雅乌
urânia,乌拉尼亚
populina,波普利纳
penápolis,佩纳波利斯
itaguari,伊塔瓜里
cáceres,卡塞雷斯
imbituba,因比图巴
caçador,卡萨多尔
mapinguari,玛平瓜里
cabaceiras,卡巴塞拉斯
saltinho,萨尔蒂纽
ipecaetá,伊佩卡埃塔
itaguaru,伊塔瓜鲁
erebango,埃雷班古
camaquã,卡马匡
quirinópolis,基里诺波利斯
adelândia,阿德兰迪亚
nerópolis,内罗波利斯
itauçu,伊陶苏
riolândia,里奥兰迪亚
siderópolis,锡德罗波利斯
cunhataí,库尼亚塔伊
garopaba,加罗帕巴
jaborá,雅博拉
pedralva,佩德拉尔瓦
goianésia,戈亚内西亚
recreio,雷克雷尤
faina,法伊纳
itapirapuã,伊塔皮拉普昂
pompeia,蓬佩亚
cafelândia,卡费兰迪亚
urupês,乌鲁佩斯
echaporã,埃沙波朗
conchal,孔沙尔
paraibuna,帕赖布纳
cabeceiras,卡贝塞拉什
pirenópolis,皮雷诺波利斯
itapuí,伊塔普伊
itirapina,伊蒂拉皮纳
belterra,贝尔特拉
canaã,卡纳昂
umirim,乌米林
taquarituba,塔夸里图巴
guariba,瓜里巴
itajobi,伊塔若比
cavalcante,卡瓦坎特
lajedão,拉热当
capinzal,卡平扎尔
estrela,埃斯特雷拉
guaporema,瓜波雷马
igaratá,伊加拉塔
arapoema,阿拉波埃马
planalto,普拉纳尔图
itiruçu,伊蒂鲁苏
maruim,马鲁因
aurilândia,奥里兰迪亚
muçum,穆孙
macaúbas,马卡乌巴斯
turvânia,图尔瓦尼亚
nazário,纳扎里乌
jaru,雅鲁
tibagi,蒂巴吉
boraceia,博拉塞亚
marizópolis,马里佐波利斯
correntes,科伦蒂斯
miguelópolis,米格洛波利斯
lagoinha,拉戈伊尼亚
votuporanga,沃图波兰加
muritiba,穆里蒂巴
seropédica,塞罗佩迪卡
mangaratiba,曼加拉蒂巴
indaiatuba,因达亚图巴
itueta,伊图埃塔
arinos,阿里努斯
pontalinda,蓬塔林达
indiavaí,因迪亚瓦伊
pirangi,皮兰吉
ipiaú,伊皮亚乌
boituva,博伊图瓦
cearámirim,塞阿拉米里姆
jambeiro,然贝鲁
cerquilho,塞尔基略
orlândia,奥兰迪亚
iacri,亚克里
ipuã,伊普昂
porangaba,波兰加巴
abaeté,阿巴埃特
botucatu,博图卡图
marapoama,马拉波阿马
pontal,蓬塔尔
taquarivaí,塔夸里瓦伊
guaiçara,瓜伊萨拉
guaimbê,瓜因贝
goiana,戈亚纳
teixeiras,泰谢拉斯
avaré,阿瓦雷
itagibá,伊塔基巴
queimadas,凯马达斯
abaetetuba,阿巴埃特图巴
laguna,拉古纳
britânia,布里坦尼亚
confins,孔芬斯
morretes,莫雷蒂斯
esplanada,埃斯普拉纳达
itajuípe,伊塔茹伊皮
canavieiras,卡纳维埃拉斯
boquira,博基拉
curitibanos,库里蒂巴努斯
aparecida,阿帕雷西达
horizontina,奥里宗蒂纳
abatiá,阿巴蒂亚
ivatuba,伊瓦图巴
uruguaiana,乌鲁瓜亚纳
piquete,皮克蒂
lavrinhas,拉夫里尼亚斯
cabreúva,卡布雷乌瓦
mairinque,迈林克
jandira,然迪拉
amajari,阿马雅里
lavras,拉夫拉斯
piratini,皮拉蒂尼
itabira,伊塔比拉
