кирилл,基里尔,kirill
калевала,卡列瓦拉,kalevala
климово,克利莫沃,klimovo
иловля,伊洛夫利亚,ilovlya
янгель,扬格利,yangel
онохой,奥诺霍伊,onohoy
майна,迈纳,mayna
предкавказье,前高加索,predkavkaze
росбанк,罗斯银行,rosbank
сангилен,桑吉连高原,sangilen
этерикан,埃捷里坎海峡,eterikan
заря,扎里亚海峡,zarya
эгвекинот,埃格韦基诺特,egvekinot
тарки,塔尔基,tarki
ярославский,雅罗斯拉夫斯基,yaroslavskiy
войвож,沃伊沃日,voyvozh
ярега,亚列加,yarega
шудаяг,舒达亚格,shudayag
синдор,辛多尔,sindor
иноземцево,伊诺泽姆采沃,inozemcevo
руслайн,俄线航空,ruslayn
калининец,加利尼涅茨,kalininec
грамотеино,格拉莫捷伊诺,gramoteino
изборск,伊兹博斯克,izborsk
линёво,利尼奥沃,linyovo
красноенаволге,伏尔加河畔克拉斯诺耶,krasnoenavolge
тардокиянги,托尔多基亚尼山,tardokiyangi
келля,凯拉火山,kellya
толстые,托尔斯泰家族,tolstye
дубинино,杜比尼诺,dubinino
арктический,北极角,arkticheskiy
роснефть,俄罗斯石油,rosneft
атран,阿特朗航空,atran
чумикан,丘米坎,chumikan
орлан,海鹰航天服,orlan
народная,纳罗达峰,narodnaya
кукмор,库克莫尔,kukmor
кунсткамера,艺术间,kunstkamera
кейвы,克伊维高地,keyvy
шилово,希洛沃,shilovo
форос,福罗斯,foros
ленинкент,列宁肯特,leninkent
левадацентр,列瓦达中心,levadacentr
сапсан,游隼号列车,sapsan
михнево,米赫涅沃,mihnevo
норникель,诺里尔斯克镍公司,nornikel
танаис,塔纳伊斯,tanais
таорусыр,陶罗西尔火山,taorusyr
горелый,戈列雷火山,gorelyy
эльбан,埃利班,elban
евразийство,欧亚主义,evraziystvo
немо,涅莫峰,nemo
светлая,斯韦特拉亚,svetlaya
вимавиа,维姆航空,vimavia
фряново,弗里亚诺沃,fryanovo
ильинка,伊利因卡,ilinka
земетчино,泽梅奇诺,zemetchino
алаид,阿赖度山,alaid
алмазантей,金刚石安泰,almazantey
огонёк,星火,ogonyok
когалымавиа,科加雷姆航空,kogalymavia
брянка,布良卡,bryanka
нагайбаки,诺盖巴克,nagaybaki
пангоды,潘戈德,pangody
краснообск,克拉斯诺鄂毕斯克,krasnoobsk
магистральный,马吉斯特拉利内,magistralnyy
ловушки,牟知列岩,lovushki
южный,尤日内,yuzhnyy
известковый,伊兹韦斯特科维,izvestkovyy
излучинск,伊兹卢钦斯克,izluchinsk
энем,埃涅姆,enem
яблоновский,雅布洛诺夫斯基,yablonovskiy
одоев,奥多耶夫,odoev
суксун,苏克孙,suksun
северщина,西维利亚,severshchina
ртрпланета,俄罗斯环球频道,rtrplaneta
малаховка,马拉霍夫卡,malahovka
екатеринославка,叶卡捷里诺斯拉夫卡,ekaterinoslavka
янчукан,扬丘坎,yanchukan
яя,亚亚,yaya
елань,叶兰,elan
емельяново,叶梅利亚诺沃,emelyanovo
чупа,丘帕,chupa
мга,姆加,mga
пойковский,波伊科夫斯基,poykovskiy
ямантау,亚曼套山,yamantau
новоогарёво,新奥加廖沃,novoogaryovo
новоаганск,新阿甘斯克,novoagansk
уксичан,乌克斯昌火山,uksichan
уптар,乌普塔尔,uptar
марьяновка,马里亚诺夫卡,maryanovka
пригорск,普里戈尔斯克,prigorsk
уруша,乌鲁沙,urusha
мтс,移动电信,mts
бежаницы,别扎尼齐,bezhanicy
шишель,希舍利火山,shishel
магнитка,马格尼特卡,magnitka
алнгей,阿尔恩格伊火山,alngey
нахичеваньнадону,顿河畔纳希切万,nahichevannadonu
куйбышево,阿尔巴特,kuybyshevo
газпромбанк,天然气工业银行,gazprombank
медиаобразование,媒体素养,mediaobrazovanie
климов,克里莫夫,klimov
обухово,奥布霍沃,obuhovo
балтаси,巴尔塔西,baltasi
качуг,卡丘格,kachug
якутия,雅库特航空,yakutiya
кугеси,库格西,kugesi
кунерма,库涅尔马,kunerma
сырники,锡尔尼基,syrniki
новомихайловский,新米哈伊洛夫斯基,novomihaylovskiy
кавалерово,卡瓦列罗沃,kavalerovo
каргаполье,卡尔加波利耶,kargapole
мир,和平号,mir
сколково,莫斯科斯尔科沃管理学院,skolkovo
энурмино,艾奴尔米诺,enurmino
базальт,玄武岩设计局,bazalt
могойтуй,莫戈伊图伊,mogoytuy
мокшан,莫克尚,mokshan
сунжа,孙扎,sunzha
килемары,基列马雷,kilemary
узон,乌宗火山,uzon
евразия,欧亚大楼,evraziya
ракета,火箭牌,raketa
альфабанк,阿尔法银行,alfabank
мошково,莫什科沃,moshkovo
москаленки,莫斯卡连基,moskalenki
теплоозёрск,捷普洛奥焦尔斯克,teploozyorsk
мурмаши,穆尔马希,murmashi
кировский,基洛夫斯基,kirovskiy
кичера,基切拉,kichera
монино,莫尼诺,monino
яйва,亚伊瓦,yayva
мусхая,穆斯哈亚山,mushaya
муромцево,穆罗姆采沃,muromcevo
оротукан,奥罗图坎,orotukan
шаховская,沙霍夫斯卡亚,shahovskaya
мостовской,莫斯托夫斯科伊,mostovskoy
аллахюнь,阿拉赫云,allahyun
торбеево,托尔别耶沃,torbeevo
воргашор,沃尔加绍尔,vorgashor
атяшево,阿佳舍沃,atyashevo
молодёжное,莫洛焦日诺耶,molodyozhnoe
оверята,奥韦里亚塔,overyata
новоильинский,新伊利因斯基,novoilinskiy
оршанка,奥尔尚卡,orshanka
суслонгер,苏斯隆格尔,suslonger
актюбинский,阿克纠宾斯基,aktyubinskiy
комсомольское,共青村,komsomolskoe
параньга,帕拉尼加,paranga
павловский,巴甫洛夫斯基,pavlovskiy
хани,哈尼,hani
молния,闪电牌,molniya
единство,团结,edinstvo
полёт,宝杰,polyot
одксатурн,土星科研生产联合体,odksaturn
уралвагонзавод,乌拉尔机车车辆厂,uralvagonzavod
айпетри,艾佩特里峰,aypetri
бобровые,海獭岩,bobrovye
ытыккюёль,厄特克丘约利,ytykkyuyol
алнейчашаконджа,阿尔涅伊恰沙孔贾火山,alneychashakondzha
черноморское,黑海村,chernomorskoe
устькамчатск,乌斯季堪察茨克,ustkamchatsk
сарс,萨尔斯,sars
переяславка,佩列亚斯拉夫卡,pereyaslavka
бытошь,贝托希,bytosh
хиславичи,希斯拉维奇,hislavichi
кокоревка,科科列夫卡,kokorevka
богатырь,博加特耶岭,bogatyr
селижарово,谢利扎罗沃,selizharovo
калашниково,卡拉什尼科沃,kalashnikovo
югра,尤格拉,yugra
грибановский,格里巴诺夫斯基,gribanovskiy
саргатское,萨尔加茨科耶,sargatskoe
ибреси,伊布列西,ibresi
любытино,柳贝季诺,lyubytino
кулотино,库洛季诺,kulotino
коммерсантъ,生意人报,kommersant
коноша,科诺沙,konosha
неболчи,涅博尔奇,nebolchi
зырянка,济良卡,zyryanka
воротынск,沃洛滕斯克,vorotynsk
новосёловское,新塞利夫斯凯,novosyolovskoe
иэттунуп,莱图努普火山,iettunup
кормиловка,科尔米洛夫卡,kormilovka
чугуш,丘古什山,chugush
пелым,佩雷姆,pelym
корватунтури,耳朵山,korvatunturi
шербакуль,舍尔巴库尔,sherbakul
родинамать,祖国母亲在召唤,rodinamat
чульман,丘利曼,chulman
красногорский,克拉斯诺戈尔斯基,krasnogorskiy
посьет,波西耶特,poset
ивот,伊沃特,ivot
рамасуха,拉马苏哈,ramasuha
любохна,柳博赫纳,lyubohna
залегощь,扎列戈希,zalegoshch
радицакрыловка,拉季察克雷洛夫卡,radicakrylovka
терней,捷尔涅伊,terney
сукко,苏科,sukko
кузьмоловский,库兹莫洛夫斯基,kuzmolovskiy
гусевский,古谢夫斯基,gusevskiy
центросоюз,苏联消费合作社,centrosoyuz
вейделевка,韦伊杰列夫卡,veydelevka
черлак,切尔拉克,cherlak
кульдур,库利杜尔,kuldur
алмазный,阿尔马兹内,almaznyy
ленинградская,莫斯科列宁格勒希尔顿酒店,leningradskaya
семендер,谢缅杰尔,semender
альбурикент,阿利布里肯特,alburikent
циолковский,齐奥尔科夫斯基,ciolkovskiy
оренбург,奥伦堡足球俱乐部,orenburg
пильна,皮利纳,pilna
шексна,舍克斯纳,sheksna
васильсурск,瓦西里苏尔斯克,vasilsursk
прево,普雷沃峰,prevo
погиби,波吉比,pogibi
шкотово,什科托沃,shkotovo
вохтога,沃赫托加,vohtoga
чагода,恰戈达,chagoda
лазарев,拉扎列夫,lazarev
порбажын,博尔巴任,porbazhyn
белиджи,别利吉,belidzhi
приамурский,普里阿穆尔斯基,priamurskiy
грэсовский,格雷索夫斯基,gresovskiy
красносельский,克拉斯诺谢利斯基,krasnoselskiy
приволжский,普里沃尔日斯基,privolzhskiy
серышево,谢雷舍沃,seryshevo
чукотавиа,楚科奇航空,chukotavia
старотимошкино,旧季莫什基诺,starotimoshkino
рублёвка,卢布廖夫卡,rublyovka
пышма,佩什马,pyshma
рощино,罗希诺,roshchino
сиваки,锡瓦基,sivaki
синявино,锡尼亚维诺,sinyavino
шушенское,舒申斯科耶,shushenskoe
уренгой,乌连戈伊,urengoy
кашлык,喀什里克,kashlyk
транснефть,俄罗斯国家石油管道运输公司,transneft
тазы,塔兹族,tazy
пронск,普龙斯克,pronsk
инской,因斯科伊,inskoy
мурино,穆里诺,murino
уралмашзавод,乌拉尔重型机器制造厂,uralmashzavod
маньпупунёр,曼普普纳岩石群,manpupunyor
солнечный,索尔涅奇内,solnechnyy
мелодия,旋律唱片公司,melodiya
ростсельмаш,罗斯托夫农业机械制造厂,rostselmash
борисоглебский,鲍里索格列布斯基,borisoglebskiy
верхнетуломский,上图洛姆斯基,verhnetulomskiy
кильдинстрой,基利金斯特罗伊,kildinstroy
эволюция,进化塔,evolyuciya
витим,维季姆,vitim
умба,温巴,umba
туманный,图曼内,tumannyy
эбеко,埃别科火山,ebeko
чокурдах,乔库尔达赫,chokurdah
синарка,锡纳尔卡火山,sinarka
джангитау,占吉山,dzhangitau
башкирия,巴什噶尔国家公园,bashkiriya
мяунджа,米亚温贾,myaundzha
николаевка,尼古拉耶夫卡,nikolaevka
англетер,安格雷特里酒店,angleter
быстрый,贝斯特雷,bystryy
ярсале,亚尔萨列,yarsale
нижнеянск,下扬斯克,nizhneyansk
воротынец,沃罗特涅茨,vorotynec
степное,斯捷普诺耶,stepnoe
хангар,汉加尔火山,hangar
толмачёво,托尔马乔沃,tolmachyovo
черёмушки,切廖穆什基,cheryomushki
черусти,切鲁斯季,cherusti
чердаклы,切尔达克雷,cherdakly
вымпел,信号旗特种部队,vympel
удельная,乌杰利纳亚,udelnaya
азовское,亚速斯凯,azovskoe
сабантуй,萨班推节,sabantuy
жиганск,日甘斯克,zhigansk
жигалово,日加洛沃,zhigalovo
таганай,塔加奈,taganay
заокский,扎奥克斯基,zaokskiy
декастри,德卡斯特里,dekastri
улькан,乌利坎,ulkan
багерово,巴格罗沃空军基地,bagerovo
русскоязычные,东欧文化圈,russkoyazychnye
паанаярви,帕纳耶尔维国家公园,paanayarvi
устьмая,乌斯季马亚,ustmaya
саскылах,萨斯克拉赫,saskylah
устьщугер,乌斯季休格尔,ustshchuger
хаджитархан,哈吉塔尔汉,hadzhitarhan
лоухи,洛乌希,louhi
усогорск,乌索戈尔斯克,usogorsk
хвойная,赫沃伊纳亚,hvoynaya
пролетарий,普罗列塔里,proletariy
эльдикан,埃利季坎,eldikan
устькуйга,乌斯季库伊加,ustkuyga
кача,卡恰,kacha
нижнегорский,下戈尔斯基,nizhnegorskiy
батагай,巴塔盖,batagay
усвяты,乌斯维亚特,usvyaty
вершинодарасунский,上达拉孙斯基,vershinodarasunskiy
добролёт,善飞货运航空,dobrolyot
суходол,苏霍多尔,suhodol
апастово,阿帕斯托沃,apastovo
пассаж,帕萨兹拱廊街,passazh
агириш,阿吉里什,agirish
лезгистан,列兹金斯坦,lezgistan
басеги,巴谢吉山脉,basegi
новоспасское,新斯帕斯科耶,novospasskoe
ушумун,乌舒蒙,ushumun
устьабакан,乌斯季阿巴坎,ustabakan
устьдонецкий,乌斯季顿涅茨基,ustdoneckiy
санки,雪橇运动中心,sanki
погар,波加尔,pogar
никита,尼基塔,nikita
зеленоборский,泽列诺博尔斯基,zelenoborskiy
лотошино,洛托希诺,lotoshino
чатырдаг,恰特尔山,chatyrdag
рогнедино,罗格涅季诺,rognedino
старь,斯塔里,star
хелюля,赫柳利亚,helyulya
локоть,洛科季,lokot
стрижи,雨燕飞行表演队,strizhi
архангельское,阿尔汉格尔斯克庄园,arhangelskoe
беркакит,别尔卡基特,berkakit
шуйские,叔伊斯基家族,shuyskie
шимск,希姆斯克,shimsk
сангар,桑加尔,sangar
чёрный,乔尔内火山,chyornyy
хандыга,汉德加,handyga
куженер,库热涅尔,kuzhener
молочный,莫洛奇内,molochnyy
выгоничи,维戈尼奇,vygonichi
пеледуй,佩列杜伊,peleduy
кресты,克雷斯蒂监狱,kresty
пряжа,普里亚扎,pryazha
кадыкчан,卡德克昌,kadykchan
ульяновка,乌里扬诺夫卡,ulyanovka
парфино,帕尔菲诺,parfino
экарма,越渴磨海峡,ekarma
кадом,卡多姆,kadom
крестцы,克列斯齐,krestcy
угловка,乌格洛夫卡,uglovka
вышков,维什科夫,vyshkov
тлюстенхабль,特柳斯坚哈布利,tlyustenhabl
вожега,沃热加,vozhega
джубга,朱布加,dzhubga
албазино,雅克萨,albazino
редкино,列德基诺,redkino
ксудач,克苏达奇火山,ksudach
лужники,卢日尼基奥林匹克体育中心,luzhniki
суавъярви,苏阿夫湖撞击坑,suavyarvi
кадый,卡德,kadyy
поназырево,波纳济列沃,ponazyrevo
сусанино,苏萨尼诺,susanino
урмары,乌尔马雷,urmary
токсово,托克索沃,toksovo
астория,阿斯托里亚酒店,astoriya
троицкопечорск,特罗伊茨科伯朝拉斯克,troickopechorsk
мохсоголлох,莫赫索戈洛赫,mohsogolloh
гирей,吉列伊,girey
кузнечное,库兹涅奇诺耶,kuznechnoe
солнечнодольск,索尔涅奇诺多利斯克,solnechnodolsk
маджар,马加尔,madzhar
холодильник,霍洛季利尼克山,holodilnik
повенец,波韦涅茨,povenec
варгаши,瓦尔加希,vargashi
вурнары,武尔纳雷,vurnary
золотинка,佐洛京卡,zolotinka
кысылсыр,克孜勒瑟尔,kysylsyr
дацан,扎仓,dacan
кильмезь,基利梅济,kilmez
кикнур,基克努尔,kiknur
бердигестях,别尔季格斯佳赫,berdigestyah
ветлужский,韦特卢日斯基,vetluzhskiy
фишт,菲什特山,fisht
лялятюльпан,拉拉郁金香大清真寺,lyalyatyulpan
гвардейское,近卫军村,gvardeyskoe
мильна,米利纳火山,milna
ныроб,内罗布,nyrob
пяозерский,皮亚奥泽尔斯基,pyaozerskiy
муезерский,穆耶泽尔斯基,muezerskiy
таврическое,塔夫里切斯科耶,tavricheskoe
пиндуши,平杜希,pindushi
горноуральский,戈尔诺乌拉尔斯基,gornouralskiy
тээли,泰利,teeli
бурханизм,布尔罕教,burhanizm
карсун,卡尔孙,karsun
шамилькала,沙米利卡拉,shamilkala
аграрное,阿格拉尔诺耶,agrarnoe
сандармох,桑达莫赫,sandarmoh
зуя,祖亚,zuya
уратман,乌拉塔曼火山,uratman
долгое,多尔戈耶,dolgoe
арбаж,阿尔巴日,arbazh
андреевка,安德烈耶夫卡,andreevka
барсово,巴尔索沃,barsovo
рощинский,罗辛斯基,roshchinskiy
углеуральский,乌格列乌拉尔斯基,ugleuralskiy
широковский,希罗科夫斯基,shirokovskiy
сараны,萨拉内,sarany
аймак,艾马克,aymak
рябово,里亚博沃,ryabovo
афанасьево,阿法纳西耶沃,afanasevo
култук,库尔图克,kultuk
дергачи,杰尔加奇,dergachi
вишневогорск,维什涅沃戈尔斯克,vishnevogorsk
арсеньево,阿尔谢尼耶沃,arsenevo
павловка,巴甫洛夫卡,pavlovka
зауральский,外乌拉尔斯基,zauralskiy
екатериновка,叶卡捷琳诺夫卡,ekaterinovka
ишеевка,伊舍耶夫卡,isheevka
сайлюгем,赛柳格姆山脉,saylyugem
эггелла,埃格拉火山,eggella
чирип,北散布山,chirip
гамчен,加姆琴火山,gamchen
воямпольский,沃亚姆波利斯基火山,voyampolskiy
близнец,布利兹涅茨火山,bliznec
еловский,叶洛夫斯基火山,elovskiy
лукино,卢基诺,lukino
выездное,维耶兹德诺耶,vyezdnoe
гидроторф,吉德罗托尔夫,gidrotorf
мухтолово,穆赫托洛沃,muhtolovo
ходутка,霍杜特卡火山,hodutka
кэбеней,凯别涅伊火山,kebeney
устьцильма,乌斯季齐利马,ustcilma
крильон,西能登吕岬,krilon
аркуль,阿尔库尔,arkul
юргамыш,尤尔加梅什,yurgamysh
депутатский,杰普塔茨基,deputatskiy
джебарикихая,杰巴里基哈亚,dzhebarikihaya
чуфарово,丘法罗沃,chufarovo
ашукино,阿舒基诺,ashukino
балахнинский,巴拉赫宁斯基,balahninskiy
атагай,阿塔盖,atagay
титила,蒂蒂拉火山,titila
леутонгей,列乌通格伊火山,leutongey
алексеевск,阿列克谢耶夫斯克,alekseevsk
иттифак,伊蒂法克,ittifak
быково,贝科沃,bykovo
белоомут,别洛奥穆特,beloomut
белореченский,别洛列琴斯基,belorechenskiy
богородское,博戈罗茨科耶,bogorodskoe
опала,奥帕拉火山,opala
мамедкала,马梅德卡拉,mamedkala
мама,马马,mama
встречный,弗斯特列奇内,vstrechnyy
халаца,克劳斯萨山,halaca
тауншиц,塔温希茨火山,taunshic
хохлово,霍赫洛沃,hohlovo
отдельный,奥特杰利内火山,otdelnyy
даниловка,丹尼洛夫卡,danilovka
демьяново,杰米扬诺沃,demyanovo
даровской,达罗夫斯科伊,darovskoy
духовницкое,杜霍夫尼茨科耶,duhovnickoe
форносово,福尔诺索沃,fornosovo
дмитриевка,德米特里耶夫卡,dmitrievka
демон,神威岳,demon
мокроус,莫克罗乌斯,mokrous
новатор,革新家设计局,novator
итатский,伊塔茨基,itatskiy
валькумей,瓦利库梅,valkumey
яковлево,雅科夫列沃,yakovlevo
янталь,扬塔利,yantal
ишня,伊什尼亚,ishnya
ижморский,伊日莫尔斯基,izhmorskiy
юрья,尤里亚,yurya
кратово,克拉托沃,kratovo
краснозатонский,克拉斯诺扎顿斯基,krasnozatonskiy
каменка,卡缅卡,kamenka
кантемировка,坎捷米罗夫卡,kantemirovka
каз,卡兹,kaz
колобово,科洛博沃,kolobovo
константиновский,康斯坦丁诺夫斯基,konstantinovskiy
квиток,克维托克,kvitok
куркино,库尔基诺,kurkino
кузино,库济诺,kuzino
крапивинский,克拉皮温斯基,krapivinskiy
лесогорск,列索戈尔斯克,lesogorsk
лух,卢赫,luh
луговский,卢戈夫斯基,lugovskiy
нема,涅马,nema
нерль,涅尔利,nerl
демиркапу,杰米尔卡普山,demirkapu
малино,马利诺,malino
краснокаменка,克拉斯诺卡姆扬卡,krasnokamenka
мамакан,马马坎,mamakan
ленинское,列宁斯科耶,leninskoe
медведицкий,梅德韦季茨基,medvedickiy
мелехово,梅列霍沃,melehovo
мишеронский,米舍龙斯基,misheronskiy
мишелёвка,米舍廖夫卡,mishelyovka
молодёжный,莫洛焦日内,molodyozhnyy
никологоры,尼科洛戈雷,nikologory
почтовое,波什托韦,pochtovoe
понизовка,波尼济夫卡,ponizovka
виноградное,维诺赫拉德内,vinogradnoe
новофёдоровка,新费多里夫卡,novofyodorovka
кацивели,卡齐韦利,kaciveli
санаторное,萨纳托尔诺耶,sanatornoe
береговое,别列戈沃耶,beregovoe
новониколаевский,新尼古拉耶夫斯基,novonikolaevskiy
нижнеивкино,下伊夫基诺,nizhneivkino
новобирюсинский,新比留辛斯基,novobiryusinskiy
новобурейский,新布列伊斯基,novobureyskiy
новоивановское,新伊万诺夫斯科耶,novoivanovskoe
новогуровский,新古罗夫斯基,novogurovskiy
ореанда,奥列安达,oreanda
новоозёрное,新奥泽尔内,novoozyornoe
заозёрное,扎奥焦尔诺耶,zaozyornoe
щебетовка,谢别托夫卡,shchebetovka
парковое,帕尔科韦,parkovoe
курпаты,库尔帕特,kurpaty
подосиновец,波多西诺韦茨,podosinovec
поречьерыбное,波列奇耶雷布诺耶,porecherybnoe
мордово,莫尔多沃,mordovo
мучкапский,穆奇卡普斯基,muchkapskiy
нагорск,纳戈尔斯克,nagorsk
мстёра,姆斯乔拉,mstyora
мурыгино,穆雷吉诺,murygino
опарино,奥帕里诺,oparino
оричи,奥里奇,orichi
вилино,维利内,vilino
фалёнки,法连基,falyonki
палкино,帕尔基诺,palkino
красногородск,克拉斯诺戈罗茨克,krasnogorodsk
плюсса,普柳萨,plyussa
варнавино,瓦尔纳维诺,varnavino
пречистое,普列奇斯托耶,prechistoe
новорайчихинск,新赖奇欣斯克,novoraychihinsk
кунья,库尼亚,kunya
пено,佩诺,peno
заплюсье,扎普柳西耶,zaplyuse
каменск,卡缅斯克,kamensk
седкыркещ,谢德克尔克希,sedkyrkeshch
локня,洛克尼亚,loknya
санчурск,桑丘尔斯克,sanchursk
россельхозбанк,俄罗斯农业银行,rosselhozbank
цезарь,凯撒,cezar
куников,库尼科夫号,kunikov
пестяки,佩斯佳基,pestyaki
песковка,佩斯科夫卡,peskovka
пинюг,皮纽格,pinyug
пижанка,皮然卡,pizhanka
петровский,彼得罗夫斯基,petrovskiy
пятницкое,皮亚特尼茨科耶,pyatnickoe
ильинскоехованское,伊利因斯科耶霍万斯科耶,ilinskoehovanskoe
радищев,拉季谢夫,radishchev
решетниково,列舍特尼科沃,reshetnikovo
городищи,戈罗季希,gorodishchi
ржавки,勒扎夫基,rzhavki
ржакса,勒扎克萨,rzhaksa
рязановский,梁赞诺夫斯基,ryazanovskiy
рудногорск,鲁德诺戈尔斯克,rudnogorsk
идрица,伊德里察,idrica
кожым,科日姆,kozhym
снегири,斯涅吉里,snegiri
славный,斯拉夫内,slavnyy
скоропусковский,斯科罗普斯科夫斯基,skoropuskovskiy
семибратово,谢米布拉托沃,semibratovo
суна,苏纳,suna
ставрово,斯塔夫罗沃,stavrovo
столбовая,斯托尔博瓦亚,stolbovaya
свердловский,斯维尔德洛夫斯基,sverdlovskiy
свеча,斯韦恰,svecha
светлополянск,斯韦特洛波良斯克,svetlopolyansk
тайтурка,泰图尔卡,tayturka
сычёво,瑟乔沃,sychyovo
инжавино,因扎维诺,inzhavino
сазоново,萨佐诺沃,sazonovo
рудничный,鲁德尼奇内,rudnichnyy
себрово,谢布罗沃,sebrovo
умёт,乌苗特,umyot
ук,乌克,uk
вахруши,瓦赫鲁希,vahrushi
уваровка,乌瓦罗夫卡,uvarovka
тисуль,季苏尔,tisul
токарёвка,托卡廖夫卡,tokaryovka
токур,托库尔,tokur
алексеевка,阿列克谢耶夫卡,alekseevka
талакан,塔拉坎,talakan
тельма,捷利马,telma
темиртау,铁米尔套,temirtau
уни,乌尼,uni
уразово,乌拉佐沃,urazovo
тужа,图扎,tuzha
тёплое,乔普洛耶,tyoploe
экимчан,埃基姆昌,ekimchan
чернышковский,切尔内什科夫斯基,chernyshkovskiy
чистоозёрное,奇斯托奥焦尔诺耶,chistoozyornoe
восточный,沃斯托奇内,vostochnyy
шиткино,希特基诺,shitkino
шестаково,舍斯塔科沃,shestakovo
загорянский,扎戈良斯基,zagoryanskiy
зеленоградский,泽列诺格拉茨基,zelenogradskiy
шумский,舒姆斯基,shumskiy
жилёво,日廖沃,zhilyovo
черкизово,切尔基佐沃,cherkizovo
чернь,切尔尼,chern
звёздный,兹维奥兹德内,zvyozdnyy
атиг,阿季格,atig
атка,阿特卡,atka
верхчебула,上切布拉,verhchebula
вербилки,韦尔比尔基,verbilki
витимский,维季姆斯基,vitimskiy
верхошижемье,上希热米耶,verhoshizheme
вольгинский,沃利金斯基,volginskiy
видим,维季姆,vidim
волово,沃洛沃,volovo
анюйский,阿纽伊国家公园,anyuyskiy
александроневский,亚历山德罗涅夫斯基,aleksandronevskiy
аксубаево,阿克苏巴耶沃,aksubaevo
аксёновозиловское,阿克肖诺沃济洛夫斯科耶,aksyonovozilovskoe
амазар,阿马扎尔,amazar
анджиевский,安吉耶夫斯基,andzhievskiy
ачит,阿奇特,achit
ачису,阿奇苏,achisu
бавтугай,巴夫图盖,bavtugay
аэроэкспресс,机场快线,aeroekspress
андра,安德拉,andra
башмаково,巴什马科沃,bashmakovo
арчиб,阿尔奇布,archib
ближнепесочное,布利日涅佩索奇诺耶,blizhnepesochnoe
арья,阿里亚,arya
балахта,巴拉赫塔,balahta
балашейка,巴拉舍伊卡,balasheyka
боброво,博布罗沃,bobrovo
беково,别科沃,bekovo
большевик,布尔什维克,bolshevik
беличан,别利昌,belichan
большегривское,大格里夫斯科耶,bolshegrivskoe
буревестник,普列维斯尼克,burevestnik
бисер,比谢尔,biser
бурхала,布尔哈拉,burhala
бутово,布托沃,butovo
бутурлино,布图尔利诺,buturlino
вахрушев,瓦赫鲁舍夫,vahrushev
вахтан,瓦赫坦,vahtan
вача,瓦恰,vacha
вектор,俄罗斯国家病毒学与生物技术研究中心,vektor
верхозим,韦尔霍济姆,verhozim
верховье,韦尔霍维耶,verhove
великан,韦利堪角,velikan
валентиновка,瓦伦提诺夫卡,valentinovka
верхнейвинский,上涅伊温斯基,verhneyvinskiy
высокий,维索基,vysokiy
высокогорный,维索科戈尔内,vysokogornyy
восток,俄罗斯东方航空,vostok
горбатовка,戈尔巴托夫卡,gorbatovka
глубокий,格卢博基,glubokiy
глазуновка,格拉祖诺夫卡,glazunovka
дебин,杰宾,debin
змиёвка,兹米约夫卡,zmiyovka
виллози,维洛济,villozi
всеволодовильва,弗谢沃洛多维利瓦,vsevolodovilva
вильда,维利达角,vilda
виля,维利亚,vilya
галимый,加利梅,galimyy
гусьжелезный,古西热列兹内,guszheleznyy
гремячево,格列米亚切沃,gremyachevo
давенда,达文达,davenda
глотовка,格洛托夫卡,glotovka
давыдовка,达维多夫卡,davydovka
дальзавод,达尔扎沃德修船中心,dalzavod
дальний,达利尼,dalniy
дарасун,达拉孙,darasun
голынки,戈伦基,golynki
даргавс,达尔加夫斯,dargavs
дзуарикау,祖阿里考,dzuarikau
горячегорск,戈里亚切戈尔斯克,goryachegorsk
золотореченск,佐洛托列琴斯克,zolotorechensk
горшечное,戈尔舍奇诺耶,gorshechnoe
донское,顿斯凯,donskoe
горьковское,戈里科夫斯科耶,gorkovskoe
гуниб,古尼布高原,gunib
досчатое,多夏托耶,doschatoe
дорогино,多罗吉诺,dorogino
грозныйсити,格罗兹尼城市塔,groznyysiti
дрожжино,德罗日诺,drozhzhino
евлашево,叶夫拉舍沃,evlashevo
жадовка,扎多夫卡,zhadovka
делянкир,杰良基尔,delyankir
дружинино,德鲁日尼诺,druzhinino
дровяная,德罗维亚纳亚,drovyanaya
елецкий,叶列茨基,eleckiy
жилинда,日林达,zhilinda
жирекен,日列肯,zhireken
елатьма,叶拉季马,elatma
еланьколеновский,叶兰科列诺夫斯基,elankolenovskiy
дубки,杜布基,dubki
междусопочный,梅日杜索波内火山,mezhdusopochnyy
заиграево,扎伊格拉耶沃,zaigraevo
дунай,杜奈,dunay
дукат,杜卡特,dukat
думиничи,杜米尼奇,duminichi
золотухино,佐洛图希诺,zolotuhino
ермишь,叶尔米希,ermish
измайлово,伊斯梅洛沃庄园,izmaylovo
ерзовка,叶尔佐夫卡,erzovka
завидово,扎维多沃,zavidovo
золотарёвка,佐洛塔廖夫卡,zolotaryovka
изоплит,伊佐普利特,izoplit
ирша,伊尔沙,irsha
затеречный,扎捷列奇内,zaterechnyy
иванино,伊万尼诺,ivanino
зеленогорье,泽列诺吉里亚,zelenogore
калино,卡利诺,kalino
ильиногорск,伊利因诺戈尔斯克,ilinogorsk
изъяю,伊兹亚尤,izyayu
исса,伊萨,issa
зеленоборск,泽列诺博尔斯克,zelenoborsk
итака,伊塔卡,itaka
игнатовка,伊格纳托夫卡,ignatovka
игрим,伊格里姆,igrim
