vika,ヴィカ
simionescu,シミオネスク
tescanu,テスカヌ
densusianu,デンスシアヌ
lalescu,ラレスク
eliezer,エリーザー
berkovits,バーコヴィッツ
stoenescu,ストエネスク
coliu,コーリュウ
vlahuță,ヴラフタ
leșcenco,レスチェンコ
tinu,ティヌ
asachi,アサキ
baltagă,バルタガ
maurice,モーリス
solovine,ソロヴィン
norman,ノーマン
mihnea,ミフネア
csaba,チャバ
gal,ガル
timofte,ティモフテ
alexis,アレクシス
nour,ヌール
moșanu,モサヌ
tiberiu,ティベリウ
olah,オラフ
eduard,エドワード
austerlitz,アウステリッツ
alin,アリン
toșca,トシュカ
pancu,パンク
mitu,ミトゥ
postică,ポスティカ
paulică,イオン
brucan,ブルカン
kemal,ケマル
karpat,カルパト
guțu,グトゥ
hoștină,ホスティナ
andrea,アンドレア
faciu,ファシウ
aburel,アブレル
pascal,パスカル
bentoiu,ベントイウ
copilul,コピルル
aur,アウル
socol,ソコル
esca,エスカ
sînă,シーナ
drăgulescu,ドラグレスク
boncea,ボンカー
gorghiu,ゴルギウ
ernest,エルネスト
urdărianu,ウルダリアヌ
baniciu,バニシウ
daneliuc,ダネリウツ
olga,ナジ
nagy,オルガ
anatol,アナトール
șalaru,シャラル
stelian,ステリアン
burcea,ブルチェア
tonitza,トニツァ
teodor,テオドル
baconschi,バコンスキ
meleșcanu,メレシュカーヌ
șirato,シラト
minune,ミヌーネ
tămârjan,タマルジャン
amos,エイモス
guttman,グットマン
eliad,エリアド
miron,ミロン
théodore,テオドール
lupan,ルパン
virgil,ヴァージル
magherusan,マゲルサン
bănică,バニカ
nemțeanu,ネメツヌー
oblemenco,オブレメンコ
steliana,ステリアナ
köblös,ケブレス
doană,ペレイ
flueraș,フルワラーシュ
cotabiță,コタビータ
vernescu,ヴェルネスク
da,ダ
silva,シルバ
paleru,パレル
panet,パーネ
weissenbacher,ヴェイッセンバッケル
nikos,ニコス
barboudis,バルブディス
luciu,ルシウ
scripcaru,スクリプカル
burianu,ボウリアノ
sudan,スーダン
creangă,クレアンガ
martinescu,マルティネスク
oleg,オレグ
andronic,アンドロニク
miklos,ミクロース
băgulescu,バグレスコ
ciupercă,チュペルカ
raețchi,ライチ
minea,ミネア
bujor,ブジョル
hălmăgeanu,ハルマゲアヌ
valeriu,ヴァレリ
einzig,アインツィヒ
laura,ローラ
cosoi,コソイ
kinikinilau,キニキニラウ
bartoș,バルトシュ
barabási,ラースロー
copos,コポス
răceanu,ラチャーノ
borilă,ボリラ
bolliac,ボリアック
caius,カイウス
brediceanu,ブレディツェアヌ
mária,ベルデ
berde,マーリア
vasilichi,ヴァスィリキ
bernard,ベルナール
natan,ナタン
porumb,ポルンブ
borbély,ラースロー
adela,アデラ
bartolomeu,バルトロメウ
anania,アナニア
clement,クレメント
pălimaru,パリマル
pungea,プンジェア
gottlieb,ゴットリーブ
foriș,フォリシュ
lucrețiu,ルクレツィウ
pătrășcanu,パトラシュカヌ
antoniade,アントニアデ
iuliana,イウリアナ
măceșeanu,マチェシャヌ
moculescu,モクレスク
vișoianu,ヴィショイアヌ
brenciu,ブレンシウ
agarici,アガリチ
vinea,ヴィネア
schumacher,シューマッハ
druțu,デュルテュ
victoraș,ビクトラス
țurcașiu,トゥルカシウ
boamfă,ボアムファ
réka,レカ
raicu,ライク
bibiri,ビビリ
sabina,サビーナ
măriuță,マリウタ
theodorescu,テオドレスキュー
angel,エンジェル
tîlvăr,ティルヴァー
cazacu,カザク
anghelescu,アンヘレスク
pelivan,ペリバン
vințe,ヴィンスゼ
stana,スタナ
ioanel,イオアネル
sinescu,シネスク
ionut,マリウス
gulea,グレア
diaconescu,ディアコネスク
bulgariu,アウレル
cojan,コージャン
lichioiu,リキオイユ
mitulescu,ミツレスク
decei,デチェイ
broșteanu,ブロスティアヌ
teofil,テオフィル
ioncu,ヨンク
colesnic,コレスニク
tora,トーラ
vasilescu,ヴァシレスク
potocean,ポトチェアン
cihărean,チハリアン
istodor,イストドル
micescu,ミツェスク
andra,アンドラ
postelnicu,ポステルニク
arhire,アルヒレ
anitaș,アニタシュ
hulubei,フルベイ
caramitru,カラミトル
kőrösi,チャバ
ciugulitu,シウグリトゥ
gafencu,ガフェンス
coldea,コルディア
rusu,ヴィイェリエ
ivanov,イヴァノフ
nicolescu,ニコレスク
bagdasar,バグダサル
șoimaru,ソイマル
ouatu,オワトゥ
codruța,コドルツァ
kövesi,コヴェシ
hrebenciuc,フレベンチュク
zorlescu,ゾレスク
israel,イスラエル
zinger,ジネガル
lea,リー
lexis,レクシス
cella,チェラ
delavrancea,デラブランチャ
dragnea,ドラグネア
măgureanu,マグレアヌ
vitalia,ヴィタリア
pavlicenco,パブリセンコ
pécsi,ペクシ
ősz,エース
lorena,ロレナ
madgearu,マジェール
spahiu,スパイユ
cazimir,カズィミール
zigu,ジグ
ornea,オルネア
zsolt,コス
kosz,ジョルト
gelu,ジェル
voican,ヴォイカン
lothar,ロタル
rădăceanu,ラダチェアヌ
stănculescu,スタンクレスク
la,ラ
bărbulești,バルブレシュティ
albon,アルボン
voitec,ヴォイテク
carmen,カルメン
ivașcu,イヴァスク
loghin,ログン
márta,カーロイ
drumen,ドルメン
mișelăricu,ミシェリク
haiducu,ハイドゥク
dănilă,ダニラ
cimpoi,チンポイ
nemeș,ネメシュ
zimmermann,ツィンメルマン
max,マックス
auschnitt,アウシュニット
morar,モラール
pătrașcu,パトラシュク
starenki,スタレンキ
săsărman,ササルマン
corvin,コルヴィン
radovici,ラドヴィチ
condeescu,コンディースク
lora,ロラ
șora,ショラ
stelescu,ステレスク
serafina,セラフィナ
moritz,モーリツ
vasilicaviorica,ヴィオリカ
nandriș,ナンドリシュ
păduraru,パーダル
titieni,ティティエニ
gianu,ジャヌ
bucurescu,ブクレスク
cârneci,カルネッチ
manuela,マヌエラ
hărăbor,ハラバー
william,ウィリアム
amorim,アモリム
vlasie,ヴラシエ
ilinoiu,イリノイウ
codreanu,コドレアヌ
darie,ダリー
dale,デイル
mihuț,ミフット
țițeica,ティツェイカ
bodochi,ボドチ
smiley,スマイリー
repan,レパン
jasmine,ジャスミン
black,ブラック
delcea,ガブリエラ
bobocica,ボボチーカ
ilinca,イリンカ
goia,ゴヤ
marta,マルタ
trancurainer,レイナー
moța,モタ
tudose,トゥドセ
guccifer,グッチファー
papadopol,パパドポル
vieru,ヴィエル
tomescu,トメスコウ
minodora,ミノドーラ
mitzura,ミツラ
monoran,モノラン
savin,サヴィン
erlend,エルレンド
krauser,クラウザー
lassaria,ラッサリア
ștefănescu,ステファネスク
caranfil,カランフィル
amna,アムナ
natașa,ナターシャ
raab,ラーブ
aurora,オーロラ
cornu,コルニュ
nelu,ネル
ploieșteanu,プロイエスタエヌ
mincu,ミンク
valeria,ヴァレリア
seciu,セシウ
marchiș,マルキシュ
chebac,チェバック
buzdugan,ブズゥガン
malaxa,マラクサ
andrian,アンドリアン
candu,カンドゥ
carp,カルプ
olguța,オルグツァ
catangă,カタンガ
fodor,オクタヴィアン
popârlan,ポパルラン
socaciu,ソカシウ
damian,ダミアン
poliana,ポリアナ
pristăvița,プリスタヴィツァ
tudorița,ツドリタ
chidu,キドウ
fochi,フォキ
ilea,イレア
stanoevici,スタノエヴィッチ
pavlu,パブルー
mironovici,ミロノヴィッチ
tudorache,トゥドゥラチェ
aristide,アリスティド
teică,テイカ
hepites,ヘピテス
țurai,ジュライ
ungheanu,ウンゲアヌ
richard,リチャード
franasovici,フランソヴィチ
eduardmichael,エドワード
grosu,グロス
homoștean,ホモシュタン
remus,レムス
kofler,コフレー
vlăduțescu,ヴラドゥシェスク
galin,ガリン
oprișor,オプリショル
orlea,オルレア
olimpia,オリンピア
ploae,フロエ
iridon,イリドン
zeța,ゼッタ
firea,フィーラ
margareta,マルガレータ
kitzl,キツル
toader,トアデール
rogoz,ロゴズ
florentinacristina,フローレンティーナ
ispas,イスパス
grindeanu,グリンデアヌ
pamfile,パムフィレ
graur,グラウル
patricia,パトリチア
țig,ツィグ
nanau,ナナウ
dijmărescu,ディジュマレスコ
mătcaș,マトカシュ
levente,モルナール
molnár,レヴェンテ
anita,アニタ
svetozar,スヴェトザル
popović,ポポヴィッチ
cireașă,チレアシャ
bugnar,バニャー
ralea,ラレア
ularu,ウラル
dorian,ドリアン
aanei,アアネイ
zamfirescu,ザムフィレスク
bolea,ボレア
jurgiu,ジュルギウ
chifu,チフ
horodniceanu,ホロドニチアヌ
giulia,ジュリア
nahmany,ナハマニー
leșe,レシェ
ceasar,シーザー
doncea,ドンチャ
ghelmegeanu,ゲルメギェアヌ
bara,バラ
astrid,アストリド
cîmpeanu,クンペアーヌ
ursache,ウルサケ
lucaci,ルカチ
nick,ニック
stuart,スチュアート
nichiteanu,ニシテーネ
fota,フォタ
lica,リカ
didier,ディディ
nunes,ヌネス
ștefania,シュテファニア
strătilă,ストラティラ
voinea,ヴォイネア
purcărete,プルカレーテ
palmeș,パルメシュ
berbec,ベルベック
aurescu,アウレスク
magda,マグダ
puskas,プシュカシュ
dolință,ドリンツァ
furculiță,フォルクリツァ
lebedinschi,レベディンシュ
ghenadi,ゲナディ
mitriuc,ミトリウク
mudreac,マドラック
negrei,ネグレイ
ciorbă,チョルバ
marcela,マルセラ
topor,トポル
horj,ホルジ
coste,コステ
vâlcan,ヴァルカン
benonie,ベノニエ
denisa,デニサ
golgotă,ゴルゴタ
ignea,イグネア
fazekaș,ファゼカス
badiu,バディウ
dudea,ドゥデア
târșă,トゥルシャ
pigulea,ピグレア
tauf,タウフ
panța,パンツァ
jovan,ヨヴァン
marković,マルコヴィッチ
cavallioti,カヴァリオティ
fifor,フィフォル
stoenac,ストエナク
chira,キーラ
carabela,カラベラ
steliancristian,ステリアン
măcelaru,マチェラル
finți,フィンツィ
dobrai,ドブライ
aida,アイダ
feli,フェリ
donose,ドノセ
boldor,ボルドール
oltin,オルティン
barna,バルナ
rada,ラダ
mihalcea,ミハルセア
antoche,アントケ
pădureanu,パドゥレアヌ
berzunțeanu,ベルズンシェアヌ
hărnuț,ハーナット
ingrid,イングリット
bisu,ビス
eneli,エネリ
rimes,リメス
balgiu,バルジュ
neculai,ネキュライ
predica,プレディカ
băcilă,バチラ
bunescu,ブネスク
cîrneală,シルネアラ
fugașin,フガシン
nathan,ネイサン
ross,ロス
margold,マーゴールド
biceanu,ビチェアヌ
ester,エスター
peony,ピオニー
chipirliu,チピルリウ
panduru,パンドゥル
feruță,フェルータ
costache,コスタケ
luis,ルイス
nițu,ニツ
chicu,チク
tania,タニア
dumitra,ドゥミトラ
levent,レベント
ulici,ウリチ
brotnei,ブロトニー
niga,ニガ
velisar,ヴェリサル
pcay,ペーカイ
terheș,テルヘシュ
barta,バルター
zaluschi,ザルスキ
nora,ノラ
leca,レカ
medeleni,メデレニ
trandafir,トランダフィール
rareș,レアシュ
sabrina,サブリナ
luminițateodora,ルミニタ
odobescu,オドベスク
poenaru,ポエナル
penescu,ペネスク
iancovescu,イアンコヴェスク
cordea,コルデア
jica,ジカ
adochiței,アドチシェイ
deák,ディーク
fică,フィカ
matiș,マティシュ
panc,パンチ
ardelean,アルデレアン
birta,ビルタ
lustig,ラスティグ
emanuela,エマヌエラ
ionica,イオニカ
ciucur,シウクル
junghetu,ユングヘトゥ
theo,テオ
ulmeni,ウルメニ
dorina,ドリナ
done,ドーン
mag,マグ
alcina,オルチーナ
dimitrescu,ドミトレスク
ugran,ウグラン
olivia,オリビア
nita,ニタ
igor,イゴル
cambir,キャンバー
odagiu,オダギウ
onea,オネア
ioana,イワナ
nestorescu,ネストレスク
tzancă,ツァンカ
uraganu,ウラガヌ
marcello,マルセル
cobzarju,コブザリウ
verbitchi,ヴェルビッチ
aarne,アアルネ
ghimiși,ギミシ
cănciulescu,カンチュレスク
karl,カール
heisenberg,ハイゼンベルク
comeagă,コマガ
andia,アンディア
poienaru,ポイナール
mitcu,ミク
smoleanu,スモレヌ
mihoc,ミホック
măndănac,マンダナック
pestritu,ペストリトゥ
poiana,ポイアナ
emaa,エマー
mario,マリオ
fresh,フレッシュ
maruca,マルカ
băiașu,バイアシュ
alecs,アレックス
năstoiu,ナストイウ
grămoșteanu,グラモステアヌ
mădăraș,マダラシュ
vescan,ベスカン
ciripan,シリパン
jugravu,ジュグラブ
saulescu,サウレスク
ocna,オクナ
sibiului,シビウルイ
eternul,エテルヌル
derbi,デルビー
zalău,ザラウ
dâmbovița,ドゥンボヴィツァケン
cugir,クジル
jimbolia,ジンボリア
piatra,ピアトラ
neamț,ネアムツ
maramureș,マラムレシュケン
covasna,コヴァスナケン
prahova,プラホヴァケン
motru,モトル
putna,プトナ
olt,オルトケン
oțelu,オチェル
gorj,ゴルジュケン
harghita,ハルギタケン
bocșa,ボクシャ
sălaj,サラージュケン
dolj,ドルジュケン
ilfov,イルフォヴケン
mehedinți,メヘディンチケン
isaccea,イサクチャ
rapid,ラピド
băneasa,バネアサ
teleorman,テレオルマンケン
ialomița,ヤロミツァケン
salcea,サルチャ
bechet,ベケト
găești,ガエシュティ
bihor,ビホルケン
zimnicea,ジムニチャ
orăștie,オラシュティエ
slatina,スラティナ
alexandria,アレクサンドリア
bușteni,ブシュテニ
timiș,ティミシュケン
dara,ダラ
râpa,ルパ
turceni,トゥルチェニ
sovata,ソヴァタ
vrancea,ヴランチャケン
cenei,チェネイ
gurba,グルバ
murfatlar,ムルファトラル
crișana,クリシャナ
sântana,スンタナ
ponticocaspică,ステップ
amara,アマラ
ardud,アルドゥド
șomcuta,ショムクタ
eurocorp,オウシュウゴウドウグン
livada,リヴァダ
vișeu,ヴィショウ
sus,スース
ponoarele,ポノアレレ
ostra,オストラ
săliște,サリシュテ
filpișu,フィルピシュ
săcel,サチェル
făget,ファジェット
cristuru,クリストゥル
măcin,マチン
deta,デタ
horea,ホリア
ciolpani,チョルパニ
valea,ヴァレア
vișeului,ヴィシェウルイ
hârlău,フルラウ
otopeni,オトペニ
bonțida,ボンツィダ
mamaia,ママイア
petroșnița,ペトロシュニツァ
vodă,ヴォダ
dărmănești,ダルマネシュティ
bârlad,バルラード
adjud,アドジュード
agnita,アグニタ
adamclisi,アダムクリシ
ciacova,キアコヴァ
iam,ヤム
frumos,フルモス
câmpina,クンピナ
orman,オルマン
mediaș,メディアシュ
lipova,リポヴァ
rovinari,ロヴィナリ
sarasău,サラサウ
calafat,カラファート
beiuș,ベユシュ
pata,パタ
săcueni,サクエニ
chiajna,キアジナ
partium,パルティウム
aerostar,アエロスター
țara,ツァラ
moților,モツィロール
buziaș,ブジアシュ
strehaia,ストレハイア
năsăud,ナサウド
păltiniș,パルティニシュ
tismana,ティスマナ
borzești,ボルゼシュティ
iernut,イェルヌート
air,エア
aiud,アユド
huși,フシ
berbești,ベルベシュティ
săpânța,サプンツァ
ianca,ヤンカ
mizil,ミジル
oltena,クラヨーヴァジドウシャ
jibou,ジボウ
gurbediu,グルベディウ
charlottenburg,シャルロッテンブルク
mic,ミク
panic,パニック
cărbunești,カルブネシュティ
cehu,チェフ
silvaniei,シルヴァニェイ
biertan,ビエルタン
lisa,リサ
bata,バタ
toplița,トプリツァ
râșnov,ルシュノヴ
veche,ヴェッキ
dalnic,ダルニク
vulcan,ヴルカン
sânmiclăuș,スンミクラウシュ
șieu,シェウ
turnișor,トゥルニショル
ghimbav,ギンバヴ
tapia,タピア
breaza,ブラーザ
tălmaciu,タルマチウ
sprie,スプリエ
sândominic,チークセントドモコシュ
câlnic,クルニク
ieud,イェウド
aninoasa,アニノアサ
cheresig,ケレシグ
viscri,ヴィスクリ
bala,バラ
beclean,ベクレアン
predeal,プレデアル
agigea,アジジャ
săvădisla,サバディスラ
oncești,オンチェシュティ
rășinari,ラシナリ
foresta,フォレスタ
mândruloc,ムンドルロック
orșova,オルショヴァ
girișu,ジリシュ
saschiz,サスキズ
transelectrica,トランスエレクトリカ
cenad,ケナド
călugăreni,ミクハーザ
azuga,アズガ
porolissum,ポロリッスム
mineu,ジメニェー
sărățel,サラツェル
nojag,ノジャグ
șugatag,シュガタグ
municipal,ムニシパル
anina,アニーナ
nouă,ノワ
săcele,サチェレ
belfir,ベルフィル
lindenfeld,リンデンフェルド
ineu,イネウ
mărășești,マラシェシュティ
dico,ディコ
și,シ
tigănaș,ツィガナシュ
sânnicolau,スンニコラウ
minimax,ミニマックス
rozavlea,ロザヴリャ
cisnădie,チスナディエ
hațeg,ハツェグ
certeju,セルテュジュ
simeria,シメリア
reghin,レギン
frumosu,フルモス
năvodari,ナボダリ
fcu,ウニヴェルシタテア
vladimirescu,ヴラディミレスク
făurei,ファウレイ
vinga,ヴィンガ
eforie,エフォリエ
viilor,ヴィイロル
dârjiu,ドゥルジウ
mărțișor,マルテニツァ
tisa,ティサ
sânpetru,スンペトル
nadășului,ナダシュルイ
selecția,セレクツィア
cavnic,カヴニク
tilișca,ティリシュカ
dinamo,ディナモ
jamu,ジャム
prejmer,プレジュメル
rotunda,ロトゥンダ
gazeta,ガゼタ
sporturilor,スポルトゥリロル
balotești,バロテシュティ
cotroceni,コトロチェニ
strâmtura,ストルムトゥラ
șirna,シルナ
troesmis,トロエミス
groupama,グルパマ
gaz,ガズ
metan,メタン
mediapro,メディアプロ
music,ミュージック
tineretului,スタジアム
electroputere,エレクトロプテレ
bistreț,ビストレッツ
bod,ボド
biharia,ビハリア
colonești,コロネスティ
negri,ネグリ
șimian,エールシェムイェーン
tinca,ティンカ
fratelia,フラテリア
uda,ウダ
ilia,イリア
casa,カーサ
presei,プレセイ
libere,リベレ
prislav,ペレヤスラヴェツ
romula,ロムラ
arcul,アルクル
triumf,トリウンフ
holt,ホルト
snagov,スナゴヴ
jilava,ジラヴァ
remetea,レメテア
chioarului,キオアルルイ
tărtăria,タルタリア
rocar,ロカー
tâncăbești,トゥンカベシュティ
petrom,ペトロム
histria,ヒストリアイセキ
jurnalul,ジュルナルル
național,ナツィオナル
ungheni,ウンゲニ
salina,サリーナ
păltinișanu,パルティヌシャヌ
afumați,アフマツィ
râmnicelu,ルムニチェル
clinceni,クリンチェニ
megamax,メガマックス
borcea,ボルチャ
repedea,レペデア
mitoc,ミトク
marca,マルカ
cochirleanca,コキルレアンカ
padeș,パデシュ
pănătău,パナタウ
găgești,ガジェシュチ
grivița,グリヴィツァ
semlac,セムラク
problema,ルーマニア
basarabeană,ソビエトレンポウカンケイニオケルベッサラビア
tichilești,ティキレシュティ
apold,アポルト
halmeu,ハルメウ
ciocârlia,チオカリア
fălciu,ファルチウケン
tuzla,トゥズラ
târgșoru,トゥルグショル
vechi,ベキ
șimand,シマンド
groșii,グロシイ
țibleșului,ツィブレシュルイ
lăpuș,ラプシュ
atid,アティッド
grup,フェロビアル
feroviar,ロマン
român,グループ
liberty,スタジアム
brateiu,シビウケン
băla,バラ
bârnova,ブルノバ
profesionistă,プロフェショニスタ
fotbal,フォトバル
hodod,ホドド
prefect,ケンチジ
ciurea,チュレア
storojineț,ストロイネツケン
comana,コマナ
galița,ガリツァ
timișoreana,ティミショアレアナ
golineasa,ゴーライネアサ
goruna,ゴルーナ
colibași,コリバシ
costinești,コスティネシュティ
dobridor,ドブリドル
chilia,チリア
dudeștii,ドゥデシュティイ
obârșiacloșani,クロシャニ
maidan,マイダン
periprava,ペリプラヴァ
șag,シャグ
canaralele,カナラレレ
hârșova,ハルショヴァ
șiria,シリア
plenița,ドルジュケン
cat,キャット
chichiș,キキシュ
pișchia,ピシュキア
dona,ドナ
bradu,ブラドゥ
someș,ソメシュケン
desa,デサ
roșia,ロシア
montană,モンタナ
filioara,フィリップオアラ
deveselu,デベセル
călinești,カリネネュティ
gilău,ジラウ
heci,ヘチ
ezeriș,エゼリシュ
grădinari,グレディナリ
moisei,モイセイ
subcarpați,スブカルパツィ
scobâlțeni,スコブルツェニ
luna,ルナ
nițchidorf,ニツキドルフ
tăul,タウル
lui,ルイ
podari,ポダリ
puiești,プイェシュティ
siminicea,シミニチャ
hemeiuș,ヘメイウシュ
vorona,ヴォロナ
open,オープン
radisson,ラディソン
blu,ブル
trântă,トレンタ
cricău,クリカウ
jidvei,ジドヴェイ
mănăstirea,サプンツァ
săpânțaperi,ペリモクゾウキョウカイ
noșlac,アルバケン
vințu,ヴィンツ
jos,ジョス
hopârta,ホプルタ
mehadia,メハディア
ciurila,チュリラ
apahida,アパヒダ
derbiul,デルビウル
vestului,ヴェストゥルイ
orhideea,オルヒデーア
towers,タワーズ
alexeni,アレクセニ
softrans,ソフトトランス
dorna,ドルナ
candrenilor,カンドレニロル
crasna,クラスナ
suhaia,スハヤ
poarta,フォクシャニ
focșanilor,ゲート
transylvania,トランシルヴァニア
primvs,プリムヴス
derby,デルビ
constanţa,コンスタンツァ
iaşi,ヤシ
timişoara,ティミショアラ
galaţi,ガラツィ
târgovişte,トゥルゴヴィシュテ
moldoveanu,モルドベアヌサン
braşov,ブラショフ
bistriţa,ビストリツァ
maramureş,マラムレシュケン
botoşani,ボトシャニケン
argeş,アルジェシュケン
timiş,ティミシュケン
neamţ,ネアムツケン
mureş,ムレシュケン
mehedinţi,メヘディンチケン
călăraşi,カララシケン
ialomiţa,ヤロミツァケン
dâmboviţa,ドゥンボヴィツァケン
europe,ヨーロッパ
carpathians,カルパティアサンミャク
