inna,茵娜
urlați,乌尔拉齐
însurăței,恩苏勒采伊
câmpeni,肯佩尼
otopeni,奥托佩尼
rovinari,罗维纳里
citibank,花旗银行
fălticeni,弗尔蒂切尼
berești,贝雷什蒂
negreștioaș,内格雷什蒂瓦什
beiuș,贝尤什
voluntari,沃伦塔里
mioveni,苗韦尼
sebeș,塞贝什
strehaia,斯特雷哈亚
dărmănești,德尔默内什蒂
agnita,阿格尼塔
gătaia,格塔亚
recaș,雷卡什
videle,维代莱
câmpulung,肯普隆格
cernavodă,切尔纳沃德
râșnov,勒什诺夫
năsăud,讷瑟乌德
sulina,苏利纳
ciacova,恰科瓦
abrud,阿布鲁德
bârlad,伯尔拉德
szabadság,自由
pașcani,帕什卡尼
iernut,耶尔努特
negrești,内格雷什蒂
horezu,霍雷祖
panciu,潘丘
avrig,阿夫里格
adjud,阿德茹德
calafat,卡拉法特
oltenița,奥尔泰尼察
mizil,米济尔
topoloveni,托波洛韦尼
nucet,努切特
beclean,贝克良
darabani,达拉巴尼
horă,霍拉舞
ianca,扬卡
buziaș,布济亚什
mediaș,梅迪亚什
luduș,卢杜什
jibou,捷博
ghimbav,金巴夫
călimănești,克利默内什蒂
săcueni,瑟库埃尼
techirghiol,泰基尔吉奥尔
toplița,托普利察
seini,塞伊尼
tismana,蒂斯马纳
oravița,奥拉维察
tășnad,特什纳德
odobești,奥多贝什蒂
novaci,诺瓦齐
tăuțiimăgherăuș,特乌齐默盖勒乌什
popeștileordeni,波佩什蒂莱奥尔代尼
petroșani,彼得罗沙尼
fundulea,丰杜莱亚
fieni,菲耶尼
babadag,巴巴达格
tălmaciu,特尔马丘
hârșova,哈索瓦
huși,胡希
petrila,彼得里拉
urziceni,乌尔济切尼
aiud,阿尤德
ștei,什泰伊
moreni,莫雷尼
marghita,马尔吉塔
medgidia,梅吉迪亚
huedin,胡埃丁
orșova,奥尔绍瓦
vlăhița,弗勒希察
sângeorzbăi,圣乔治伯伊
țicleni,齐克莱尼
țăndărei,岑德雷伊
făgăraș,弗格拉什
tâmpa,坦帕山
plopeni,普洛佩尼
teiuș,泰尤什
rădăuți,勒德乌齐
gherla,盖尔拉
mangalia,曼加利亚
mihăilești,米赫伊莱什蒂
ineu,伊内乌
chișineucriș,基希内乌克里什
simeria,锡梅里亚
hațeg,哈采格
covasna,科瓦斯纳
cisnădie,奇斯讷迪耶
bolintinvale,博林廷瓦莱
moinești,莫伊内什蒂
drăgăneștiolt,德勒格内什蒂奥尔特
sebiș,塞比什
nădlac,讷德拉克
predeal,普雷代亚尔
corabia,科拉比亚
borsec,博尔塞克
carpatair,卡帕特航空
salonta,萨隆塔
codlea,科德莱亚
călan,克兰
gheorgheni,格奥尔盖尼
carei,卡雷
vulcan,武尔坎
năvodari,讷沃达里
drăgășani,德勒格沙尼
lupeni,卢佩尼
târnăveni,特尔讷韦尼
brad,布拉德
dumbrăveni,敦布勒韦尼
brezoi,布雷佐伊
făurei,弗乌雷伊
baraolt,巴拉奥尔特
azuga,阿祖加
geoagiu,乔阿久
cavnic,卡夫尼克
slănic,斯勒尼克
săcele,瑟切莱
anina,阿尼纳
aninoasa,阿尼诺阿萨
tecuci,泰库奇
onești,奥内什蒂
breaza,布雷亚扎
tarutino,塔鲁季诺
uricani,乌里卡尼
boldeștiscăeni,博尔代什蒂斯克埃尼
reghin,雷京
mărășești,默勒谢什蒂
eforie,埃福列
bumbeștijiu,本贝什蒂日乌
scornicești,斯科尔尼切什蒂
siret,锡雷特
măgurele,玛格雷丽
electroputere,克拉约瓦电力机车设备
transcarpatia,喀尔巴阡鲁塞尼亚
transhumanță,移牧
săliște,瑟利什泰
bacău,巴克乌
broșteni,布罗什泰尼
moldova,摩尔达维亚
arthur,阿图尔
văitoianu,沃伊托伊安努
spîrlea,斯皮尔利亚
goga,戈加
ghica,吉卡
allysin,阿利森
chaynes,查恩斯
panait,帕纳伊特
istrati,伊斯特拉
spoerri,史波利
jakubinyi,贾库宾伊
piersic,彼耶尔西克
edina,埃迪纳
gallovitshall,加洛维特斯霍尔
burcică,布尔奇克
ikechi,伊克基
anya,安亚
marinca,马林卡
pătraș,珀特拉什
seling,赛林
romain,罗曼
ruzici,鲁西奇
cadanțu,卡丹图
dîncu,登库
albulescu,阿尔比莱斯卡
cleopatra,克莱奥帕特拉
crețu,克雷杜
daciana,达西安娜
sârbu,萨尔布
pintea,平提亚
ursuleac,乌苏莉克
hölszky,赫尔斯基
musicescu,穆西切斯库
lazarov,拉扎罗夫
vladimir,弗拉德
sepsi,萨比斯
babeș,巴贝什
mazilu,马济卢
iancu,扬库
józsef,杜达什
dudás,约瑟夫
ilena,艾莲娜
gheorghi,乔治
colin,科林
kolles,科勒斯
steve,史蒂夫
holmes,霍姆斯
fiscuteanu,费斯库特阿努
rus,鲁斯
hellman,赫尔曼
arnold,阿诺德
rosé,罗斯
trăistariu,维维斯塔里乌
funar,富纳尔
rainea,莱内
bănică,巴尼卡
percă,佩尔克
steriadi,斯特里亚迪
luminița,吕明妮塔
miriuță,米留彻
mălina,马琳娜
olinescu,奥林斯库
negulesco,尼古拉可
simina,西米娜
grigoriu,格里格留
take,塔凯
lungu,伦古
dinică,迪尼察
bumbescu,布姆贝斯库
cioroianu,齐奥罗亚努
flondor,弗隆多
sándor,桑德
kányádi,卡尼亚迪
zoltan,佐尔坦
kelemen,克列门
gray,格雷
strămăturaru,斯特勒默图拉鲁
charles,查尔斯
bruck,布鲁克
nichita,尼基塔
stănescu,斯特内斯库
alfred,阿尔弗雷德
mendelsohn,门德尔松
șerbănescu,塞伯内斯库
blaga,布拉加
steff,什泰夫
caudella,考德拉
negrișan,内格里尚
blaier,布莱尔
moga,莫加
păduraru,珀杜拉鲁
iovan,伊奥万
ierunca,叶伦卡
gigurtu,吉格图
plahotniuc,普拉霍尼克
soltan,索尔坦
sorina,索丽娜露米妮塔
plăcintă,普勒钦特
luttwak,勒特韦克
lili,莉莉
poór,普尔
hunor,克莱门特
labiș,拉比
ionescuquintus,约内斯库昆图斯
rona,萝娜
hartner,哈尔特尼
racoviță,拉科维策
popistașu,波皮斯塔舒
szabédi,拉斯洛
mironescu,米罗内斯库
lazariuc,拉扎里
ghenea,珍娜
russo,鲁索
anna,安娜
széles,瑟莱斯
deac,代亚克
gigel,格奥尔基
andrás,安德拉斯
hatházi,哈塔兹
ciugureanu,丘古雷亚努
lesko,莱斯克
arghezi,阿格兹
vitali,维塔利
holostenco,霍洛斯坦科
adam,亚当
bejan,比赞
antoine,安托万
goléa,戈莱亚
emanoil,伊曼尼尔
petruț,彼得鲁特
vișoiu,维绍尤
sitaru,西塔鲁
alex,亚历克斯
iordăchescu,伊尔塔斯库
miodrag,米奥德拉格
belodedici,贝洛德迪奇
alla,阿拉
baianova,巴亚诺瓦
sima,希马
radici,拉迪奇
thorma,亚诺什
decebal,德切巴尔
remeș,雷梅斯
golopența,亚历山德鲁
pepene,佩佩内
julius,朱利奥
popper,波普尔
jula,尤拉
elina,依琳娜
löwensohn,卢雯宋
cilibi,切莱比
moise,莫伊斯
tismăneanu,斯特纳内亚努
țurcanu,楚尔卡努
grozav,格罗萨夫
grigorescu,格里格雷斯库
hațieganu,哈齐耶加努
mosko,莫斯科
alkalai,阿尔卡莱
pena,彭拿
eric,埃里克
bicfalvi,比化维
nicholas,尼可拉斯
georgescuroegen,乔治斯古罗简
cristeana,克里斯蒂亚娜
ursu,乌尔苏
ghelber,盖尔贝尔
ehrittvanc,艾利特范克
baba,巴巴
pița,皮察
dodean,多迪安
elvira,埃尔维拉
constant,康斯唐
avrămia,阿夫拉米亚
culcer,库尔切
pintilie,品特莱
rebreanu,雷布列亚努
caragiu,卡拉玖
stoichiță,斯托伊基采
dragalina,德拉加利纳
hănceanu,汉西阿姆
frățilă,弗勒齐勒
pușcău,帕丝考
costi,科斯蒂
karmitz,卡米兹
udrea,乌德里亚
vermont,佛蒙特
beligan,贝里根
dorotheea,多萝西亚
caragianistoienescu,卡拉贾尼斯托埃内斯库
bostan,博斯坦
nicolschi,尼科尔斯基
mariavictoria,玛丽亚维多利亚
drăguș,德拉古斯
keșerü,凯谢吕
mirea,米拉
măroiu,马罗尤
toșca,托斯卡
sîncrăian,辛克勒扬
moșuc,莫苏克
caterina,卡特琳娜
attila,鲍尔蒂什
bartis,奥蒂洛
moșanu,莫萨努
anatol,阿纳托里亚
șalaru,沙拉鲁
ciulei,丘列伊
guțu,古图
gorghiu,戈尔吉乌
faciu,法丘
colea,科莱亚
piștereanu,皮斯特努
chirtoacă,基尔托阿科
ștef,斯戴夫
mesian,梅西安
antoci,伊格
hergheligiu,赫尔盖莱久
jules,朱尔斯
perahim,佩拉欣
denis,丹尼斯
alibec,艾利比
andrew,安德鲁
lucien,卢西安
goldmann,戈尔德曼
leontina,利昂蒂娜
văduva,瓦杜娃
bart,博斯
stürmer,斯特默尔
simionescu,西苗内斯库
aristide,阿里斯蒂德
razu,拉祖
medeea,梅迪亚
serge,塞尔日
moscovici,莫斯科维奇
budeanu,布代亚努
majearu,马热亚鲁
vasiliu,瓦西里
pellea,佩莱亚
bosianu,博西亚努
pierre,皮埃尔
hassner,阿斯奈
mihnea,米尼亚
mirabela,米拉贝拉
dauer,多尔
mihăileanu,米哈伊列亚努
mitrea,米特利
păun,珀温
fugaru,富加
davidov,达维多夫
cosoi,科索伊
wagnerrégeny,瓦格纳雷吉尼
rada,拉达
vadim,瓦迪姆
sturza,斯图尔扎
câmpeanu,坎佩亚努
pescariu,佩斯卡留
constantinescuclaps,康斯坦丁内斯库克拉普斯
gherghel,盖尔格尔
copilul,科皮卢尔
de,德
aur,奥尔
bittman,比特曼
anastasie,阿塔纳谢
bratu,布拉图
nyiszli,尼斯利
carmen,卡门
nane,南恩
budescu,布德斯库
hariclea,哈利克里娅
darclée,达克利
meleșcanu,梅莱什卡努
mitu,米图
tudorel,图多雷尔
muntean,蒙泰安
minune,米尼内
tamás,陶马什
dalma,达尔马
nemțoc,内姆措克
tătărăscu,塔塔内斯库
vaidavoievod,费达沃埃沃德
dida,迪达
drăgan,德拉甘
nicolaescu,尼古拉耶斯库
d,迪米特里耶
xenopol,克塞诺波尔
parhon,巴洪
iureș,尤勒斯
belcea,贝尔琪亚
nemescu,南梅斯古
vișoianu,维绍亚努
zotincă,索天卡
minea,米内亚
teclu,特克卢
sănmărtean,桑马特安
teodorini,堤多里尼
mario,马里奥
livio,利维奥
eliezer,埃利泽
berkovits,贝尔科维茨
max,马克斯
blecher,布莱切
tăslăuanu,塔斯劳安努
sudan,苏丹
raulcristian,劳尔
săraru,基斯甸
druc,德鲁克
șumudică,苏穆迪卡
dj,康斯坦丁
sava,萨瓦
adriean,阿德里安
videanu,维代亚努
isidore,伊西多尔
isou,伊祖
cristescu,克里斯泰斯库
mitulescu,米图雷斯库
negru,内格鲁
gângă,根格
edeleanu,埃德亚努
brumaru,布鲁玛鲁
jora,乔拉
fâșie,费西
bordeianu,博德亚努
bălănescu,巴拉内斯库
dana,达娜
nălbaru,纳巴鲁
goldstein,戈德斯坦
hoștină,奥斯迪那
bute,布特
a,亚历山德鲁
rosetti,罗塞蒂
eugencristian,欧根克里斯蒂安
papaiani,帕帕亚尼
ramona,拉蒙娜
serafim,塞拉菲姆
urechean,乌列基安
dem,德姆
bolintineanu,博林蒂内亚努
buș,巴斯
dean,迪恩
beța,贝察
julie,朱莉
mayaya,玛雅雅
doru,多鲁
costea,科斯泰亚
corbeanu,科尔贝亚努
weigl,韦格
țambrea,塔布瑞亚
proca,普罗喀
elenacristina,埃伦娜克里斯蒂娜
marchisano,马尔基萨诺
béla,贝拉
károlyi,卡罗里伊
olariu,奥拉留
nazare,纳扎尔
pál,泰莱基
teleki,帕尔
cotabiță,科塔比塔
cantacuzinogrănicerul,坎塔库齐诺
argeșanu,阿格萨努
ciupercă,丘佩尔克
noni,诺尼
ene,埃内
geo,基欧
da,达
silva,撕拉瓦
tataee,塔塔伊
comissiona,科密申纳
philippide,菲利普德斯
băgulescu,伯古列斯库
arsenescu,阿塞内斯库
mărgineanu,默尔吉内亚努
giulia,朱莉娅
anghelescu,安格列斯库
baratky,久洛
stănculescu,斯坦库勒斯库
chițu,姬图
vodă,沃达
ilarion,教伊拉里翁
știrbei,什蒂尔贝伊
gheo,杰奥
thomas,托马斯
nägler,纳格勒
papuc,罗塔鲁
buzărnescu,布扎内斯库
pîrvan,珀尔万
manoilescu,马诺莱斯库
bleonț,布莱翁茨
henry,亨利
deutschmeister,德意志迈斯特
turcan,图尔坎
bogza,博格萨
relu,雷卢
fenechiu,费内基乌
moskowitz,莫斯科维茨
bitănescu,比塔内斯库
pricopie,普里科皮耶
iliu,伊柳
erhan,埃尔汉
zadik,扎迪克
guess,格斯
who,胡
samoilă,萨摩伊拉
mârza,默尔札
sari,萨里
duca,杜卡
christescu,克里斯泰斯库
prigoană,普利戈亚纳
negruzzi,内格鲁济
prezan,普雷赞
spiru,斯皮鲁
macellariu,默切拉留
anastasia,安娜斯塔西亚
camil,卡米尔
popescugopo,波佩斯库戈波
victoraș,维克多拉斯
axel,阿克塞尔
moustache,穆斯塔切
bíró,比罗
aylin,艾琳
cadîr,卡迪尔
zaharescu,查哈勒斯库
moculescu,莫库列斯库
eszter,埃斯特
tompa,汤帕
rukmini,鲁克米尼
callimachi,卡利马基
tatiana,塔蒂亚娜
loteanu,洛泰纳
florariu,弗洛拉留
potocean,波托西恩
moșoiu,莫绍尤
bubu,布布
cheloo,切尔卢
istodor,伊斯托多尔
bobby,鲍比
păunescu,帕勒斯库
zorlescu,佐尔莱斯库
motoi,莫托伊
cella,塞拉
serghi,塞尔吉
georgiana,乔治亚娜
drumen,德鲁门
clara,克拉拉
ioanel,约安内尔
sinescu,西内斯库
delavrancea,代拉夫兰恰
coșereanu,库埃雷亚努
demian,德米安
istrate,伊斯特拉特
micescu,米切斯库
livezeanu,利韦泽亚努
hrebenciuc,赫本丘克
nicolescu,尼科列斯库
veroiu,贝罗
surdu,苏尔杜
jerryco,杰里科
andra,安德拉
mișelăricu,米塞拉里库
vitalia,维塔利亚
pavlicenco,帕夫利琴科
naghi,纳吉
justin,积斯甸
arhire,阿赫雷
farcas,法卡丝
hulubei,胡卢贝伊
margareta,玛格丽塔
pâslaru,帕斯拉鲁
petra,佩特拉
lea,丽雅
lexis,莱克希斯
albon,阿尔邦
sorescu,索雷斯库
lică,里克
movilă,莫维勒
grasu,德拉戈什
xxl,尼基福尔
gregory,格雷戈里
márta,玛尔塔
dănilă,丹尼拉
teodorovici,特奥多罗维奇
gârbea,吉尔比亚
saizescu,塞泽斯库
piedone,佩多
dinulescu,蒂努列斯库
marinică,马里尼卡
marioara,马里瓦拉
condurache,康德里奇
obrenovici,欧布雷诺维奇
ada,阿达
condeescu,孔代埃斯库
serafina,莫里茨
moritz,塞拉菲娜
șora,修拉
morar,莫雷尔
titieni,蒂蒂尼
vasilicaviorica,维奥丽卡
nuțu,纳图
daneliuc,丹流克
darie,达里
alexia,亚历克西娅
talavutis,塔拉乌蒂斯
ioanițiu,约阿尼丘
amos,阿莫斯
guttman,格特曼
eliad,伊里亚德
truică,特鲁卡
țițeica,特捷伊卡
smiley,斯迈利
breban,布雷班
nedeff,奈德夫
buhagiar,布哈吉亚尔
petrescucomnen,彼得雷斯库科姆嫩
țurcașiu,特卡西
delcea,德尔恰
oproiu,奥普罗尤
andi,安迪
vasluianu,瓦斯卢亚努
siminie,西米尼
bobocica,博博奇卡
similea,西米莉亚
noah,诺亚
brosch,布勒施
elan,伊兰
schwartzenberg,施瓦曾伯格
angel,安杰尔
tîlvăr,特尔沃尔
octav,奥克塔夫
onicescu,奥尼采斯库
istván,伊斯特云
broșteanu,布罗蒂亚努
lassaria,拉萨里亚
boilă,玻利拉
mia,米娅
braia,布拉娅
deatcu,迪特库
jesus,杰斯
del,戴尔
cerro,塞罗
cazan,卡赞
miheleș,米赫莱斯
chirilă,奇里拉
lora,洛拉
leny,莱尼
caler,卡勒
lovinescu,洛维内斯库
pandele,潘德雷
banias,巴尼亚什
clody,克洛迪
bertola,贝尔托拉
pintilei,平蒂利
malvina,马尔维娜
urșianu,乌尔夏努
mitzura,米祖拉
ifrim,伊夫里姆
duță,杜塔
manuela,曼努埃拉
hărăbor,哈甘布若
ilieșiu,伊利埃休
huian,惠安
crișan,克里桑
bănărescu,伯讷雷斯库
mariu,马里乌斯
manouly,曼诺
ogășanu,奥加萨努
caranfil,卡兰费
bodochi,博多奇
nicodim,尼库丁
ungurin,恩古里亚努
andrian,安德里安
candu,坎杜
ipate,伊帕特
csaba,恰巴
ciugulitu,丘古利图
neda,内达
teică,泰卡
ricky,瑞奇
dandel,丹德尔
teodosiu,泰多苏
désirée,德西蕾
malonga,马隆加
pavlu,帕弗卢
viziru,比斯鲁
velniciuc,韦尔尼西克
visu,维苏
vizante,维扎特
pușcaș,普什卡什
valeca,瓦莱卡
frunză,弗伦扎
sergovici,谢尔戈维奇
márton,毛尔通
venczel,文采尔
păcuraru,帕库拉鲁
kitzl,基茨
chiriac,奇里亚克
rogoz,罗戈斯
eduardmichael,艾都华麦可
ghibănescu,吉贝内斯库
huștiu,胡斯图
lăpușan,纳普山
olimpia,奥林匹娅
pimen,皮文
zainea,扎伊拿
mazăre,马萨雷
miculescu,米库列斯库
hilda,希尔达
péter,佩特
vafloana,帕尔乌莱斯库
pârva,麦穗鱼
isabela,伊莎贝拉
neamțu,尼姆图
bațu,巴图
anda,安达
onesa,奥内萨
oprișor,普里莎
ozana,奥扎纳
barabancea,巴拉班卡
cartianupopescu,卡蒂亚努波佩斯库
verdeș,迪斯
cotimanis,科蒂马尼斯
chris,克里斯迪安
serban,舍班
bălăiță,巴拉塔
rudi,鲁迪
rosenfeld,罗森菲尔德
ender,恩代尔
memet,梅梅特
ratiu,拉蒂乌
colțescu,科莱斯库
jela,耶拉
dușa,杜沙
erwin,埃文
stoff,斯托夫
anne,安娜
fabini,法比妮
arghira,阿尔吉拉
cișmaș,奇什马什
sudureac,苏杜雷亚克
papadopol,帕帕多波尔
lucaci,卢卡奇
dichiseanu,狄奇塞努
danmircea,丹米尔恰
dorian,多利安
iekel,伊耶歌
savin,萨温
cuzin,库津
tudorascu,图多拉斯库
bugnar,巴格纳
didier,迪
nunes,努涅斯
bobonete,波波内特
adél,阿德尔
csobot,乔博特
puiumircea,普优米尔卡
lăscuș,拉斯库斯
seleși,塞列斯
sapdaru,萨普达鲁
benone,伯诺娜
sinulescu,辛耳斯丘
nahmany,纳赫曼
miklos,米克洛什
nechiti,内基蒂
amna,阿姆娜
strunilă,斯特鲁尼拉
mărdărescu,默尔德雷斯库
cotovelea,科托韦莱亚
gruzsniczki,格鲁兹尼茨基
purcărete,普卡雷特
frâncu,弗伦库
bálint,巴尔林特
adorjáni,阿多贾尼
aurescu,奥雷斯库
condrea,康德里亚
vergil,韦尔吉列
olguța,奥古塔
berbec,贝尔贝克
teban,特班
văncică,凡希加
buzdugan,布资杜甘
nelu,内罗
bălășoiu,伯勒绍尤
lumi,鲁米妮塔
docan,多坎
florinel,弗洛里内尔
voicu,沃伊库
mirică,马里卡
ilinca,伊琳卡
romcescu,罗姆斯库
tutunaru,图图纳鲁
patriciu,帕特里克
achimașcadariu,阿奇玛什卡达留
voiculescu,沃库列斯库
baer,贝尔
băcilă,贝西拉
minelli,米内利
benoni,本奥尼
ardelean,阿德莱恩
lazarescu,拉扎雷斯库
dennis,丹尼斯
man,曼
dariusadrian,达里乌斯阿德里安
chipirliu,奇皮尔鲁
galupa,加鲁帕
ruxandra,鲁珊德拉
zenide,泽尼德
rugină,鲁吉纳
topor,德波尔
tauf,陶夫
adrianioan,阿德里安伊万
veștea,韦什泰亚
cesonia,切塞尼亚
vasiu,瓦苏
cicâldău,西卡尔道
mățan,默灿
băluță,巴路达
macanache,马赛南奇
ursea,厄西亚
emilian,艾米利亚
uricaru,乌里卡鲁
mărculescu,马库莱斯库
julia,朱莉娅
lucía,露西娅
dani,达妮
oțil,奥蒂伊
rengle,连格尔
mariusconstantin,马吕斯康斯坦丁
budăi,布戴
allen,艾伦
coliban,科利班
sînziana,森济娅娜
nicola,尼古拉
opritescu,奥普捷列斯库
grama,格拉玛
crețulescu,克雷楚列斯库
feli,费利
donose,多诺塞
miriam,米丽亚姆
bulgaru,布尔加鲁
lucianovidiu,卢奇安奥维迪乌
heiuș,海尤什
finți,芬西
oltin,奥尔丁
hurezeanu,胡雷塞亚努
ghibu,吉布
măcelaru,马塞拉鲁
flora,弗洛拉
fatma,法特玛
mohamed,穆罕默德
berzunțeanu,贝尔宗策阿努
haiduc,海杜克
guran,古兰
miruna,米鲁纳
lăzărescu,拉扎雷斯库
sergiuvasile,塞尔久
grădinaru,格拉迪纳鲁
berariu,贝拉留
hărnuț,哈特纳
ingrid,英格丽
bisu,比苏
buhus,布胡什
negoescu,内戈埃斯库
secăreanu,塞克雷亚努
bunescu,布内斯库
olimpiu,奥林皮乌
moruțan,莫鲁坦
mihăiță,米哈塔
țigănescu,齐格内斯库
pașcanu,帕斯卡努
solomon,所罗门
catrinel,卡特里内尔
dănăiață,达纳阿塔
cîrneală,西尼亚拉
oancea,万恰
vârciu,瓦尔乔
erga,埃尔加
predica,普雷迪卡
fugașin,弗加辛
dima,迪马
theo,西奥
marton,马顿
eneli,埃内利
matteo,马特奥
kerim,克里姆
dumbravă,敦巴娃
mihăilă,米哈伊拉
curceanu,库尔恰努
talabă,塔拉伯
feruță,费卢塔
cazac,卡扎克
lumânare,卢曼纳
oanță,万策
gall,加尔
chicu,基库
petcu,佩特库多斯皮内斯库
militarumașca,米利塔鲁马什卡
collins,柯林斯
valentine,瓦伦丁
filimon,菲利蒙
mateisieburg,马泰
rodrig,罗德里格
andrisan,安德里森
cernat,塞纳特
voican,沃伊坎
mărghidan,玛吉丹
alyssia,艾莉西亚
kent,肯特
cioroiu,乔洛尤
dican,迪坎
cristuțiu,克里斯图蒂乌
zuckerman,祖克曼
aprodu,阿普罗杜
galeș,盖尔斯
dumitra,杜米特拉
diță,蒂塔
bănescu,巴内斯库
panamarenco,巴拿马兰科
ulici,乌利奇
lustig,卢斯蒂格
trandafir,特兰达菲尔
crina,柯丽娜
logigan,洛吉根
levent,利文特
sali,萨利
nanoveanu,纳瓦努努
petrut,彼得鲁特
vlady,弗拉迪
cnejevici,内涅维奇
petrov,彼得罗夫
cordea,科尔代亚
aradits,阿拉丁斯
barta,巴塔
roxen,罗克森
nora,诺拉
madalina,马达丽娜
marcian,马尔西安
lazar,拉扎尔
pocol,帕科尔
păuleț,保莱茨
șerbanionda,谢尔班
jador,亚多尔
catalina,卡塔莉娜
ionut,约努
bora,博拉
kerek,克雷克
velvet,弗尔维
medeleni,梅代莱尼
kerekes,凯赖凯什
gavrilă,加夫里拉
panaitescu,帕奈特斯库
oană,奥阿纳
iulianalexandru,亚历山德鲁
muraru,穆拉鲁
teniță,泰尼塔
adochiței,阿多奇切伊
anea,阿妮
fetecău,费泰克乌
damixie,达米克西
silișteanu,锡利斯特努
lee,李
heart,哈特
ouatu,奥瓦图
stetcu,斯戴古
sabina,萨比纳
branduse,布兰德斯
negulescu,内古雷斯库
costache,科斯塔凯
codin,科丁
maticiuc,马蒂奇克
panc,潘克
porojnicu,波罗尼古
junghetu,琼赫图
florescu,弗洛雷斯库
emanuela,埃马努艾拉
ionica,埃恩尼卡
mititescu,米蒂特斯库
baniciu,巴尼丘
dorina,多丽娜
done,多内
vescan,威斯坎
târziu,塔齐乌
bădărău,巴达劳
ela,埃拉
picoș,皮科斯
tzancă,赞卡
uraganu,乌拉加努
gae,加埃
pestritu,佩斯特里图
grămoșteanu,格拉莫斯蒂亚努
victoriaștefania,维多利亚斯特凡妮娅
petreanu,彼得雷亚努
ugran,乌格格兰
săndulescu,森杜列斯库
cocis,科西斯
olivia,奥利维娅
nita,尼察
maruca,马鲁卡
băiașu,巴亚苏
alecs,亚历克斯
năstoiu,纳斯托尤
rose,罗斯
jugravu,朱格拉武
fresh,弗莱什
păsărin,帕萨林
zaharia,扎哈里亚
răducu,拉杜库
emaa,埃玛
cheloiu,切罗伊
alcina,阿尔西娜
dimitrescu,迪米特雷斯库
crenguta,克伦古塔
hariton,哈里顿
pădureanu,帕杜里亚努
saulescu,索莱斯库
romaniuc,罗曼纽克
paraschiv,帕拉西夫
aureliu,奥雷留
surulescu,苏勒列斯库
mădăraș,马达拉什
ciripan,西里潘
chesa,切萨
aida,阿依达
economu,埃科诺姆
cambir,坎比尔
odagiu,奥达久
marcello,马塞洛
cobzarju,科布扎茹
ghimiși,吉米西
mihoc,米霍克
verbitchi,韦尔比奇
nestorescu,内斯托雷斯库
comeagă,科马格
andia,安迪亚
poienaru,波耶纳鲁
mitcu,米丘
smoleanu,斯莫利亚努
amăistroaie,阿马伊斯特罗耶
poiana,波亚纳
meda,梅达
măndănac,曼达纳克
vâlcea,沃尔恰县
alba,阿尔巴县
vârghiș,沃尔吉什乡
prahova,普拉霍瓦县
neamț,尼亚姆茨县
maramureș,马拉穆列什县
carașseverin,卡拉什塞维林县
zam,扎姆乡
șoarș,什瓦尔什乡
cerna,切尔纳乡
brebu,布雷布乡
ungheni,温盖尼
teleorman,特列奥尔曼县
sălaj,瑟拉日县
harghita,哈尔吉塔县
ormeniș,奥尔梅尼什乡
ilfov,伊尔福夫县
dâmbovița,登博维察县
gorj,戈尔日县
olt,奥尔特县
mehedinți,梅赫丁茨县
mureș,穆列什县
perieți,佩列齐乡
ialomița,雅洛米察县
bârca,伯尔卡乡
dolj,多尔日县
fcsb,布加勒斯特星足球俱乐部
argeș,阿尔杰什县
bihor,比霍尔县
bistrițanăsăud,比斯特里察讷瑟乌德县
faraoani,法拉瓦尼乡
slatina,斯拉蒂纳
avrămești,阿夫勒梅什蒂乡
alexandria,亚历山德里亚
vrancea,弗朗恰县
cluj,克卢日县
pianu,皮亚努乡
timiș,蒂米什县
ștefănești,什泰弗内什蒂
crișana,克里沙纳
cenei,切内伊乡
livezi,利韦济乡
băneasa,伯尼亚萨
malnaș,马尔纳什乡
bălăceanu,伯勒恰努乡
berceni,贝尔切尼乡
voinești,沃伊内什蒂乡
fântânele,芳特内莱乡
păcureți,珀库雷齐乡
cândești,肯代什蒂乡
ciolpani,乔尔帕尼乡
buhoci,布霍奇乡
bucureșci,布库雷什奇乡
brusturoasa,布鲁斯图罗阿萨乡
buceș,布切什乡
mănești,默内什蒂乡
bunila,布尼拉乡
burjuc,布尔茹克乡
lapoș,拉波什乡
posești,波塞什蒂乡
ponoarele,波诺阿雷莱乡
paleu,帕莱乌乡
costești,科斯泰什蒂
glod,歌罗德村
fulga,富尔加乡
bătrâni,伯特勒尼乡
buciumi,布丘米乡
moisei,莫伊塞乡
sălciua,瑟尔恰瓦乡
stolpersteine,绊脚石
mamaia,马马亚
comișani,科米沙尼乡
gherghița,盖吉察乡
butimanu,布蒂马努乡
lungești,伦杰什蒂乡
cosminele,科斯米内莱乡
sântandrei,圣安德烈乡
cerașu,切拉舒乡
cetate,切塔泰乡
ceptura,切普图拉乡
ciorani,乔拉尼乡
bătrâna,伯特勒纳乡
asău,阿瑟乌乡
almaș,阿尔马什乡
adamclisi,阿达姆克利西乡
vișinești,维希内什蒂乡
clujmănăștur,梅讷施图尔
partium,帕蒂乌姆
colceag,科尔恰格乡
moțăieni,莫策耶尼乡
călușarii,卡鲁斯仪式舞蹈
păunești,珀乌内什蒂乡
chiajna,基亚伊纳乡
dumbrăvești,敦布勒韦什蒂乡
puiești,普耶什蒂乡
ziduri,济杜里乡
cerbăl,切尔伯尔乡
bănița,伯尼察乡
gornet,戈尔内特乡
talea,塔莱亚乡
comună,罗马尼亚的乡
coșereni,科谢雷尼乡
reci,雷奇乡
bogda,博格达乡
