lionel,利昂内尔
marcell,马塞尔
jacobs,雅各布斯
tedesco,泰代斯科
adalberto,阿达尔贝托
rebecca,丽贝卡
grassl,格拉斯尔
zaniolo,扎尼奥洛
pinamonti,皮纳蒙蒂
sonego,索内戈
lucilla,露西拉
boari,博阿里
zaccagni,扎卡尼
bottaro,博塔罗
bocciardo,博恰尔多
fichera,菲凯拉
tita,蒂塔
chinazzo,基纳佐
loreta,洛蕾塔
gulotta,古洛塔
achenza,阿肯扎
cavallucci,卡瓦卢奇
zaynab,扎伊纳布
dosso,多索
baldassarri,巴尔达萨里
martinenghi,马丁嫩吉
malfatti,马尔法蒂
cecchetto,切凯托
pellegri,佩莱格里
plizzari,普利扎里
patrick,帕特里克
cutrone,库特罗内
pellacani,佩拉卡尼
sbertoli,斯贝尔托利
gabbia,加比亚
criscio,克里肖
felipe,费利佩
drugovich,德鲁戈维奇
jordan,若尔丹
bardella,巴尔代拉
dell'aquila,德拉奎拉
vavassori,瓦瓦索里
berrettini,贝雷蒂尼
rogora,罗戈拉
sfiligoi,斯菲利戈伊
barbaro,巴尔巴罗
magliozzi,马格里奥齐
pajola,帕约拉
galmanini,加尔马尼尼
giuseppa,朱塞帕
robucci,罗布奇
acchini,阿基尼
schisano,斯基萨诺
serpico,塞尔皮科
molteni,莫尔泰尼
vicario,维卡里奥
panizza,帕尼扎
geraci,杰拉奇
fantin,凡廷
boggioni,博焦尼
soares,索阿雷斯
barlaam,巴拉姆
bellè,贝莱
parente,帕伦特
cassinelli,卡西内利
tonali,托纳利
lavia,拉维亚
galassi,加拉西
pinali,皮纳利
cocciaretto,科恰雷托
romanò,罗马诺
mosca,莫斯卡
bridi,布里迪
megli,梅利
carini,卡里尼
castrovilli,卡斯特罗维利
bertagnolli,贝尔塔尼奥利
crispi,克里斯皮
feola,费奥拉
gabbrielleschi,加布里埃莱斯基
marsaglia,马尔萨利亚
cesarini,切萨里尼
aldegani,阿尔德加尼
constantini,康斯坦蒂尼
mondelli,蒙代利
cynthia,辛西娅
mascitto,马希托
musetti,穆塞蒂
jannik,扬尼克
sinner,辛纳
santandrea,圣安德烈亚
duranti,杜兰蒂
ioriatti,约里阿蒂
esther,埃丝特
robertson,罗伯特松
capetta,卡佩塔
alberta,阿尔贝塔
santuccio,圣图乔
domiziana,多米齐亚娜
fidanza,菲丹扎
tammaro,塔马罗
cassandro,卡桑德罗
ceccon,切孔
inverni,因韦尔尼
zunino,祖尼诺
enrica,恩丽卡
mulas,穆拉斯
viale,维亚莱
balerdi,巴勒迪
mele,米尔
frattesi,弗拉泰西
vitinho,域天奴
cusinato,库西纳托
zazzeri,扎泽里
burdisso,布迪索
azzolina,阿佐莉娜
pietrini,彼得里尼
guazzini,瓜齐尼
zeppieri,泽皮耶里
fazio,法齐奥
miressi,米雷西
acerenza,阿切伦扎
erica,埃丽卡
fagioli,法吉奥利
piccolruaz,皮科尔鲁阿斯
lucrezia,卢克雷齐娅
delago,德拉戈
loredana,洛雷达娜
trigilia,特里吉利亚
mahmood,马哈茂德
milan,米兰
tadić,塔迪奇
pobega,波贝加
efrem,埃弗雷姆
morelli,莫雷利
razzetti,拉泽蒂
frigo,弗里戈
benedetta,贝妮代塔
pilato,皮拉托
helmut,赫尔穆特
marziali,马尔齐亚利
oberhammer,奥伯哈默
erlacher,埃拉赫尔
guillaume,纪尧姆
sighel,西盖尔
bellò,贝洛
raspadori,拉斯帕多里
favaretto,法瓦雷托
zerbin,泽尔滨
serio,塞里奥
nicosia,尼科西亚
lieto,列托
centracchio,琴特拉基奥
cantisani,坎蒂萨尼
carnesecchi,卡内塞奇
cobolli,科博利
baldineti,巴尔迪内蒂
deplano,德普拉诺
belletti,贝莱蒂
battiston,巴蒂斯顿
fossali,福萨利
raffaeli,拉法埃利
bonetti,博内蒂
pirola,皮罗拉
gilli,吉利
isola,伊索拉
lovato,洛华图
michieletto,米基耶莱托
chiumento,基乌门托
niels,尼尔斯
torre,托雷
bicelli,比切利
destiny,迪斯天尼
udogie,乌杜治
rovella,罗维拉
eusebi,尤塞比
gasparotto,加斯帕罗托
jonathan,乔纳森
bronzetti,布龙泽蒂
debora,德博拉
vivarelli,维瓦雷利
morrone,莫罗尼
cardile,卡尔迪莱
scortechini,斯科尔泰基尼
semeraro,塞梅拉罗
robertis,罗伯蒂斯
grigio,格里焦
lucy,露西
salani,萨拉尼
gnonto,格诺托
nardi,纳尔迪
booth,布思
nuria,努丽娅
brancaccio,布兰卡乔
franzoi,弗朗佐伊
amodeo,阿莫代奥
liverani,利韦拉尼
mogurean,莫古雷安
aroldo,阿罗尔多
ruschioni,鲁斯基奥尼
colombari,科隆巴里
scalvini,斯卡尔维尼
darderi,达尔德里
carucci,卡鲁奇
bortolotti,博托洛蒂
beggiato,贝贾托
berra,贝拉
rebagliati,雷巴利亚蒂
attanasio,阿塔纳西欧
spechenhauser,施佩兴豪泽
khaby,卡比
lame,莱姆
wisdom,维斯多姆
amey,埃米
patta,帕塔
santoro,桑托罗
verani,韦拉尼
vincenza,温琴扎
petrilli,彼得里利
romele,罗梅莱
mariella,玛丽耶拉
tissi,蒂西
koleosho,高尼奥素
arnaldi,阿纳尔迪
furlani,富拉尼
salonia,萨洛尼亚
pafundi,帕芬迪
casadei,卡沙迪
river,里弗
daila,达伊拉
dameno,达梅诺
mastrandrea,马斯特兰德
bonin,博宁
nicolas,尼古拉斯
maupas,莫帕
clotilde,克洛蒂尔德
modena,摩德纳
italia,意大利
potenza,波坦察
bioglio,比奥廖
toceno,托切诺
trieste,的里雅斯特
canegrate,卡内格拉泰
monteferrante,蒙特费兰特
canevino,卡内维诺
brusnengo,布鲁斯嫩戈
borriana,博里亚纳
callabiana,卡拉比亚纳
camandona,卡曼多纳
montelapiano,蒙特拉皮亚诺
trontano,特龙塔诺
trasquera,特拉斯奎拉
valstrona,瓦尔斯特罗纳
vesuvio,维苏威火山
torino,都灵
premeno,普雷梅诺
vinchio,温基奥
premia,普雷米亚
premosellochiovenda,普雷莫塞洛基奥文达
grauno,格劳诺
pietraferrazzana,彼得拉费拉扎纳
fallo,法洛
biella,比耶拉
seppiana,塞皮亚纳
stresa,斯特雷萨
roma,罗马
orvieto,奥尔维耶托
ailoche,阿伊洛凯
benna,本纳
padova,帕多瓦
villadossola,维拉多索拉
candelo,坎德洛
vignone,维尼奥内
viganella,维加内拉
varzo,瓦尔佐
crosa,克罗萨
curino,库里诺
sanremo,圣雷莫
balmuccia,巴尔穆恰
balocco,巴洛科
calvignano,卡尔维尼亚诺
verbania,韦尔巴尼亚
camburzano,坎布尔扎诺
catanzaro,卡坦扎罗
piadena,皮亚代纳
cavaglià,卡瓦利亚
casapinta,卡萨平塔
bianzè,比安泽
gaglianico,加利亚尼科
boccioleto,博乔莱托
villette,维莱泰
vogogna,沃戈尼亚
reggiolo,雷焦洛
villabate,维拉巴泰
aliminusa,阿利米努萨
mezzani,梅扎尼
dorzano,多尔扎诺
salerno,萨莱诺
blufi,布卢菲
miagliano,米亚利亚诺
valledolmo,瓦莱多尔莫
gifflenga,吉夫伦加
graglia,格拉利亚
magnano,马尼亚诺
lessona,莱索纳
borgosesia,博尔戈塞西亚
breia,布雷亚
buronzo,布龙佐
acate,阿卡泰
comiso,科米索
masserano,马塞拉诺
venezia,韦内齐亚
cerrione,切廖内
cossato,科萨托
coggiola,科焦拉
crevacuore,克雷瓦库奥雷
arborio,阿尔博里奥
mosso,莫索
mongrando,蒙格兰多
carcoforo,卡尔科福罗
campertogno,坎佩尔托尼奥
pozzonovo,波佐诺沃
merlara,梅尔拉腊
pernumia,佩尔努米亚
treviso,特雷维索
cuneo,库内奥
giarratana,贾拉塔纳
ispica,伊斯皮卡
pozzallo,波扎洛
scicli,希克利
ponso,蓬索
collobiano,科洛比亚诺
costanzana,科斯坦扎纳
polverara,波尔韦拉拉
netro,内特罗
pettinengo,佩蒂嫩戈
civiasco,奇维亚斯科
cigliano,奇利亚诺
monviso,维佐峰
novara,诺瓦拉
allerona,阿莱罗纳
asti,阿斯蒂
alviano,阿尔维亚诺
ponderano,蓬德拉诺
pralungo,普拉伦戈
portula,波尔图拉
fobello,福贝洛
pray,普拉伊
mottalciata,莫塔尔恰塔
muzzano,穆扎诺
vercelli,韦尔切利
acquasparta,阿夸斯帕尔塔
caresana,卡雷萨纳
caresanablot,卡雷萨纳布洛特
piatto,皮亚托
meda,梅达
carisio,卡里西奥
pollone,波洛内
piedicavallo,皮耶迪卡瓦洛
cravagliana,克拉瓦利亚纳
crescentino,克雷申蒂诺
cervatto,切尔瓦托
cellio,切廖
desana,代萨纳
crova,克罗瓦
formigliana,福尔米利亚纳
gattinara,加蒂纳拉
alessandria,亚历山德里亚
lecco,莱科
mantova,曼托瓦
sostegno,索斯泰尼奥
sordevolo,索尔德沃洛
moncrivello,蒙克里韦洛
mollia,莫利亚
soprana,索普拉纳
correzzola,科雷佐拉
casalserugo,卡萨尔塞鲁戈
borgoricco,博尔戈里科
stanghella,斯坦盖拉
arrone,阿罗内
strona,斯特罗纳
tavigliano,塔维利亚诺
tollegno,托莱尼奥
ternengo,泰尔嫩戈
brescia,布雷西亚
cremona,克雷莫纳
fontaniva,丰塔尼瓦
quaregna,夸雷尼亚
quittengo,奎滕戈
roppolo,罗波洛
ghislarengo,吉斯拉伦戈
greggio,格雷焦
guardabosone,瓜尔达博索内
candiana,坎迪亚纳
lamporo,兰波罗
barbona,巴尔博纳
cartura,卡尔图拉
rosazza,罗萨扎
salussola,萨卢索拉
sandigliano,桑迪利亚诺
lenta,伦塔
lignana,利尼亚纳
lozzolo,洛佐洛
attigliano,阿蒂利亚诺
dolomiti,多洛米蒂山
quarona,夸罗纳
prarolo,普拉罗洛
rassa,拉萨
rubano,鲁巴诺
lendinara,伦迪纳拉
verrone,韦罗内
veglio,韦廖
arzergrande,阿尔泽尔格兰德
sondrio,桑治奥
varese,瓦雷泽
monza,蒙扎
olcenengo,奥尔切嫩戈
oldenico,奥尔德尼科
pertengo,佩尔滕戈
loreggia,洛雷贾
loreo,洛雷奥
rosolina,罗索利纳
papozze,帕波泽
pavia,帕维亚
torrazzo,托拉佐
trebaseleghe,特雷巴塞莱盖
pila,皮拉
trivero,特里韦罗
valdengo,瓦尔登戈
vallanzengo,瓦兰曾戈
piode,皮奥代
postua,波斯图阿
conselve,孔塞尔韦
lusia,卢夏
polesella,波莱塞拉
appennini,亚平宁山脉
baschi,巴斯基
bolzano,博尔扎诺
grivola,格里沃拉山
rimasco,里马斯科
rimella,里梅拉
cervino,马特洪峰
viverone,维韦罗内
ronsecco,龙塞科
roasio,罗阿肖
curtarolo,库尔塔罗洛
rossa,罗萨
campodoro,坎波多罗
saccolongo,萨科隆戈
rovolon,罗沃隆
elva,埃尔瓦
pontechianale,蓬泰基亚纳莱
saletto,萨莱托
aisone,阿伊索内
acceglio,阿切廖
urbana,乌尔巴纳
baone,包内
rive,里韦
cesena,切塞纳
alpi,阿尔卑斯山
alto,阿尔托
como,科莫
zimone,齐莫内
rovasenda,罗瓦森达
arguello,阿尔圭洛
zumaglia,祖马利亚
zubiena,祖别纳
sabbia,萨比亚
salasco,萨拉斯科
bellino,贝利诺
argentera,阿真泰拉
crotone,克罗托内
rovigo,罗维戈
gorizia,戈里齐亚
grantorto,格兰托尔托
granze,格兰泽
castelbaldo,卡斯泰尔巴尔多
castelmagno,卡斯特尔马尼奥
teolo,泰奥洛
vigodarzere,维戈达尔泽雷
agna,阿尼亚
vicenza,维琴察
belluno,贝卢诺
empoli,恩波利
barbaresco,巴尔巴雷斯科
saluggia,萨卢贾
mestrino,梅斯特里诺
bosaro,博萨罗
pincara,平卡拉
gazzo,加佐
villamarzana,维拉马尔扎纳
benevello,贝内韦洛
stroppiana,斯特罗皮亚纳
tricerro,特里切罗
trino,特里诺
livorno,里窝那
feltre,费尔特雷
grosseto,格罗塞托
beinette,贝内泰
sardegna,撒丁
bergolo,贝尔戈洛
bernezzo,贝尔内佐
bonvicino,邦维奇诺
borgomale,博尔戈马莱
bosia,博夏
valduggia,瓦尔杜贾
vocca,沃卡
pordenone,波代诺内
cittadella,奇塔代拉
genova,热那亚
cagliari,卡利亚里
vaporetto,威尼斯水上巴士
bergantino,贝甘蒂诺
alfa,阿尔法
bossolasco,博索拉斯科
boves,博韦斯
bra,布拉
briaglia,布里亚利亚
varallo,瓦拉洛
villarboit,维拉尔博伊特
villata,维拉塔
alatri,阿拉特里
tarvisio,塔尔维西奥
castelmassa,卡斯特尔马萨
melara,梅拉腊
calto,卡尔托
barolo,巴罗洛
barge,巴尔杰
battifollo,巴蒂福洛
canosio,卡诺肖
catania,卡塔尼亚
scopa,斯科帕
santhià,桑蒂亚
scopello,斯科佩洛
limena,利梅纳
veggiano,韦贾诺
tombolo,通博洛
vigonza,维贡扎
verona,维罗纳
occhiobello,奥基奥贝洛
gaiba,加伊巴
fiat,菲亚特汽车
bologna,博洛尼亚
albignasego,阿尔比尼亚塞戈
ficarolo,菲卡罗洛
stienta,斯蒂耶恩塔
monselice,蒙塞利切
caprauna,卡普劳纳
bagheria,巴盖里亚
trecenta,特雷琴塔
arre,阿雷
salara,萨拉腊
camerana,卡梅拉纳
camo,卡莫
brondello,布龙德洛
brossasco,布罗萨斯科
busca,布斯卡
firenze,佛罗伦萨
sassuolo,萨索罗
adria,阿德里亚
campodarsego,坎波达尔塞戈
napoli,那不勒斯
terni,特尔尼
codevigo,科德维戈
chiarano,基亚拉诺
pontelongo,蓬泰隆戈
massanzago,马桑扎戈
este,埃斯泰
montagnana,蒙塔尼亚纳
vescovana,韦斯科瓦纳
canda,坎达
altamura,阿尔塔穆拉
castelcucco,卡斯特尔库科
casier,卡谢尔
asolo,阿索洛
cadoneghe,卡多内盖
caraglio,卡拉廖
altivole,阿尔蒂沃莱
parma,帕尔马
airasca,阿伊拉斯卡
agliè,阿列
iveco,欧霸
solesino,索莱西诺
ceneselli,切内塞利
legnaro,莱尼亚罗
cerignola,切里尼奥拉
bitonto,比通托
aversa,阿韦尔萨
possagno,波萨尼奥
fiumicino,菲乌米奇诺
acireale,阿奇雷亚莱
canaro,卡纳罗
camposampiero,坎波桑皮耶罗
palermo,巴勒莫
arcade,阿尔卡德
cessalto,切萨尔托
cimadolmo,奇马多尔莫
carbonera,卡尔博内拉
lanciano,兰恰诺
fabro,法布罗
urbino,乌尔比诺
bairo,巴伊罗
avigliana,阿维利亚纳
melfi,梅尔菲
casalgrasso,卡萨尔格拉索
saonara,绍纳拉
feralpisalò,菲拉皮沙洛
cartignano,卡尔蒂尼亚诺
udine,乌迪内
balangero,巴兰杰罗
brione,布廖内
gavello,加韦洛
crespino,克雷斯皮诺
pescara,佩斯卡拉
aosta,奥斯塔
sant'urbano,圣乌尔巴诺
rai,意大利广播电视公司
ludwigshöhe,路德维希峰
tribano,特里巴诺
torreglia,托雷利亚
carceri,卡尔切里
brugine,布鲁吉内
lardaro,拉尔达罗
ceregnano,切雷尼亚诺
andrate,安德拉泰
carrù,卡鲁
banchette,班凯泰
balme,巴尔梅
barbania,巴尔巴尼亚
castagnito,卡斯塔尼托
alpette,阿尔佩泰
almese,阿尔梅塞
casteldelfino,卡斯泰尔德尔菲诺
andezeno,安代泽诺
alpignano,阿尔皮尼亚诺
langhe,朗格
monferrato,蒙费拉托
allein,阿兰
villadose,维拉多塞
castelguglielmo,卡斯特尔古列尔莫
castore,卡斯托峰
polluce,普勒克斯峰
corbola,科尔博拉
vignolafalesina,维尼奥拉法莱西纳
massimeno,马西梅诺
campobasso,坎波巴索
bosconero,博斯科内罗
brandizzo,布兰迪佐
bricherasio,布里凯拉西奥
centallo,琴塔洛
bionaz,比奥纳
brissogne,布里索涅
dolzago,多尔扎戈
nerviano,内尔维亚诺
bollengo,博伦戈
trento,特伦托
bardonecchia,巴多内基亚
siena,锡耶纳
beinasco,贝纳斯科
bibiana,比比亚纳
castellar,卡斯泰拉尔
angrogna,安格罗尼亚
arignano,阿里尼亚诺
brusson,布吕松
ancona,安科纳
challandsaintanselme,沙朗圣昂塞尔姆
perugia,佩鲁贾
brozolo,布罗佐洛
brosso,布罗索
brusasco,布鲁萨斯科
bruino,布鲁伊诺
cervere,切尔韦雷
cervasca,切尔瓦斯卡
cherasco,凯拉斯科
ceva,切瓦
challandsaintvictor,沙朗圣维克托
chambave,尚巴沃
borgiallo,博尔贾洛
sant'elena,圣埃伦娜
anteysaintandré,昂泰圣安德烈
avise,阿维塞
arvier,阿尔维耶
castelvisconti,卡斯泰尔维斯孔蒂
castelleone,卡斯特莱奥内
carpiano,卡尔皮亚诺
cremella,克雷梅拉
chamois,沙穆瓦
alanno,阿兰诺
brittoli,布里托利
l'aquila,拉奎拉
volpara,沃尔帕拉
castino,卡斯蒂诺
bard,巴德
aymavilles,艾马维尔
cavallermaggiore,卡瓦莱尔马焦雷
cavallerleone,卡瓦莱尔莱奥内
arnad,阿尔纳
ayas,阿亚斯
borgomasino,博尔戈马西诺
derovere,德罗韦雷
bruzolo,布鲁佐洛
buriasco,布里亚斯科
burolo,布罗洛
clavesana,克拉韦萨纳
cigliè,奇利埃
cissone,奇索内
busano,布萨诺
cortemilia,科尔泰米利亚
campidoglio,卡庇托林山
champorcher,尚波尔谢
champdepraz,尚德普拉
liscate,利斯卡泰
cogne,科涅
bussero,布塞罗
charvensod,沙旺索
châtillon,沙蒂永
caluso,卡卢索
dronero,德罗内罗
dogliani,多利亚尼
bussoleno,布索莱诺
demonte,代蒙特
courmayeur,库马约尔
crissolo,克里索洛
tribiano,特里比亚诺
parlasco,帕尔拉斯科
cravanzana,克拉万扎纳
civitaquana,奇维塔夸纳
donnas,多纳
doues,杜村
étroubles,埃特鲁布勒
émarèse,埃马雷斯
cafasse,卡法塞
canischio,卡尼肖
rescaldina,雷斯卡尔迪纳
catignano,卡蒂尼亚诺
cambiano,坎比亚诺
campiglionefenile,坎皮廖内费尼莱
candiolo,坎迪奥洛
spaghetti,义大利直面
entracque,恩特拉奎
gaiola,加伊奥拉
frassino,弗拉西诺
gambasca,甘巴斯卡
romanengo,罗马嫩戈
pagnona,帕尼奥纳
rodano,罗达诺
cepagatti,切帕加蒂
fénis,费尼斯
gaby,加比
fontainemore,方丹莫尔
perledo,佩尔莱多
primaluna,普里马卢纳
corvara,科瓦拉
collecorvino,科莱科尔维诺
cugnoli,库尼奥利
elice,埃利切
caselette,卡塞莱泰
genola,杰诺拉
garessio,加雷西奥
govone,戈沃内
gottasecca,戈塔塞卡
gorzegno,戈尔泽尼奥
barasso,巴拉索
assisi,阿西西
guarene,瓜雷内
igliano,伊利亚诺
cantalupa,坎塔卢帕
cantoira,坎托伊拉
caravino,卡拉维诺
caprie,卡普列
carema,卡雷马
carignano,卡里尼亚诺
carmagnola,卡马尼奥拉
casalborgone,卡萨尔博尔戈内
envie,恩维耶
faule,福莱
farigliano,法里利亚诺
fossano,福萨诺
feisoglio,费伊索廖
issime,伊西梅
gignod,日尼奥
gressan,格雷桑
issogne,伊索涅
isasca,伊萨斯卡
castellamonte,卡斯特拉蒙特
lagnasco,拉尼亚斯科
macra,马克拉
annicco,安尼科
pescate,佩斯卡泰
vermezzo,韦尔梅佐
settala,塞塔拉
missaglia,米萨利亚
moscufo,莫斯库福
nocciano,诺恰诺
ceres,切雷斯
cavour,卡武尔
cercenasco,切尔切纳斯科
mango,曼戈
cavagnolo,卡瓦尼奥洛
montjovet,蒙若韦
lillianes,利利亚讷
manta,曼塔
lesegno,莱塞尼奥
levice,莱维切
morgex,莫尔热
pandino,潘迪诺
gressoneylatrinité,格雷索内拉特里尼泰
lisio,利肖
ossona,奥索纳
introd,因特罗德
gressoneysaintjean,格雷索内圣让
oggiono,奥焦诺
rovagnate,罗瓦尼亚泰
molteno,莫尔泰诺
penne,彭内
pescosansonesco,佩斯科桑索内斯科
manoppello,马诺佩洛
montesilvano,蒙特西尔瓦诺
picciano,皮恰诺
pianella,皮亚内拉
pollein,波莱伊恩
pontsaintmartin,蓬圣马丹
bevagna,贝瓦尼亚
perloz,佩尔洛兹
margarita,玛格丽塔
marmora,马尔莫拉
offanengo,奥法嫩戈
premana,普雷马纳
montodine,蒙托迪内
masate,马萨泰
farindola,法林多拉
malgrate,马尔格拉泰
lettomanoppello,莱托马诺佩洛
virgilio,维尔吉廖
chivasso,基瓦索
ciconio,奇科尼奥
serramonacesca,塞拉莫纳切斯卡
scafa,斯卡法
spoltore,斯波尔托雷
monchiero,蒙基耶罗
coazze,科阿泽
saintnicolas,圣尼古拉
saintmarcel,圣马塞尔
chiomonte,基奥蒙特
vicoli,维科利
chialamberto,基亚兰贝托
marene,马雷内
chianocco,基亚诺科
bettona,贝托纳
nus,努斯
chiaverano,基亚韦拉诺
oyace,奥亚切
ollomont,奥洛蒙
chiesanuova,基耶萨诺瓦
chieri,基耶里
inveruno,因韦鲁诺
dairago,达伊拉戈
magnago,马尼亚戈
gonzaga,贡扎加
pontboset,蓬博塞
magenta,马真塔
ostiglia,奥斯蒂利亚
buscate,布斯卡泰
pietranico,彼得拉尼科
roccamorice,罗卡莫里切
rosciano,罗夏诺
salle,萨莱
melle,梅莱
moiola,莫约拉
pontey,蓬泰伊
présaintdidier,普雷圣迪迪耶
quart,卡尔
rhêmesnotredame,雷姆圣母村
pizzighettone,皮齐盖托内
collegno,科莱尼奥
saintpierre,圣皮埃尔
saintoyen,圣奥延
monesiglio,莫内西廖
mondovì,蒙多维
sarre,萨雷
narzole,纳尔佐莱
neive,内伊韦
montanera,蒙塔内拉
canzano,坎扎诺
campli,坎普利
valgrisenche,瓦尔格里桑什
torgnon,托尔尼翁
drizzona,德里佐纳
valpelline,瓦尔佩利内
grontardo,格龙塔尔多
bellante,贝兰泰
bisenti,比森蒂
castilenti,卡斯蒂伦蒂
cermignano,切尔米尼亚诺
cintano,钦塔诺
cirié,奇列
cinzano,钦扎诺
claviere,克拉维耶雷
mombarcaro,蒙巴尔卡罗
mombasiglio,蒙巴西廖
rhêmessaintgeorges,雷姆圣乔治
roisan,鲁瓦桑
saintchristophe,圣克里斯托夫
casorezzo,卡索雷佐
saintdenis,圣但尼
robbiate,罗比亚泰
vercurago,韦尔库拉戈
parabiago,帕拉比亚戈
turrivalignani,图里瓦利尼亚尼
neviglie,内维列
novello,诺韦洛
valtournenche,瓦尔图南什
verrayes,韦赖
villeneuve,维勒讷沃
verrès,韦雷斯
tornata,托尔纳塔
barzio,巴尔齐奥
controguerra,孔特罗圭拉
corropoli,科罗波利
foglizzo,福利佐
frassinetto,弗拉西内托
cumiana,库米亚纳
druento,德鲁恩托
cuorgnè,库奥尔涅
favria,法夫里亚
exilles,埃西莱斯
feletto,费莱托
montà,蒙塔
moretta,莫雷塔
morozzo,莫罗佐
murazzano,穆拉扎诺
murello,穆雷洛
valsavarenche,瓦尔萨瓦朗什
vestreno,韦斯特雷诺
castellalto,卡斯泰拉尔托
saintrhémyenbosses,圣雷米昂博斯
saintvincent,圣樊尚
sustinente,苏斯蒂嫩泰
condove,孔多韦
formigara,福尔米加拉
gabbionetabinanuova,加比奥内塔比纳诺瓦
corio,科里奥
ancarano,安卡拉诺
arsita,阿尔西塔
cuceglio,库塞廖
basciano,巴夏诺
atri,阿特里
fenestrelle,费内斯特雷莱
fiano,菲亚诺
nucetto,努切托
oncino,翁奇诺
ostana,奥斯塔纳
ormea,奥尔梅阿
tremenico,特雷梅尼科
introzzo,因特罗佐
colledara,科莱达拉
pieranica,皮耶拉尼卡
colonnella,科隆内拉
salvirola,萨尔维罗拉
crognaleto,克罗尼亚莱托
cortino,科尔蒂诺
giulianova,朱利亚诺瓦
front,弗龙特
paesana,帕埃萨纳
pagno,帕尼奥
pamparato,潘帕拉托
lancia,蓝旗亚
paroldo,帕罗尔多
maserati,玛莎拉蒂
pineto,皮内托
sant'omero,圣奥梅罗
montegranaro,蒙特格拉纳罗
ingria,因格里亚
isolabella,伊索拉贝拉
prazzo,普拉佐
issiglio,伊西廖
priero,普列罗
priola,普廖拉
priocca,普廖卡
vittuone,维托内
silvi,锡尔维
crema,克雷马
tortoreto,托尔托雷托
pocapaglia,波卡帕利亚
piozzo,皮奥佐
montefino,蒙特菲诺
martinsicuro,马丁西库罗
pradleves,普拉德莱韦斯
polonghera,波隆盖拉
legnano,莱尼亚诺
pioltello,皮奥尔泰洛
solferino,索尔费里诺
pietracamela,彼得拉卡梅拉
ivrea,伊夫雷亚
prunetto,普鲁内托
perego,佩雷戈
tossicia,托西恰
racconigi,拉科尼吉
revello,雷韦洛
cannara,坎纳拉
frossasco,弗罗萨斯科
garzigliana,加尔齐利亚纳
perlo,佩尔洛
germagnano,杰尔马尼亚诺
perletto,佩尔莱托
peveragno,佩韦拉尼奥
siligo,锡利戈
groscavallo,格罗斯卡瓦洛
gombito,贡比托
grugliasco,格鲁利亚斯科
adelfia,阿德尔菲亚
alberobello,阿尔贝罗贝洛
locana,洛卡纳
lombardore,隆巴尔多雷
pompei,庞贝
rozzano,罗扎诺
arese,阿雷塞
levone,莱沃内
leini,莱伊尼
lauriano,劳里亚诺
bitritto,比特里托
casamassima,卡萨马西马
barzago,巴尔扎戈
cesate,切萨泰
castelverde,卡斯泰尔韦代
binetto,比内托
bitetto,比泰托
lemie,莱米耶
carmignano,卡尔米尼亚诺
lessolo,莱索洛
cantagallo,坎塔加洛
montemurlo,蒙特穆洛
abbiategrasso,阿比亚泰格拉索
varenna,瓦伦纳
nereto,内雷托
notaresco,诺塔雷斯科
cantù,坎图
loranzè,洛兰泽
lombriasco,隆布里亚斯科
lugnacco,卢尼亚科
gallia,高卢
lusernetta,卢塞尔内塔
lusigliè,卢西列
erve,埃尔韦
conversano,孔韦尔萨诺
cascia,卡夏
casalmorano,卡萨尔莫拉诺
capralba,卡普拉尔巴
olginate,奥尔吉纳泰
voltido,沃尔蒂多
locorotondo,洛科罗通多
marentino,马伦蒂诺
giaglione,贾廖内
giaveno,贾韦诺
givoletto,吉沃莱托
gravere,格拉韦雷
pianfei,皮安费伊
putignano,普蒂尼亚诺
rutigliano,鲁蒂利亚诺
pietraporzio,彼得拉波尔齐奥
piasco,皮亚斯科
maglione,马廖内
macello,马切洛
corato,科拉托
vaiano,瓦亚诺
massello,马塞洛
monopoli,莫诺波利
noci,诺奇
mercenasco,梅尔切纳斯科
meugliano,梅乌利亚诺
mezzenile,梅泽尼莱
robilante,罗比兰泰
vernio,韦尔尼奥
rifreddo,里夫雷多
bornasco,博尔纳斯科
comerio,科梅廖
mompantero,蒙潘泰罗
roccabruna,罗卡布鲁纳
roburent,罗布伦特
camisano,卡米萨诺
montesegale,蒙泰塞加莱
casteldidone,卡斯泰尔迪多内
mathi,马蒂
mattie,马蒂耶
trigolo,特里戈洛
spinadesco,斯皮纳德斯科
rittana,里塔纳
mazzè,马泽
moncalieri,蒙卡列里
roaschia,罗阿斯基亚
citerna,奇泰尔纳
roascio,罗阿肖
moncenisio,蒙切尼肖
piantedo,皮安泰多
mornago,莫尔纳戈
toritto,托里托
roccasparvera,罗卡斯帕尔韦拉
collazzone,科拉佐内
corciano,科尔恰诺
chieve,基耶韦
cisliano,奇斯利亚诺
roccavione,罗卡维奥内
pedesina,佩代西纳
calco,卡尔科
postalesio,波斯塔莱肖
pizzale,皮扎莱
montanaro,蒙塔纳罗
nichelino,尼凯利诺
rossana,罗萨纳
carovigno,卡罗维尼奥
valenzano,瓦伦扎诺
osmate,奥斯马泰
ruffia,鲁菲亚
gambarana,甘巴拉纳
colorina,科洛里纳
fiesco,菲耶斯科
taceno,塔切诺
introbio,因特罗比奥
turi,图里
triggiano,特里贾诺
gemonio,杰莫尼奥
bagnaria,巴尼亚里亚
montalenghe,蒙塔伦盖
vanzaghello,万扎盖洛
costacciaro,科斯塔恰罗
roddi,罗迪
roddino,罗迪诺
