de_toːmas	托马斯
de_fiːɐkiɐxən	菲尔基兴
de_dolʁotfelt	多尔罗特费尔德
de_veɐnek	韦尔内克
de_niːdeɐnbeɐk	尼登贝格
de_ʃlesvik	石勒苏益格
de_kusteɐdiŋən	库斯特丁根
de_ʁoteːnakɐ	罗滕阿克
de_obeɐkoːxən	上科亨
de_kiɐkseːon	基希塞翁
de_ʁextmeːʀiŋk	雷希特梅灵
de_mandeɐʃait	曼德沙伊德
de_heːʀiŋsdoɐf	黑灵斯多夫
de_føːʀən	弗伦
de_haɐt͡sɡeːʀodə	哈茨格罗德
de_bismaɐk	俾斯麦
de_klaiənix	克莱尼希
de_loɐʃait	洛尔沙伊德
de_mynxənbeɐnsdoɐf	明兴贝恩斯多夫
de_ʃkoːpauh	施科保
de_albesən	阿尔贝森
de_ʁoːdən	罗登
de_bonstetən	邦施泰滕
de_patənsən	帕滕森
de_ʃvaieɡən	施韦根
de_oytən	奥伊滕
de_pʁakə	布拉克
de_køːdit͡s	克迪茨
de_ʁoshauptən	罗斯豪普滕
de_ʃøːneːfelt	舍讷费尔德
de_ofteɐdiŋən	奥夫特丁根
de_fyɐsteːnek	菲尔斯特内克
de_fyɐsteːnauh	菲尔斯特瑙
de_hemoːɐ	黑莫尔
de_biːbeɐbax	比伯巴赫
de_ʁet͡sliŋən	雷茨林根
de_ʁoːsənɡaɐtən	罗森加滕
de_paŋkɐ	潘克
de_vinxeːʀiŋən	温谢林根
de_kʁonsɡaːɐt	克龙斯加尔德
de_metlax	梅特拉赫
de_ʃøŋkiɐxən	申基兴
de_tiːɐshaim	蒂尔斯海姆
de_eɐmeɐshauhsən	埃默斯豪森
de_daksbax	达赫斯巴赫
de_viːmeɐstet	维默施泰特
de_velmbytel	韦尔姆比特尔
de_helsə	黑尔瑟
de_neselvaŋk	内瑟尔旺
de_vailtiŋən	魏尔廷根
de_vinteɐbax	温特巴赫
de_aɐt͡sfelt	阿茨费尔德
de_iːɡel	伊格尔
de_bet͡sdoɐf	贝茨多夫
de_valt͡sbaxtal	瓦尔茨巴赫塔尔
de_paisənbeɐk	派森贝格
de_kindiŋk	金丁
de_kʁoshaːbeɐsdoɐf	大哈伯斯多夫
de_noɐdeɐpʁaːʀup	北布拉鲁普
de_deɐʃən	代尔申
de_maːʀiːnveɐdɐ	马林韦德
de_kaɐlsbeɐk	卡尔斯贝格
de_vaŋels	旺格尔斯
de_husby	胡斯比
de_ueːɐdə	于尔德
de_vestoːfən	韦斯特霍芬
de_zaulkʁup	绍尔格鲁布
de_nənndoɐf	嫩多夫
de_viʃhaːfən	维施哈芬
de_metən	梅滕
de_pʁeːmeɐføɐdə	布雷默弗德
de_fʁaistat	弗赖施塔特
de_buːbeshaim	布伯斯海姆
de_zikmaɐst͡sel	锡格马斯采尔
de_baːdem	巴德姆
de_beɐʃait	贝尔沙伊德
de_kepeshauhsən	凯珀斯豪森
de_paɐsauh	帕尔绍
de_hytplek	许特布莱克
de_baɐkənholm	巴肯霍尔姆
de_boləndoɐf	博伦多夫
de_kyːkels	屈克尔斯
de_laŋənleːstən	朗根莱斯滕
de_aleɐhaim	阿勒海姆
de_koɐdel	科德尔
de_kameɐstain	卡默施泰因
de_ɡeːʀoldshauhsən	盖罗尔茨豪森
de_osteɐpʁux	奥斯特布鲁赫
de_muniŋən	蒙宁根
de_vindax	温达赫
de_oeɐsdoɐf	厄斯多夫
de_daːnən	达嫩
de_haieɡeɐlox	海格洛赫
de_p͡føɐʁiŋk	普弗灵
de_talmesiŋk	塔尔梅辛
de_haieteɐshaim	海特斯海姆
de_niːdeɐfel	下费尔
de_byːxənbax	比兴巴赫
de_biːbeːʀeːʁən	比伯埃伦
de_basum	巴苏姆
de_høːɡeɐsdoɐf	赫格斯多夫
de_bekdoɐf	贝可多夫
de_zaŋeɐhauhsən	桑格豪森
de_flosənbyɐk	弗洛森比格
de_haiedek	海德克
de_vindsbax	温茨巴赫
de_buɐkbeɐnhaim	布格贝恩海姆
de_hoːheːnauh	霍厄瑙
de_baint	拜恩特
de_kʁoysənhaim	格罗伊森海姆
de_doɐmetiŋən	多梅廷根
de_kloteɐtal	格洛特塔尔
de_plauhboyhʀən	布劳博伊伦
de_løfiŋən	勒芬根
de_buɐɡauh	布尔高
de_kʁaiənet	格赖内特
de_pʁonstoɐf	普龙斯托夫
de_fʁeːdesdoɐf	弗雷德斯多夫
de_duːdeldoɐf	杜德尔多夫
de_uːt͡ʃait	乌特沙伊德
de_lyt͡skampən	吕茨坎彭
de_daːlaiedən	达莱登
de_upeɐshauhsən	乌珀斯豪森
de_heɐʁstain	黑尔施泰因
de_deːt͡sem	代策姆
de_pʁymt͡suɐlai	普吕姆楚尔莱
de_feɐʃvailɐ	费施韦勒
de_pʁokʃait	布罗克沙伊德
de_kastelstaːt	卡斯特尔施塔特
de_pøːlix	珀利希
de_valənboɐn	瓦伦博恩
de_holstum	霍尔斯图姆
de_velʃbilik	韦尔施比利希
de_fʁaiuŋk	弗赖翁
de_vitdeɐn	维登
de_haitmyːlə	海德米勒
de_veːdemaɐk	韦德马克
de_pʁaietiŋən	布赖廷根
de_kʁosʃvaitnit͡s	大施韦德尼茨
de_odeɐvit͡s	奥德维茨
de_naiseauə	奈瑟奥厄
de_beɐtelsdoɐf	贝特尔斯多夫
de_ʁiːtliŋən	里德林根
de_valtkiɐxən	瓦尔德基兴
de_obeːʀøfliŋən	上厄夫林根
de_beːlit͡s	贝利茨
de_holiŋstet	霍灵施泰特
de_ʃtathaːɡən	施塔特哈根
de_pʁaietənvoɐbis	布赖滕沃尔比斯
de_ʁiːseby	里瑟比
de_døɐt͡sbax	德尔茨巴赫
de_laŋənselbolt	朗根塞尔博尔德
de_mastoɐn	马斯特霍恩
de_exteɐnaːxeɐpʁyk	埃希特纳赫布吕克
de_auhdeːʀat	奥德拉特
de_insul	因苏尔
de_fʁaːmeɐshaim	弗拉默斯海姆
de_niːdeɐfiʃbax	下菲施巴赫
de_hoxboɐn	霍赫博恩
de_jyŋkeːʀat	云克拉特
de_løt͡sboyhʀən	勒茨博伊伦
de_døɐʁeːbax	德勒巴赫
de_eːʀənkiɐxən	埃伦基兴
de_aiebauh	艾鲍
de_eʃlkam	埃施尔卡姆
de_miltax	米尔塔赫
de_ʃtyːliŋən	施蒂林根
de_obeɐtoyhʀiŋən	上托伊林根
de_vaitoːfən	魏德霍芬
de_olbeɐsdoɐf	奥尔伯斯多夫
de_opax	奥帕赫
de_obeːʀauh	奥伯劳
de_jetiŋənʃepax	耶廷根谢帕赫
de_valdeɐshof	瓦尔德斯霍夫
de_hoːhəndupʁauh	霍恩杜布劳
de_obeɐkuneɐsdoɐf	上库内尔斯多夫
de_hiɐt͡smaulsbax	希尔茨毛尔斯巴赫
de_ɡaieselhøːʀiŋk	盖瑟尔赫灵
de_atiŋk	阿廷
de_viːdeɐɡeltiŋən	维德盖尔廷根
de_zimot͡shaim	锡莫茨海姆
de_tʁeːbəndoɐf	特雷本多夫
de_ɡolsən	戈尔森
de_pʁaxbax	布拉赫巴赫
de_balstet	巴尔施泰特
de_maneːbax	曼讷巴赫
de_viɐʃvailɐ	维施韦勒
de_ʃpiːɡeːlauh	施皮格劳
de_vaihmixl	魏米希尔
de_kʁeːbaːnoyhdoɐf	克雷巴诺伊多夫
de_oybin	奥伊宾
de_haiəneːvaldə	海讷瓦尔德
de_føɐstetən	弗尔施泰滕
de_holt͡sɡeɐliŋən	霍尔茨盖林根
de_epʁiŋən	埃布林根
de_kipənhaim	基彭海姆
de_ʁiːt͡ʃən	里辰
de_dyɐʁhənneɐsdoɐf	迪尔亨讷斯多夫
de_apənvaiɐ	阿彭韦尔
de_veːɐ	韦尔
de_ʁeːt͡sov	雷措
de_meːkənboyhʀən	梅肯博伊伦
de_umkiɐx	乌姆基希
de_døːlauh	德劳
de_almanshoːfən	阿尔曼斯霍芬
de_klosteɐlexfelt	克洛斯特莱希费尔德
de_diːnetal	迪讷塔尔
de_hymel	许默尔
de_hetənʁot	黑滕罗特
de_vaieɐbuʃ	魏尔布施
de_mømpʁis	门布里斯
de_ostelshaim	奥斯特尔斯海姆
de_felhaim	费尔海姆
de_malʃ	马尔施
de_kynt͡selsauh	金策尔斯奥
de_valənfels	瓦伦费尔斯
de_ʃauənstain	绍恩施泰因
de_noyhvailɐ	诺伊魏勒
de_aieselfiŋk	艾瑟尔芬
de_pexpʁun	佩希布伦
de_toyʃnit͡s	托伊施尼茨
de_obeɐsulm	上苏尔姆
de_køːniçshain	柯尼希斯海恩
de_ʃøpstal	舍普斯塔尔
de_koːdeɐsdoɐf	科德斯多夫
de_untʁasʁiːt	温特拉斯里德
de_tiːɐstain	蒂尔施泰因
de_maɐkeɐsdoɐf	马尔克斯多夫
de_jonsdoɐf	永斯多夫
de_døːbeɐn	德伯恩
de_paunt͡shauhsən	保恩茨豪森
de_kolkeɐhaidə	科尔克海德
de_heːniːxən	黑尼兴
de_pytliŋən	皮特林根
de_kiɐkel	基克尔
de_ufuːsum	乌普胡苏姆
de_tiniŋstet	廷宁施泰特
de_laːvaldə	拉瓦尔德
de_zoneːvaldə	松讷瓦尔德
de_flonhaim	弗隆海姆
de_lauxʁiŋən	劳赫林根
de_vaɐtauhsən	瓦尔特豪森
de_detənhauhsən	代滕豪森
de_main	迈恩
de_kiɐxt͡saɐtən	基希察尔滕
de_kiɐʃkauh	基尔施考
de_ɡamelby	加默尔比
de_p͡faɐʁkiɐxən	普法尔基兴
de_veseln	韦瑟尔恩
de_kʁumənnaːp	克鲁门纳布
de_heːbeɐtsfeldən	黑伯茨费尔登
de_ʃvefaim	施韦布海姆
de_valsdoɐf	瓦尔斯多夫
de_ʃoːnuŋən	绍农根
de_joːhaniskiɐxən	约翰尼斯基兴
de_lənkdoɐf	伦多夫
de_valpeɐtskiɐxən	瓦尔珀茨基兴
de_fʁontənhauhsən	弗龙滕豪森
de_vaɐveːʀoɐt	瓦尔沃奥特
de_kʁaieliŋk	格赖灵
de_tuntənhauhsən	通滕豪森
de_byɐɡstat	比格施塔特
de_ʁoːsənbax	罗森巴赫
de_mitvit͡s	米特维茨
de_feːmaɐnbelt	费马恩海峡
de_mønxbeɐk	门希贝格
de_vindiːʃeːʃənbax	温迪施埃申巴赫
de_kinsauh	金绍
de_ɡeɐpʁun	盖尔布伦
de_muːdauh	穆道
de_auel	奥厄尔
de_ʃtuln	施图尔恩
de_ənkiɐx	恩基希
de_vaieleɐbax	魏勒巴赫
de_haːnstetən	哈恩施泰滕
de_beɐɡʁhainfelt	贝格莱茵费尔德
de_vinteɐshaim	温特斯海姆
de_noyhhoːfən	诺伊霍芬
de_asəndoɐf	阿森多夫
de_kaiedelhaim	凯德尔海姆
de_niːdeɐviːsən	下维森
de_zəndən	森登
de_pʁiksənstat	普里克森施塔特
de_butənhaim	布滕海姆
de_vaismain	魏斯迈恩
de_klapholt͡s	克拉普霍尔茨
de_binən	宾嫩
de_voːnstə	翁斯特
de_flaxt	弗拉赫特
de_valtbøːkelhaim	瓦尔德伯克尔海姆
de_vaiskaisel	魏斯凯瑟尔
de_valtuːfən	瓦尔德胡芬
de_hoɐkaː	霍尔卡
de_hoːhənkamɐ	霍恩卡默
de_ɡaplənt͡s	加布伦茨
de_miltənbeɐk	米尔滕贝格
de_kʁauʃvit͡s	克劳施维茨
de_isiːɡauh	伊西高
de_loyhteɐsdoɐf	洛伊特斯多夫
de_tetənvais	泰滕韦斯
de_kʁant͡sbeɐk	克兰茨贝格
de_baiʁiʃt͡sel	拜里施采尔
de_otdeːʀadə	奥德拉德
de_noɐdeɐmeldoɐf	北梅尔多夫
de_diːbax	迪巴赫
de_iːɡənsdoɐf	伊根斯多夫
de_vaieleɐsbax	魏勒斯巴赫
de_aɐbeɐk	阿尔贝格
de_kunʁoyt	昆罗伊特
de_eʀeːsiŋk	埃雷辛
de_noɐtastet	北哈施泰特
de_byːxənboyhʀən	比兴博伊伦
de_diːtmansʁiːt	迪特曼斯里德
de_noyhfeldeɐkoːk	诺伊费尔德科格
de_pʁukmyːl	布鲁克米尔
de_anhauhsən	安豪森
de_tʁənneːvuɐt	特伦讷武特
de_boːdənvøːɐ	博登沃尔
de_heːʀaoys	贺利氏
de_biɐkənhaidə	比肯海德
de_ɡaiemeɐshaim	盖默斯海姆
de_diŋolshauhsən	丁戈尔斯豪森
de_tielənhemə	蒂伦黑默
de_maɐktloytən	马克特洛伊滕
de_oːɐtʁuf	奥尔德鲁夫
de_epənʃlak	埃彭施拉格
de_tuɐmansbaŋk	图尔曼斯邦
de_ifoːfən	伊普霍芬
de_afəntoft	阿文托夫特
de_vaseɐtʁyːdiŋən	瓦瑟特吕丁根
de_tetnaŋk	泰特南
de_kʁoysən	克罗伊森
de_koːxem	科赫姆
de_vemdiŋk	韦姆丁
de_haːfeːtoftloit	哈费托夫特洛伊特
de_vaːɡeɐsʁot	瓦格斯罗特
de_hoːheːnaspə	霍恩阿斯珀
de_ziːfeɐshytən	锡沃斯许滕
de_boːstet	博施泰特
de_eleːʀauh	埃勒劳
de_ɡeɐstoːfən	盖斯特霍芬
de_obeɐtʁuːbax	上特鲁巴赫
de_vestʁə	韦斯特勒
de_otopʁun	奥托布伦
de_ɡoldeːlunt	戈尔德伦德
de_ʁolshauhsən	罗尔斯豪森
de_boːsauh	博绍
de_humptʁup	洪普特鲁普
de_vaːxənʁot	瓦亨罗特
de_zyːsel	叙瑟尔
de_timaspə	蒂马斯珀
de_fiːt͡sən	菲岑
de_laŋənpʁaiesiŋk	朗根普赖辛
de_ʃveːdənek	施韦登埃克
de_noyəndoɐf	诺伊恩多夫
de_jaɐdeːlunt	亚尔德伦德
de_vandeːʀup	万德鲁普
de_tvet	特韦特
de_foɐxtənbeɐk	福希滕贝格
de_buːxənbeɐk	布亨贝格
de_haːvaŋən	哈旺根
de_ʁetənbeɐk	雷滕贝格
de_høslvaŋk	赫斯尔旺
de_zalɡast	萨尔加斯特
de_noɐtakstet	北哈克施泰特
de_veːsby	韦斯比
de_haːt͡sənpoɐt	哈岑波特
de_nauhʀot	瑙罗特
de_puːdeɐbax	普德巴赫
de_jeɐʁishoə	耶里斯赫
de_laŋstet	朗施泰特
de_ʁaːbənholt͡s	拉本霍尔茨
de_fʁant͡sənhaim	弗兰岑海姆
de_ainhaus	艾恩豪斯
de_valsbyl	瓦尔斯比尔
de_baːdənhauhsən	巴登豪森
de_fʁaiənvil	弗赖恩维尔
de_auhhauhsən	奥豪森
de_ʃoːlən	绍伦
de_ʃaːkəndoɐf	沙肯多夫
de_vitənboɐn	维滕博恩
de_ʃmaːlənseə	施马伦塞
de_janeby	延讷比
de_zult͡shaim	苏尔茨海姆
de_lundən	伦登
de_bunsoː	本索
de_meɐt͡sdoɐf	梅尔茨多夫
de_kiːsby	基斯比
de_eleɐhoːp	埃勒霍普
de_tʁøːbit͡s	特勒比茨
de_ɡoldeːbek	戈尔德贝克
de_zutvaldə	苏德瓦尔德
de_kaihudə	凯胡德
de_biːmøːlən	比默伦
de_maɐktkʁait͡s	马克特格赖茨
de_vitoɐf	维托夫
de_ʃvylpɐ	施维尔珀
de_ʃtemshoɐn	施泰姆斯霍恩
de_ʁeːdən	雷登
de_zaɐt͡sbytel	萨茨比特尔
de_beːbənseə	贝本塞
de_haitmyːlən	海德米伦
de_haitmoːɐ	海德莫尔
de_damsdoɐf	达姆斯多夫
de_ɡatəndoɐf	加滕多夫
de_tistə	蒂斯特
de_epiŋən	埃平根
de_haleɐndoɐf	哈伦多夫
de_zantbostel	桑德博斯特尔
de_ʃvaːføɐdən	施瓦弗登
de_notfelt	诺特费尔德
de_ofənbytel	奥芬比特尔
de_kolənbeɐk	科伦贝格
de_talə	塔勒
de_ʃeftlaɐn	谢夫特拉恩
de_maɐt͡sliŋk	马茨灵
de_knet͡sɡauh	克内茨高
de_ʁøtiŋən	勒廷根
de_diːtʁamst͡sel	迪特拉姆斯采尔
de_kyːləntal	屈伦塔尔
de_eklham	埃格尔哈姆
de_vilstɐ	维尔斯特
de_kiɐxeːʀənbax	基希埃伦巴赫
de_ɡaiesiŋən	盖辛根
de_obeɐdakstetən	上达赫施泰滕
de_viːset	维塞特
de_ʃønseə	申塞
de_plaŋkənbax	布兰肯巴赫
de_neɐt͡svailɐ	内茨韦勒
de_bextolshaim	贝希托尔斯海姆
de_vaːnveːɡən	瓦恩韦根
de_feːxeldə	费谢尔德
de_hənteɐn	亨滕
de_feɐdiːnandshof	费尔迪南茨霍夫
de_ʃvaɐmə	施瓦默
de_elɡauh	埃尔高
de_veɐnoyhxən	韦尔诺伊兴
de_byxlbeɐk	比希尔贝格
de_buɐɡoːbeɐbax	布格奥伯巴赫
de_heɐspʁuk	黑尔斯布鲁克
de_tʁaːfənhoɐst	特拉文霍斯特
de_baːʀənhof	巴伦霍夫
de_vaieɡandshain	魏甘茨海恩
de_vaseːnax	瓦瑟纳赫
de_niːdeɐtʁaisbax	下德赖斯巴赫
de_ʁhadə	哈德
de_ekɡolshaim	埃戈尔斯海姆
de_høɐɡeɐtshauhsən	赫格茨豪森
de_maɐktaiedənfelt	马克特海登费尔德
de_vuːtøːʃiŋən	武特兴根
de_folseːmənhuːsən	福尔塞门胡森
de_eɡeshaim	埃格斯海姆
de_iɐndoɐf	伊恩多夫
de_volfstain	沃尔夫施泰因
de_tefeɐʁot	泰弗罗特
de_beʀəntal	贝伦塔尔
de_felhoɐn	费尔山
de_viŋst	温斯特
de_flakslandən	弗拉赫斯兰登
de_elsənfelt	埃尔森费尔德
de_kemeɐn	凯默恩
de_ɡapliŋən	加布林根
de_pʁaietənɡysbax	布赖滕居斯巴赫
de_ʃlait͡s	施莱茨
de_ueːkeɐmyndə	于克明德
de_valteɐshauhsən	瓦尔特斯豪森
de_niteːnauh	尼特瑙
de_vaːdeɐn	瓦登
de_ɡuniŋən	贡宁根
de_meɐtiŋən	梅尔廷根
de_dyɐfaim	迪布海姆
de_lənɡənvaŋk	伦根旺
de_pʁesat	普雷萨特
de_maɐktoːbeɐdoɐf	马克特奥伯多夫
de_maɐktsteft	马克特施泰夫特
de_kʁoshoyhbax	大霍伊巴赫
de_nytliŋən	尼德林根
de_kiɐxtimkə	基希蒂姆克
de_ʃiliŋsfyɐst	希灵斯菲斯特
de_vystənʁot	维斯滕罗特
de_mansfelt	曼斯费尔德
de_veɐtiŋən	韦尔廷根
de_noyhʀaiexeːnauh	新赖谢瑙
de_munstɐ	蒙斯特
de_unteɐkʁupənbax	下格鲁彭巴赫
de_noyəndetelsauh	新代特尔斯奥
de_ʃtemən	施泰门
de_volfax	沃尔法赫
de_tʁautskiɐxən	特劳茨基兴
de_buɐkaɐtʁot	布卡德罗特
de_otiŋk	奥廷
de_diːdoɐf	迪多夫
de_deːkənp͡fʁon	代肯普夫龙
de_pləndɐ	布兰德
de_ɡaːdeːbuʃ	加德布施
de_osteɐbuɐkən	奥斯特布尔肯
de_kospoːdaː	科斯波达
de_ʃmitɡaːdən	施米德加登
de_volmiɐsleːbən	沃尔米斯莱本
de_elsteːʀauə	埃尔斯特奥厄
de_kʁølpaː	克勒尔帕
de_kʁosənstain	格罗森施泰因
de_jesən	耶森
de_vakstet	瓦赫施泰特
de_kaltənsuntaim	卡尔滕孙德海姆
de_haːxelbix	哈黑尔比希
de_tuɐnauh	图尔瑙
de_laŋənsəndelbax	朗根森德尔巴赫
de_luiːsəntal	路易森塔尔
de_biːnstet	宾施泰特
de_laŋeːnaltaim	朗根阿尔特海姆
de_ʁatelsdoɐf	拉特尔斯多夫
de_duɐxhauhsən	杜希豪森
de_noyənɡøɐs	新格尔斯
de_balkhaim	巴尔格海姆
de_neːms	内姆斯
de_velʃnoyhdoɐf	韦尔施诺伊多夫
de_viːdənsaːl	维登萨尔
de_neːfeɐsdoɐf	内沃斯多夫
de_osteɐhoɐn	奥斯特霍恩
de_aɐmstet	阿姆施泰特
de_bulai	布莱
de_kiɐnit͡ʃtal	基尼奇塔尔
de_buɐɡk	布尔格克
de_ɡøneːbek	根讷贝克
de_fokbek	福克贝克
de_ʁoːlstoɐf	罗尔斯托夫
de_atənhauhsən	阿滕豪森
de_hetliŋən	黑特林根
de_kaueɐn	考恩
de_ɡaueɐn	高恩
de_pʁauhniksvaldə	布劳尼希斯瓦尔德
de_helveɡə	黑尔韦格
de_hemsliŋən	黑姆斯林根
de_dautmeɐɡən	道特梅尔根
de_hauhsax	豪萨赫
de_heɐbolt͡shaim	黑博尔茨海姆
de_bøɐɡɐ	伯格
de_hipstet	希普施泰特
de_etənhaim	埃滕海姆
de_fʁiːtʁiksʁuːə	腓特烈斯鲁厄
de_faɐfən	法尔文
de_ʁaisbax	赖斯巴赫
de_hasəndoɐf	哈森多夫
de_ɡøːʀən	格伦
de_buɐkvintaim	布格温德海姆
de_aldiŋən	阿尔丁根
de_fʁənsdoɐf	弗伦斯多夫
de_diteɐsdoɐf	迪特斯多夫
de_kleːpʁon	克莱布龙
de_hemdiŋən	黑姆丁根
de_vesteɐhoɐn	韦斯特霍恩
de_ɡeːfel	格费尔
de_ʁemptəndoɐf	伦普滕多夫
de_heltʁuŋən	黑尔德龙根
de_vaisənseə	魏森塞
de_møːdiŋən	默丁根
de_tanstain	坦施泰因
de_niːdeɐmuːʀax	下穆拉赫
de_vənsin	文辛
de_mitelpølnit͡s	米特尔珀尔尼茨
de_vaːsuŋən	瓦松根
de_zilbeɐhauhsən	西尔贝劳森
de_klainboːduŋən	小博敦根
de_unteɐvait	下魏德
de_ʃvaɐt͡sbax	施瓦茨巴赫
de_ʃimbeɐk	欣贝格
de_ekliŋeːʀodə	埃克林格罗德
de_ʃaxteːbix	沙赫特比希
de_ʃneːfeɐdiŋən	施内沃丁根
de_dyɐʁvaŋən	迪尔旺根
de_ebənsfelt	埃本斯费尔德
de_ʃnaitənbax	施奈滕巴赫
de_pʁiːsən	布里森
de_daieliŋən	代林根
de_ʃvanstetən	施万施泰滕
de_kʁefəntal	格雷芬塔尔
de_zandauh	桑道
de_høːtənsleːbən	赫滕斯莱本
de_beːndoɐf	本多夫
de_vystoyhteːʀodə	维斯特霍伊特罗德
de_niːdeɐhauhsən	尼德豪森
de_ʁainholteːʀodə	赖恩霍尔特罗德
de_ʃvoːp͡felt	施沃布费尔德
de_folkeːʀodə	福尔克罗德
de_ʃlosfipax	施洛斯菲帕赫
de_laiənaːtal	莱纳塔尔
de_viteɐdaː	维特达
de_ʁustənfeldə	鲁斯滕费尔德
de_unteɐvaisbax	下魏斯巴赫
de_tʁefuɐt	特雷富特
de_kaseːdoɐf	卡塞多夫
de_pʁyːhaim	布吕海姆
de_lənteːʀodə	伦特罗德
de_kefeɐhauhsən	凯弗豪森
de_buxdoɐf	布赫多夫
de_holfelt	霍尔费尔德
de_aufses	奥夫塞斯
de_ziːɡelsbax	锡格尔斯巴赫
de_dombyːl	栋比尔
de_heːʀoldsbax	黑罗尔茨巴赫
de_dixtelbax	迪希特尔巴赫
de_klyt͡s	克吕茨
de_eklofstain	埃格洛夫施泰因
de_ɡeːbeseə	盖伯塞
de_ʃliːbən	施利本
de_doɐmit͡s	多尔米茨
de_haːɡənbyːxax	哈根比夏赫
de_auənkʁunt	奥恩格伦德
de_jyːbaɐ	于巴尔
de_bokstat	博克斯塔特
de_unteɐmasfelt	下马斯费尔德
de_kolbit͡s	科尔比茨
de_vestkʁoysən	西格罗伊森
de_niːdeːʀoɐʃel	下奥舍尔
de_kont͡s	孔茨
de_ebeɐstat	埃伯施塔特
de_aistetən	艾施泰滕
de_hoɐnbeɐk	霍恩贝格
de_ʁonshauhsən	龙斯豪森
de_ʁiːnek	里内克
de_obeɐheltʁuŋən	上黑尔德龙根
de_viŋeːʀodə	温格罗德
de_diːteːʀodə	迪特罗德
de_aiexənbyːl	艾兴比尔
de_tap͡fhaim	塔普夫海姆
de_foːhənstʁaus	福恩施特劳斯
de_ɡoldkʁoːnax	戈尔德克罗纳赫
de_vaieʃənfelt	魏申费尔德
de_plaistain	普莱施泰因
de_ɡøsvainstain	格斯韦恩施泰因
de_kiɐxt͡sel	基希采尔
de_ʃlameɐsdoɐf	施拉默斯多夫
de_klatbax	格拉特巴赫
de_ebelsbax	埃伯尔斯巴赫
de_fʁiːdeɐsdoɐf	弗里德尔斯多夫
de_diŋelstet	丁格尔施泰特
de_ʃtatlənɡsfelt	施塔特伦斯费尔德
de_viːsəntauh	维森陶
de_boːmtə	博姆特
de_hileɐsə	希勒瑟
de_obeɐʃøːneɡk	上舍内格
de_zalɡən	萨尔根
de_polə	波勒
de_eɐkhaim	埃克海姆
de_hausham	豪斯哈姆
de_klempauh	克伦保
de_osteɐhoːfən	奥斯特霍芬
de_volfʁatshauhsən	沃尔夫拉茨豪森
de_elxiŋən	埃尔兴根
de_motən	莫滕
de_knot͡shaim	格诺茨海姆
de_unteːʀeɡk	温特埃格
de_ʃtʁausfuɐt	施特劳斯富特
de_ʃvaieɡeɐn	施韦格恩
de_kopənkʁafə	科彭格拉沃
de_baɐby	巴尔比
de_liːbfʁauənkiɐxə	圣母教堂
de_myːxeln	米谢尔恩
de_ʃoɐfhaidə	绍尔夫海德
de_boːdelshauhsən	博德尔斯豪森
de_haɐt͡stoɐ	哈茨托尔
de_fʁaŋkənplik	弗兰肯布利克
de_hənnvailɐ	亨韦勒
de_noyhbambeɐk	新班贝格
de_moːɐʁeɡə	莫雷格
de_kʁubə	格鲁伯
de_peːteɐsauhʀax	彼得斯奥拉赫
de_zofiːnham	索芬哈姆
de_vilbuɐɡstetən	维尔布格施泰滕
de_feldaːfiŋk	费尔达芬
de_ekaɐtsbeɐɡaː	埃卡茨贝加
de_jeːʀiːxov	耶里肖
de_kindelpʁyk	金德尔布吕克
de_vuɐt͡sbax	武茨巴赫
de_aŋeɐn	昂格恩
de_ʃtatleɐn	施塔德莱恩
de_ɡeːstə	盖斯特
de_fʁaŋkənvinhaim	弗兰肯温海姆
de_ilbeshaim	伊尔伯斯海姆
de_ʁoːɡet͡s	罗盖茨
de_haɐmsdoɐf	哈姆斯多夫
de_zyːdeɐdoɐf	叙德多夫
de_ʃmeːdesvuɐt	施梅德斯武特
de_auhʀax	奥拉赫
de_pint͡sbeɐk	平茨贝格
de_klainsəndelbax	小森德尔巴赫
de_ʃteleːvitənvuɐt	施泰勒维滕武特
de_vesteɐmoːɐ	韦斯特莫尔
de_damlos	达姆洛斯
de_zaueɐlax	绍尔拉赫
de_doteɐnhauhsən	多滕豪森
de_kamsdoɐf	卡姆斯多夫
de_p͡fafʃvəndə	普法夫施文德
de_ʃønhaːɡən	申哈根
de_ofiŋən	奥芬根
de_kiːp͡fənbeɐk	基普芬贝格
de_beɐmaːtiŋən	贝马廷根
de_veːndə	韦恩德
de_ʁyːkeɐsdoɐf	吕克斯多夫
de_ʃtainsdoɐf	施泰因斯多夫
de_tambaxdiːtaɐt͡s	坦巴赫迪特哈茨
de_oɐlaːmyndə	奥拉明德
de_vølfis	沃尔菲斯
de_kyːdoɐf	屈多夫
de_kʁefənhain	格雷芬海恩
de_efeltʁix	埃弗尔特里希
de_unteɐmaietiŋən	下迈廷根
de_bispiŋən	比斯平根
de_masbax	马斯巴赫
de_hiɐʁliŋən	希尔林根
de_ɡoːmaːʀiŋən	戈马林根
de_vekʃait	韦格沙伊德
de_hofkiɐxən	霍夫基兴
de_koneɐsʁoyt	孔讷斯罗伊特
de_ɡuːteːnek	古特内克
de_ʁaieɐʃiːt	赖尔希德
de_haiŋkənboɐstel	海因肯博斯特尔
de_helpʁaː	黑尔布拉
de_emiŋənliptiŋən	埃明根利普廷根
de_biʃbeɐk	比施贝格
de_pʁiːsəndoɐf	普里森多夫
de_pløsbeɐk	普勒斯贝格
de_dukɡəndoɐf	杜根多夫
de_bənniŋən	本宁根
